Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.7916666666666667,34
0.15,2,0.8387096774193548,31
0.15,3,0.7142857142857143,31
0.15,4,0.7142857142857143,33
0.15,5,0.8837209302325583,32
0.15,6,0.8292682926829268,33
0.15,7,0.8372093023255813,32
0.15,8,0.8387096774193549,35
0.15,9,0.8571428571428571,29
0.15,10,0.8333333333333333,38
0.15,11,0.8235294117647058,34
0.15,12,0.8,27
0.325,1,0.84,34
0.325,2,0.7741935483870968,31
0.325,3,0.7586206896551725,31
0.325,4,0.8275862068965517,33
0.325,5,0.8837209302325583,32
0.325,6,0.8837209302325582,33
0.325,7,0.888888888888889,32
0.325,8,0.8666666666666666,35
0.325,9,0.8275862068965517,29
0.325,10,0.8135593220338982,38
0.325,11,0.8235294117647058,34
0.325,12,0.8571428571428571,27
0.5,1,0.8163265306122449,34
0.5,2,0.8387096774193548,31
0.5,3,0.8387096774193548,31
0.5,4,0.7857142857142858,33
0.5,5,0.909090909090909,32
0.5,6,0.9090909090909091,33
0.5,7,0.9130434782608696,32
0.5,8,0.9333333333333333,35
0.5,9,0.7857142857142857,29
0.5,10,0.8524590163934426,38
0.5,11,0.8235294117647058,34
0.5,12,0.8571428571428571,27
0.65,1,0.7916666666666667,34
0.65,2,0.8750000000000001,31
0.65,3,0.8387096774193548,31
0.65,4,0.7857142857142858,33
0.65,5,0.8837209302325583,32
0.65,6,0.9090909090909091,33
0.65,7,0.9130434782608696,32
0.65,8,0.896551724137931,35
0.65,9,0.7142857142857143,29
0.65,10,0.8524590163934426,38
0.65,11,0.8235294117647058,34
0.65,12,0.8571428571428571,27
0.825,1,0.8085106382978724,34
0.825,2,0.8387096774193548,31
0.825,3,0.8387096774193548,31
0.825,4,0.8275862068965517,33
0.825,5,0.8837209302325583,32
0.825,6,0.9090909090909091,33
0.825,7,0.9361702127659575,32
0.825,8,0.896551724137931,35
0.825,9,0.7407407407407406,29
0.825,10,0.8333333333333333,38
0.825,11,0.8235294117647058,34
0.825,12,0.8571428571428571,27
1.0,1,0.8085106382978724,34
1.0,2,0.8484848484848485,31
1.0,3,0.8387096774193548,31
1.0,4,0.8275862068965517,33
1.0,5,0.909090909090909,32
1.0,6,0.9333333333333333,33
1.0,7,0.9130434782608696,32
1.0,8,0.896551724137931,35
1.0,9,0.7857142857142857,29
1.0,10,0.8709677419354839,38
1.0,11,0.8235294117647058,34
1.0,12,0.8571428571428571,27
2.0,1,0.8163265306122449,34
2.0,2,0.8125000000000001,31
2.0,3,0.8387096774193548,31
2.0,4,0.8275862068965517,33
2.0,5,0.8837209302325583,32
2.0,6,0.9333333333333333,33
2.0,7,0.9795918367346939,32
2.0,8,0.896551724137931,35
2.0,9,0.7333333333333334,29
2.0,10,0.8333333333333333,38
2.0,11,0.846153846153846,34
2.0,12,0.8571428571428571,27
3.0,1,0.8163265306122449,34
3.0,2,0.8125000000000001,31
3.0,3,0.8125000000000001,31
3.0,4,0.8275862068965517,33
3.0,5,0.8837209302325583,32
3.0,6,0.9333333333333333,33
3.0,7,0.9795918367346939,32
3.0,8,0.896551724137931,35
3.0,9,0.8148148148148148,29
3.0,10,0.888888888888889,38
3.0,11,0.8235294117647058,34
3.0,12,0.8571428571428571,27
4.0,1,0.8163265306122449,34
4.0,2,0.8125000000000001,31
4.0,3,0.8387096774193548,31
4.0,4,0.8275862068965517,33
4.0,5,0.909090909090909,32
4.0,6,0.9565217391304348,33
4.0,7,0.9583333333333334,32
4.0,8,0.896551724137931,35
4.0,9,0.8148148148148148,29
4.0,10,0.923076923076923,38
4.0,11,0.8235294117647058,34
4.0,12,0.8571428571428571,27
5.0,1,0.84,34
5.0,2,0.8125000000000001,31
5.0,3,0.8125000000000001,31
5.0,4,0.8275862068965517,33
5.0,5,0.9333333333333332,32
5.0,6,0.9333333333333333,33
5.0,7,1.0,32
5.0,8,0.9333333333333333,35
5.0,9,0.8148148148148148,29
5.0,10,0.923076923076923,38
5.0,11,0.8235294117647058,34
