Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.7692307692307692,389
0.15,2,0.6875000000000001,389
0.15,3,0.7692307692307692,389
0.15,4,0.7027027027027027,389
0.15,5,0.7659574468085107,389
0.15,6,0.7826086956521738,389
0.15,7,0.816326530612245,389
0.15,8,0.6923076923076923,389
0.15,9,0.42857142857142855,389
0.15,10,0.8275862068965517,389
0.15,11,0.8363636363636363,389
0.15,12,0.75,389
0.325,1,0.8571428571428571,389
0.325,2,0.7999999999999999,389
0.325,3,0.8717948717948718,389
0.325,4,0.7368421052631577,389
0.325,5,0.8260869565217391,389
0.325,6,0.851063829787234,389
0.325,7,0.9433962264150945,389
0.325,8,0.8275862068965517,389
0.325,9,0.6857142857142857,389
0.325,10,0.8524590163934426,389
0.325,11,0.896551724137931,389
0.325,12,0.8181818181818182,389
0.5,1,0.8928571428571429,389
0.5,2,0.8888888888888888,389
0.5,3,0.8947368421052632,389
0.5,4,0.6842105263157895,389
0.5,5,0.8260869565217391,389
0.5,6,0.8571428571428572,389
0.5,7,0.9433962264150945,389
0.5,8,0.9032258064516129,389
0.5,9,0.7222222222222223,389
0.5,10,0.8333333333333333,389
0.5,11,0.896551724137931,389
0.5,12,0.8333333333333334,389
0.65,1,0.8928571428571429,389
0.65,2,0.7878787878787877,389
0.65,3,0.923076923076923,389
0.65,4,0.7567567567567567,389
0.65,5,0.8260869565217391,389
0.65,6,0.9199999999999999,389
0.65,7,0.9433962264150945,389
0.65,8,0.9032258064516129,389
0.65,9,0.7567567567567567,389
0.65,10,0.888888888888889,389
0.65,11,0.896551724137931,389
0.65,12,0.7826086956521738,389
0.825,1,0.912280701754386,389
0.825,2,0.8571428571428571,389
0.825,3,0.9,389
0.825,4,0.7692307692307693,389
0.825,5,0.8260869565217391,389
0.825,6,0.9166666666666666,389
0.825,7,0.9433962264150945,389
0.825,8,0.9032258064516129,389
0.825,9,0.7027027027027026,389
0.825,10,0.8709677419354839,389
0.825,11,0.896551724137931,389
0.825,12,0.8695652173913043,389
1.0,1,0.912280701754386,389
1.0,2,0.8484848484848485,389
1.0,3,0.878048780487805,389
1.0,4,0.7692307692307693,389
1.0,5,0.851063829787234,389
1.0,6,0.8936170212765957,389
1.0,7,0.9259259259259259,389
1.0,8,0.9032258064516129,389
1.0,9,0.7567567567567567,389
1.0,10,0.8709677419354839,389
1.0,11,0.9152542372881356,389
1.0,12,0.8181818181818182,389
2.0,1,0.9310344827586207,389
2.0,2,0.8823529411764706,389
2.0,3,0.9,389
2.0,4,0.8108108108108107,389
2.0,5,0.8571428571428572,389
2.0,6,0.8627450980392156,389
2.0,7,0.9259259259259259,389
2.0,8,0.875,389
2.0,9,0.7142857142857143,389
2.0,10,0.90625,389
2.0,11,0.9152542372881356,389
