Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.888888888888889,389
5.0,2,0.6153846153846153,389
5.0,3,0.7096774193548387,389
5.0,4,0.7586206896551724,389
5.0,5,0.8636363636363636,389
5.0,6,0.75,389
5.0,7,0.9803921568627451,389
5.0,8,0.8148148148148148,389
5.0,9,0.5833333333333334,389
5.0,10,0.888888888888889,389
5.0,11,0.8727272727272728,389
5.0,12,0.4,389
5.0,1,0.888888888888889,389
5.0,2,0.6153846153846153,389
5.0,3,0.7096774193548387,389
5.0,4,0.7586206896551724,389
5.0,5,0.8636363636363636,389
5.0,6,0.75,389
5.0,7,0.9803921568627451,389
5.0,8,0.8148148148148148,389
5.0,9,0.5833333333333334,389
5.0,10,0.888888888888889,389
5.0,11,0.8727272727272728,389
5.0,12,0.4,389
10.0,1,0.9090909090909091,389
10.0,2,0.7142857142857143,389
10.0,3,0.7999999999999999,389
10.0,4,0.7741935483870968,389
10.0,5,0.888888888888889,389
10.0,6,0.8085106382978724,389
10.0,7,0.9803921568627451,389
10.0,8,0.7857142857142857,389
10.0,9,0.7407407407407406,389
10.0,10,0.9705882352941176,389
10.0,11,0.9310344827586207,389
10.0,12,0.6666666666666666,389
15.0,1,0.888888888888889,389
15.0,2,0.6153846153846153,389
15.0,3,0.823529411764706,389
15.0,4,0.7741935483870968,389
15.0,5,0.8636363636363636,389
15.0,6,0.7906976744186046,389
15.0,7,1.0,389
15.0,8,0.7857142857142857,389
15.0,9,0.64,389
15.0,10,0.9705882352941176,389
15.0,11,0.9310344827586207,389
15.0,12,0.6,389
20.0,1,0.888888888888889,389
20.0,2,0.8,389
20.0,3,0.7999999999999999,389
20.0,4,0.8125,389
20.0,5,0.8695652173913043,389
20.0,6,0.8372093023255814,389
20.0,7,1.0,389
20.0,8,0.7857142857142857,389
20.0,9,0.6451612903225806,389
20.0,10,0.9565217391304348,389
20.0,11,0.9310344827586207,389
20.0,12,0.7000000000000001,389
25.0,1,0.888888888888889,389
25.0,2,0.8,389
25.0,3,0.823529411764706,389
25.0,4,0.8387096774193549,389
25.0,5,0.8636363636363636,389
25.0,6,0.8636363636363635,389
25.0,7,1.0,389
25.0,8,0.7857142857142857,389
25.0,9,0.6666666666666666,389
25.0,10,0.9565217391304348,389
25.0,11,0.9310344827586207,389
25.0,12,0.5555555555555556,389
30.0,1,0.888888888888889,389
30.0,2,0.7741935483870968,389
30.0,3,0.823529411764706,389
30.0,4,0.8387096774193549,389
30.0,5,0.8936170212765957,389
30.0,6,0.8372093023255814,389
30.0,7,1.0,389
30.0,8,0.8666666666666666,389
30.0,9,0.6451612903225806,389
30.0,10,0.9565217391304348,389
30.0,11,0.9310344827586207,389
30.0,12,0.5555555555555556,389
35.0,1,0.888888888888889,389
35.0,2,0.7741935483870968,389
35.0,3,0.823529411764706,389
35.0,4,0.8387096774193549,389
35.0,5,0.8695652173913043,389
35.0,6,0.8571428571428571,389
35.0,7,1.0,389
35.0,8,0.8666666666666666,389
35.0,9,0.7096774193548386,389
35.0,10,0.9565217391304348,389
35.0,11,0.9310344827586207,389
35.0,12,0.5555555555555556,389
40.0,1,0.9090909090909091,389
40.0,2,0.7741935483870968,389
40.0,3,0.823529411764706,389
40.0,4,0.8387096774193549,389
40.0,5,0.888888888888889,389
40.0,6,0.8372093023255814,389
40.0,7,1.0,389
40.0,8,0.8666666666666666,389
40.0,9,0.6875,389
40.0,10,0.9565217391304348,389
40.0,11,0.9491525423728815,389
40.0,12,0.5555555555555556,389
45.0,1,0.9090909090909091,389
45.0,2,0.7741935483870968,389
45.0,3,0.823529411764706,389
45.0,4,0.8387096774193549,389
45.0,5,0.8636363636363636,389
45.0,6,0.8837209302325582,389
45.0,7,1.0,389
45.0,8,0.8275862068965517,389
45.0,9,0.6875,389
45.0,10,0.9565217391304348,389
45.0,11,0.9310344827586207,389
45.0,12,0.5555555555555556,389
50.0,1,0.9285714285714286,389
50.0,2,0.7741935483870968,389
50.0,3,0.823529411764706,389
50.0,4,0.8387096774193549,389
50.0,5,0.8695652173913043,389
50.0,6,0.8636363636363635,389
50.0,7,1.0,389
50.0,8,0.8275862068965517,389
50.0,9,0.6875,389
50.0,10,0.9714285714285714,389
50.0,11,0.9491525423728815,389
50.0,12,0.5555555555555556,389
