Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.9152542372881356,389
0.15,2,0.7222222222222222,389
0.15,3,0.761904761904762,389
0.15,4,0.744186046511628,389
0.15,5,0.7499999999999999,389
0.15,6,0.7659574468085107,389
0.15,7,0.8679245283018867,389
0.15,8,0.823529411764706,389
0.15,9,0.5294117647058824,389
0.15,10,0.8333333333333333,389
0.15,11,0.9152542372881356,389
0.15,12,0.888888888888889,389
0.325,1,0.9152542372881356,389
0.325,2,0.7428571428571428,389
0.325,3,0.8205128205128205,389
0.325,4,0.7804878048780487,389
0.325,5,0.8749999999999999,389
0.325,6,0.8085106382978724,389
0.325,7,0.9056603773584904,389
0.325,8,0.875,389
0.325,9,0.5882352941176471,389
0.325,10,0.8709677419354839,389
0.325,11,0.8771929824561403,389
0.325,12,0.888888888888889,389
0.5,1,0.8771929824561403,389
0.5,2,0.7777777777777778,389
0.5,3,0.8108108108108109,389
0.5,4,0.7619047619047621,389
0.5,5,0.888888888888889,389
0.5,6,0.8181818181818182,389
0.5,7,0.9056603773584904,389
0.5,8,0.875,389
0.5,9,0.48484848484848486,389
0.5,10,0.888888888888889,389
0.5,11,0.8363636363636363,389
0.5,12,0.923076923076923,389
0.65,1,0.896551724137931,389
0.65,2,0.8108108108108109,389
0.65,3,0.8108108108108109,389
0.65,4,0.7619047619047621,389
0.65,5,0.8444444444444444,389
0.65,6,0.8181818181818182,389
0.65,7,0.9056603773584904,389
0.65,8,0.8387096774193549,389
0.65,9,0.5142857142857142,389
0.65,10,0.8571428571428571,389
0.65,11,0.9152542372881356,389
0.65,12,0.923076923076923,389
0.825,1,0.896551724137931,389
0.825,2,0.8108108108108109,389
0.825,3,0.8205128205128205,389
0.825,4,0.7619047619047621,389
0.825,5,0.851063829787234,389
0.825,6,0.7999999999999999,389
0.825,7,0.9056603773584904,389
0.825,8,0.8387096774193549,389
0.825,9,0.5789473684210527,389
0.825,10,0.8709677419354839,389
0.825,11,0.896551724137931,389
0.825,12,0.923076923076923,389
1.0,1,0.9152542372881356,389
1.0,2,0.8108108108108109,389
1.0,3,0.7804878048780488,389
1.0,4,0.75,389
1.0,5,0.851063829787234,389
1.0,6,0.8695652173913043,389
1.0,7,0.9259259259259259,389
1.0,8,0.9090909090909091,389
1.0,9,0.5641025641025642,389
1.0,10,0.8709677419354839,389
1.0,11,0.896551724137931,389
1.0,12,0.8799999999999999,389
2.0,1,0.896551724137931,389
2.0,2,0.8108108108108109,389
2.0,3,0.8292682926829269,389
2.0,4,0.7317073170731708,389
2.0,5,0.8571428571428572,389
2.0,6,0.8461538461538461,389
2.0,7,0.9090909090909091,389
2.0,8,0.9090909090909091,389
2.0,9,0.7000000000000001,389
2.0,10,0.8749999999999999,389
2.0,11,0.9152542372881356,389
2.0,12,0.8799999999999999,389
3.0,1,0.9310344827586207,389
3.0,2,0.8108108108108109,389
3.0,3,0.9,389
3.0,4,0.75,389
3.0,5,0.8571428571428572,389
3.0,6,0.8846153846153847,389
3.0,7,0.9259259259259259,389
3.0,8,0.9090909090909091,389
3.0,9,0.6829268292682927,389
3.0,10,0.8923076923076922,389
3.0,11,0.9152542372881356,389
3.0,12,0.8799999999999999,389
4.0,1,0.9491525423728813,389
4.0,2,0.8421052631578948,389
4.0,3,0.8717948717948718,389
4.0,4,0.7692307692307693,389
4.0,5,0.84,389
4.0,6,0.8679245283018867,389
4.0,7,0.9259259259259259,389
4.0,8,0.9090909090909091,389
4.0,9,0.7777777777777777,389
4.0,10,0.8923076923076922,389
4.0,11,0.9152542372881356,389
4.0,12,0.8799999999999999,389
5.0,1,0.9310344827586207,389
5.0,2,0.8108108108108109,389
5.0,3,0.9,389
5.0,4,0.7894736842105262,389
5.0,5,0.8749999999999999,389
5.0,6,0.8679245283018867,389
5.0,7,0.9090909090909091,389
5.0,8,0.9090909090909091,389
5.0,9,0.8333333333333334,389
5.0,10,0.8923076923076922,389
5.0,11,0.896551724137931,389
5.0,12,0.8799999999999999,389
5.0,1,0.9310344827586207,389
5.0,2,0.8108108108108109,389
5.0,3,0.9,389
5.0,4,0.7894736842105262,389
5.0,5,0.8749999999999999,389
5.0,6,0.8679245283018867,389
5.0,7,0.9090909090909091,389
5.0,8,0.9090909090909091,389
5.0,9,0.8333333333333334,389
5.0,10,0.8923076923076922,389
5.0,11,0.896551724137931,389
5.0,12,0.8799999999999999,389
10.0,1,0.9310344827586207,389
10.0,2,0.8421052631578948,389
10.0,3,0.8717948717948718,389
10.0,4,0.8333333333333333,389
10.0,5,0.8749999999999999,389
10.0,6,0.8679245283018867,389
10.0,7,0.9615384615384615,389
10.0,8,0.9090909090909091,389
10.0,9,0.742857142857143,389
10.0,10,0.9090909090909091,389
10.0,11,0.8771929824561403,389
10.0,12,0.923076923076923,389
15.0,1,0.9310344827586207,389
15.0,2,0.8717948717948718,389
15.0,3,0.85,389
