Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.896551724137931,389
0.15,2,0.7441860465116279,389
0.15,3,0.7804878048780488,389
0.15,4,0.6666666666666666,389
0.15,5,0.76,389
0.15,6,0.723404255319149,389
0.15,7,0.8679245283018867,389
0.15,8,0.7027027027027026,389
0.15,9,0.6486486486486486,389
0.15,10,0.7931034482758621,389
0.15,11,0.896551724137931,389
0.15,12,0.7333333333333334,389
0.325,1,0.912280701754386,389
0.325,2,0.7000000000000001,389
0.325,3,0.7142857142857143,389
0.325,4,0.6976744186046512,389
0.325,5,0.84,389
0.325,6,0.7391304347826088,389
0.325,7,0.8846153846153846,389
0.325,8,0.6486486486486486,389
0.325,9,0.5555555555555556,389
0.325,10,0.8000000000000002,389
0.325,11,0.8771929824561403,389
0.325,12,0.7586206896551724,389
0.5,1,0.912280701754386,389
0.5,2,0.7368421052631577,389
0.5,3,0.7317073170731708,389
0.5,4,0.7317073170731708,389
0.5,5,0.7659574468085107,389
0.5,6,0.7142857142857143,389
0.5,7,0.8679245283018867,389
0.5,8,0.6857142857142857,389
0.5,9,0.42424242424242425,389
0.5,10,0.819672131147541,389
0.5,11,0.8571428571428571,389
0.5,12,0.8148148148148148,389
0.65,1,0.8928571428571429,389
0.65,2,0.7692307692307692,389
0.65,3,0.7317073170731708,389
0.65,4,0.7317073170731708,389
0.65,5,0.7916666666666667,389
0.65,6,0.7142857142857143,389
0.65,7,0.8679245283018867,389
0.65,8,0.6857142857142857,389
0.65,9,0.5555555555555556,389
0.65,10,0.8571428571428571,389
0.65,11,0.8771929824561403,389
0.65,12,0.7857142857142857,389
0.825,1,0.912280701754386,389
0.825,2,0.7692307692307692,389
0.825,3,0.761904761904762,389
0.825,4,0.7317073170731708,389
0.825,5,0.7916666666666667,389
0.825,6,0.7555555555555556,389
0.825,7,0.851851851851852,389
0.825,8,0.7058823529411765,389
0.825,9,0.5641025641025642,389
0.825,10,0.8000000000000002,389
0.825,11,0.8771929824561403,389
0.825,12,0.8148148148148148,389
1.0,1,0.912280701754386,389
1.0,2,0.8205128205128205,389
1.0,3,0.7804878048780488,389
1.0,4,0.7317073170731708,389
1.0,5,0.7916666666666667,389
1.0,6,0.7659574468085107,389
1.0,7,0.851851851851852,389
1.0,8,0.7058823529411765,389
1.0,9,0.6153846153846153,389
1.0,10,0.819672131147541,389
1.0,11,0.8363636363636363,389
1.0,12,0.8148148148148148,389
2.0,1,0.8727272727272727,389
2.0,2,0.7692307692307692,389
2.0,3,0.8095238095238096,389
2.0,4,0.7142857142857143,389
2.0,5,0.8235294117647057,389
2.0,6,0.823529411764706,389
2.0,7,0.8771929824561403,389
2.0,8,0.7647058823529411,389
2.0,9,0.65,389
2.0,10,0.8571428571428571,389
2.0,11,0.9333333333333333,389
2.0,12,0.8461538461538461,389
3.0,1,0.912280701754386,389
3.0,2,0.8292682926829269,389
3.0,3,0.8095238095238096,389
3.0,4,0.7142857142857143,389
3.0,5,0.8235294117647057,389
3.0,6,0.823529411764706,389
3.0,7,0.8571428571428571,389
3.0,8,0.787878787878788,389
3.0,9,0.6829268292682927,389
3.0,10,0.9090909090909091,389
3.0,11,0.9152542372881356,389
3.0,12,0.8461538461538461,389
4.0,1,0.912280701754386,389
4.0,2,0.7999999999999999,389
4.0,3,0.8095238095238096,389
4.0,4,0.75,389
4.0,5,0.8461538461538461,389
4.0,6,0.8461538461538461,389
4.0,7,0.888888888888889,389
4.0,8,0.787878787878788,389
