Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.830188679245283,389
5.0,2,0.6896551724137931,389
5.0,3,0.5925925925925926,389
5.0,4,0.8275862068965517,389
5.0,5,0.8292682926829269,389
5.0,6,0.7692307692307693,389
5.0,7,0.9019607843137256,389
5.0,8,0.7692307692307693,389
5.0,9,0.5925925925925926,389
5.0,10,0.75,389
5.0,11,0.7599999999999999,389
5.0,12,0.7000000000000001,389
5.0,1,0.830188679245283,389
5.0,2,0.6896551724137931,389
5.0,3,0.5925925925925926,389
5.0,4,0.8275862068965517,389
5.0,5,0.8292682926829269,389
5.0,6,0.7692307692307693,389
5.0,7,0.9019607843137256,389
5.0,8,0.7692307692307693,389
5.0,9,0.5925925925925926,389
5.0,10,0.75,389
5.0,11,0.7599999999999999,389
5.0,12,0.7000000000000001,389
10.0,1,0.8518518518518519,389
10.0,2,0.8125000000000001,389
10.0,3,0.6250000000000001,389
10.0,4,0.8823529411764706,389
10.0,5,0.888888888888889,389
10.0,6,0.8444444444444444,389
10.0,7,0.9433962264150945,389
10.0,8,0.8148148148148148,389
10.0,9,0.6896551724137931,389
10.0,10,0.90625,389
10.0,11,0.8928571428571429,389
10.0,12,0.7826086956521738,389
15.0,1,0.8928571428571429,389
15.0,2,0.7741935483870968,389
15.0,3,0.6451612903225806,389
15.0,4,0.8387096774193549,389
15.0,5,0.9130434782608695,389
15.0,6,0.8695652173913043,389
15.0,7,0.9795918367346939,389
15.0,8,0.8148148148148148,389
15.0,9,0.6666666666666666,389
15.0,10,0.888888888888889,389
15.0,11,0.8928571428571429,389
15.0,12,0.7826086956521738,389
20.0,1,0.8727272727272727,389
20.0,2,0.8484848484848485,389
20.0,3,0.6250000000000001,389
20.0,4,0.8125,389
20.0,5,0.9130434782608695,389
20.0,6,0.8636363636363635,389
20.0,7,0.96,389
20.0,8,0.8275862068965517,389
20.0,9,0.625,389
20.0,10,0.90625,389
20.0,11,0.8727272727272728,389
20.0,12,0.761904761904762,389
25.0,1,0.8727272727272727,389
25.0,2,0.8125000000000001,389
25.0,3,0.6206896551724137,389
25.0,4,0.787878787878788,389
25.0,5,0.888888888888889,389
25.0,6,0.8636363636363635,389
25.0,7,0.96,389
25.0,8,0.7857142857142857,389
25.0,9,0.6857142857142857,389
25.0,10,0.923076923076923,389
25.0,11,0.8518518518518519,389
25.0,12,0.7000000000000001,389
30.0,1,0.8928571428571429,389
30.0,2,0.8125000000000001,389
30.0,3,0.6666666666666667,389
30.0,4,0.8823529411764706,389
30.0,5,0.888888888888889,389
30.0,6,0.8636363636363635,389
30.0,7,0.96,389
30.0,8,0.8666666666666666,389
30.0,9,0.6486486486486486,389
30.0,10,0.923076923076923,389
30.0,11,0.8518518518518519,389
30.0,12,0.7000000000000001,389
35.0,1,0.8928571428571429,389
35.0,2,0.8484848484848485,389
35.0,3,0.7096774193548387,389
35.0,4,0.8484848484848485,389
35.0,5,0.888888888888889,389
35.0,6,0.8372093023255814,389
35.0,7,0.96,389
35.0,8,0.8275862068965517,389
35.0,9,0.7272727272727272,389
35.0,10,0.923076923076923,389
35.0,11,0.8727272727272728,389
35.0,12,0.761904761904762,389
40.0,1,0.8928571428571429,389
40.0,2,0.8484848484848485,389
40.0,3,0.6875000000000001,389
40.0,4,0.9090909090909091,389
40.0,5,0.8372093023255814,389
40.0,6,0.888888888888889,389
40.0,7,0.96,389
40.0,8,0.8275862068965517,389
40.0,9,0.6285714285714286,389
40.0,10,0.923076923076923,389
40.0,11,0.8928571428571429,389
40.0,12,0.7272727272727272,389
45.0,1,0.8727272727272727,389
45.0,2,0.8484848484848485,389
45.0,3,0.6875000000000001,389
45.0,4,0.8823529411764706,389
45.0,5,0.888888888888889,389
45.0,6,0.8636363636363635,389
45.0,7,0.96,389
45.0,8,0.8275862068965517,389
45.0,9,0.6470588235294118,389
45.0,10,0.9393939393939394,389
45.0,11,0.912280701754386,389
45.0,12,0.7826086956521738,389
50.0,1,0.8928571428571429,389
50.0,2,0.8484848484848485,389
50.0,3,0.6875000000000001,389
50.0,4,0.9090909090909091,389
50.0,5,0.8936170212765957,389
50.0,6,0.8837209302325582,389
50.0,7,0.96,389
50.0,8,0.8275862068965517,389
50.0,9,0.6470588235294118,389
50.0,10,0.955223880597015,389
50.0,11,0.896551724137931,389
50.0,12,0.761904761904762,389
