Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.7234042553191489,389
5.0,2,0.8571428571428571,389
5.0,3,0.6428571428571429,389
5.0,4,0.8571428571428571,389
5.0,5,0.8292682926829269,389
5.0,6,0.7317073170731708,389
5.0,7,0.923076923076923,389
5.0,8,0.9032258064516129,389
5.0,9,0.5925925925925926,389
5.0,10,0.8000000000000002,389
5.0,11,0.7599999999999999,389
5.0,12,0.8181818181818182,389
5.0,1,0.7234042553191489,389
5.0,2,0.8571428571428571,389
5.0,3,0.6428571428571429,389
5.0,4,0.8571428571428571,389
5.0,5,0.8292682926829269,389
5.0,6,0.7317073170731708,389
5.0,7,0.923076923076923,389
5.0,8,0.9032258064516129,389
5.0,9,0.5925925925925926,389
5.0,10,0.8000000000000002,389
5.0,11,0.7599999999999999,389
5.0,12,0.8181818181818182,389
10.0,1,0.8235294117647057,389
10.0,2,0.8717948717948718,389
10.0,3,0.6875000000000001,389
10.0,4,0.8888888888888888,389
10.0,5,0.8636363636363636,389
10.0,6,0.8333333333333334,389
10.0,7,0.9433962264150945,389
10.0,8,0.875,389
10.0,9,0.6206896551724138,389
10.0,10,0.9090909090909091,389
10.0,11,0.8928571428571429,389
10.0,12,0.8799999999999999,389
15.0,1,0.8235294117647057,389
15.0,2,0.8717948717948718,389
15.0,3,0.7272727272727272,389
15.0,4,0.8823529411764706,389
15.0,5,0.909090909090909,389
15.0,6,0.851063829787234,389
15.0,7,1.0,389
15.0,8,0.8387096774193549,389
15.0,9,0.6428571428571429,389
15.0,10,0.9565217391304348,389
15.0,11,0.8727272727272728,389
15.0,12,0.9600000000000001,389
20.0,1,0.8076923076923077,389
20.0,2,0.8717948717948718,389
20.0,3,0.7647058823529411,389
20.0,4,0.8888888888888888,389
20.0,5,0.8636363636363636,389
20.0,6,0.9019607843137256,389
20.0,7,0.9803921568627451,389
20.0,8,0.875,389
20.0,9,0.6206896551724138,389
20.0,10,0.9714285714285714,389
20.0,11,0.8727272727272728,389
20.0,12,0.923076923076923,389
25.0,1,0.7843137254901961,389
25.0,2,0.85,389
25.0,3,0.8333333333333334,389
25.0,4,0.9142857142857143,389
25.0,5,0.888888888888889,389
25.0,6,0.9166666666666666,389
25.0,7,1.0,389
25.0,8,0.875,389
25.0,9,0.6923076923076923,389
25.0,10,0.9565217391304348,389
25.0,11,0.8727272727272728,389
25.0,12,0.923076923076923,389
30.0,1,0.7924528301886793,389
30.0,2,0.85,389
30.0,3,0.8888888888888888,389
30.0,4,0.9142857142857143,389
30.0,5,0.8695652173913043,389
30.0,6,0.9166666666666666,389
30.0,7,1.0,389
30.0,8,0.875,389
30.0,9,0.6428571428571429,389
30.0,10,0.9117647058823528,389
30.0,11,0.8928571428571429,389
30.0,12,0.8799999999999999,389
35.0,1,0.8076923076923077,389
35.0,2,0.85,389
35.0,3,0.8571428571428571,389
35.0,4,0.9142857142857143,389
35.0,5,0.8695652173913043,389
35.0,6,0.9565217391304348,389
35.0,7,1.0,389
35.0,8,0.9032258064516129,389
35.0,9,0.7142857142857143,389
35.0,10,0.9565217391304348,389
35.0,11,0.912280701754386,389
35.0,12,0.8799999999999999,389
40.0,1,0.8076923076923077,389
40.0,2,0.8717948717948718,389
40.0,3,0.8888888888888888,389
40.0,4,0.9142857142857143,389
40.0,5,0.888888888888889,389
40.0,6,0.9166666666666666,389
40.0,7,0.9795918367346939,389
40.0,8,0.9032258064516129,389
40.0,9,0.6428571428571429,389
40.0,10,0.9411764705882353,389
40.0,11,0.8928571428571429,389
40.0,12,0.8333333333333334,389
45.0,1,0.8076923076923077,389
45.0,2,0.8717948717948718,389
45.0,3,0.823529411764706,389
45.0,4,0.9142857142857143,389
45.0,5,0.8695652173913043,389
45.0,6,1.0,389
45.0,7,1.0,389
45.0,8,0.875,389
45.0,9,0.6428571428571429,389
45.0,10,0.9411764705882353,389
45.0,11,0.8928571428571429,389
45.0,12,0.8333333333333334,389
50.0,1,0.830188679245283,389
50.0,2,0.85,389
50.0,3,0.823529411764706,389
50.0,4,0.9142857142857143,389
50.0,5,0.8695652173913043,389
50.0,6,1.0,389
50.0,7,1.0,389
50.0,8,0.875,389
50.0,9,0.6206896551724138,389
50.0,10,0.9411764705882353,389
50.0,11,0.9491525423728815,389
50.0,12,0.8799999999999999,389
