Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.8,389
5.0,2,0.7647058823529411,389
5.0,3,0.7647058823529411,389
5.0,4,0.6875,389
5.0,5,0.8636363636363636,389
5.0,6,0.7368421052631579,389
5.0,7,0.816326530612245,389
5.0,8,0.7407407407407406,389
5.0,9,0.5833333333333334,389
5.0,10,0.7142857142857143,389
5.0,11,0.8076923076923077,389
5.0,12,0.9166666666666666,389
5.0,1,0.8,389
5.0,2,0.7647058823529411,389
5.0,3,0.7647058823529411,389
5.0,4,0.6875,389
5.0,5,0.8636363636363636,389
5.0,6,0.7368421052631579,389
5.0,7,0.816326530612245,389
5.0,8,0.7407407407407406,389
5.0,9,0.5833333333333334,389
5.0,10,0.7142857142857143,389
5.0,11,0.8076923076923077,389
5.0,12,0.9166666666666666,389
10.0,1,0.830188679245283,389
10.0,2,0.8205128205128205,389
10.0,3,0.7222222222222222,389
10.0,4,0.8333333333333333,389
10.0,5,0.8936170212765957,389
10.0,6,0.761904761904762,389
10.0,7,0.9056603773584904,389
10.0,8,0.7999999999999999,389
10.0,9,0.7333333333333334,389
10.0,10,0.9411764705882353,389
10.0,11,0.8928571428571429,389
10.0,12,0.8799999999999999,389
15.0,1,0.8518518518518519,389
15.0,2,0.85,389
15.0,3,0.7428571428571428,389
15.0,4,0.8648648648648648,389
15.0,5,0.9130434782608695,389
15.0,6,0.7317073170731708,389
15.0,7,0.96,389
15.0,8,0.8666666666666666,389
15.0,9,0.787878787878788,389
15.0,10,0.9565217391304348,389
15.0,11,0.8727272727272728,389
15.0,12,0.8799999999999999,389
20.0,1,0.8518518518518519,389
20.0,2,0.7894736842105262,389
20.0,3,0.7027027027027027,389
20.0,4,0.7999999999999999,389
20.0,5,0.8749999999999999,389
20.0,6,0.8372093023255814,389
20.0,7,0.96,389
20.0,8,0.9032258064516129,389
20.0,9,0.7567567567567567,389
20.0,10,0.9411764705882353,389
20.0,11,0.8727272727272728,389
20.0,12,0.8333333333333334,389
25.0,1,0.8727272727272727,389
25.0,2,0.7894736842105262,389
25.0,3,0.7428571428571428,389
25.0,4,0.8571428571428571,389
25.0,5,0.8749999999999999,389
25.0,6,0.8,389
25.0,7,0.96,389
25.0,8,0.9032258064516129,389
25.0,9,0.7222222222222223,389
25.0,10,0.9411764705882353,389
25.0,11,0.8928571428571429,389
25.0,12,0.8333333333333334,389
30.0,1,0.830188679245283,389
30.0,2,0.8205128205128205,389
30.0,3,0.8108108108108109,389
30.0,4,0.8571428571428571,389
30.0,5,0.8749999999999999,389
30.0,6,0.8292682926829268,389
30.0,7,0.96,389
30.0,8,0.875,389
30.0,9,0.7027027027027026,389
30.0,10,0.9411764705882353,389
30.0,11,0.8928571428571429,389
30.0,12,0.8333333333333334,389
35.0,1,0.830188679245283,389
35.0,2,0.7894736842105262,389
35.0,3,0.8421052631578948,389
35.0,4,0.8571428571428571,389
35.0,5,0.851063829787234,389
35.0,6,0.7692307692307693,389
35.0,7,0.96,389
35.0,8,0.9090909090909091,389
35.0,9,0.7368421052631579,389
35.0,10,0.9411764705882353,389
35.0,11,0.8928571428571429,389
35.0,12,0.8333333333333334,389
40.0,1,0.8518518518518519,389
40.0,2,0.8205128205128205,389
40.0,3,0.8421052631578948,389
40.0,4,0.8823529411764706,389
40.0,5,0.8749999999999999,389
40.0,6,0.8292682926829268,389
40.0,7,0.96,389
40.0,8,0.9090909090909091,389
40.0,9,0.717948717948718,389
40.0,10,0.9565217391304348,389
40.0,11,0.8928571428571429,389
40.0,12,0.7826086956521738,389
45.0,1,0.830188679245283,389
45.0,2,0.8205128205128205,389
45.0,3,0.8717948717948718,389
45.0,4,0.8571428571428571,389
45.0,5,0.851063829787234,389
45.0,6,0.8,389
45.0,7,0.96,389
45.0,8,0.9090909090909091,389
45.0,9,0.7368421052631579,389
45.0,10,0.9565217391304348,389
45.0,11,0.8928571428571429,389
45.0,12,0.8333333333333334,389
50.0,1,0.830188679245283,389
50.0,2,0.8205128205128205,389
50.0,3,0.8421052631578948,389
50.0,4,0.8571428571428571,389
50.0,5,0.8749999999999999,389
50.0,6,0.8,389
50.0,7,0.96,389
50.0,8,0.9090909090909091,389
50.0,9,0.717948717948718,389
50.0,10,0.9565217391304348,389
50.0,11,0.912280701754386,389
50.0,12,0.8333333333333334,389
