Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.7659574468085106,389
0.15,2,0.8421052631578948,389
0.15,3,0.4347826086956522,389
0.15,4,0.7222222222222222,389
0.15,5,0.85,389
0.15,6,0.7368421052631579,389
0.15,7,0.7906976744186047,389
0.15,8,0.875,389
0.15,9,0.2222222222222222,389
0.15,10,0.7796610169491526,389
0.15,11,0.6521739130434783,389
0.15,12,0.8,389
0.325,1,0.7555555555555554,389
0.325,2,0.8421052631578948,389
0.325,3,0.6428571428571429,389
0.325,4,0.7428571428571428,389
0.325,5,0.7692307692307693,389
0.325,6,0.7692307692307693,389
0.325,7,0.96,389
0.325,8,0.8387096774193549,389
0.325,9,0.2222222222222222,389
0.325,10,0.7796610169491526,389
0.325,11,0.846153846153846,389
0.325,12,0.8333333333333334,389
0.5,1,0.8333333333333333,389
0.5,2,0.8421052631578948,389
0.5,3,0.6666666666666666,389
0.5,4,0.8125,389
0.5,5,0.8095238095238095,389
0.5,6,0.7692307692307693,389
0.5,7,0.9795918367346939,389
0.5,8,0.8387096774193549,389
0.5,9,0.0,389
0.5,10,0.8275862068965517,389
0.5,11,0.846153846153846,389
0.5,12,0.8,389
0.65,1,0.8333333333333333,389
0.65,2,0.7999999999999999,389
0.65,3,0.7142857142857143,389
0.65,4,0.7999999999999999,389
0.65,5,0.8571428571428571,389
0.65,6,0.7692307692307693,389
0.65,7,0.9411764705882353,389
0.65,8,0.8125,389
0.65,9,0.0,389
0.65,10,0.819672131147541,389
0.65,11,0.8679245283018869,389
0.65,12,0.7692307692307692,389
0.825,1,0.84,389
0.825,2,0.8421052631578948,389
0.825,3,0.7142857142857143,389
0.825,4,0.8571428571428571,389
0.825,5,0.8571428571428571,389
0.825,6,0.7692307692307693,389
0.825,7,0.96,389
0.825,8,0.8484848484848485,389
0.825,9,0.1111111111111111,389
0.825,10,0.8524590163934426,389
0.825,11,0.888888888888889,389
0.825,12,0.7692307692307692,389
1.0,1,0.8163265306122449,389
1.0,2,0.8421052631578948,389
1.0,3,0.7586206896551725,389
1.0,4,0.8571428571428571,389
1.0,5,0.8837209302325583,389
1.0,6,0.7692307692307693,389
1.0,7,0.96,389
1.0,8,0.787878787878788,389
1.0,9,0.0,389
1.0,10,0.8000000000000002,389
1.0,11,0.8679245283018869,389
1.0,12,0.8333333333333334,389
2.0,1,0.8163265306122449,389
2.0,2,0.8421052631578948,389
2.0,3,0.7586206896551725,389
2.0,4,0.8888888888888888,389
2.0,5,0.8636363636363636,389
2.0,6,0.8,389
2.0,7,0.923076923076923,389
2.0,8,0.9090909090909091,389
2.0,9,0.3,389
2.0,10,0.8709677419354839,389
2.0,11,0.8518518518518519,389
2.0,12,0.8695652173913043,389
3.0,1,0.8235294117647057,389
3.0,2,0.8888888888888888,389
3.0,3,0.6666666666666666,389
3.0,4,0.8571428571428571,389
3.0,5,0.8636363636363636,389
3.0,6,0.8292682926829268,389
3.0,7,0.9259259259259259,389
3.0,8,0.9090909090909091,389
3.0,9,0.3,389
3.0,10,0.8923076923076922,389
3.0,11,0.8727272727272728,389
3.0,12,0.8695652173913043,389
4.0,1,0.8235294117647057,389
4.0,2,0.8947368421052632,389
4.0,3,0.8,389
4.0,4,0.8571428571428571,389
4.0,5,0.8636363636363636,389
4.0,6,0.8571428571428571,389
4.0,7,0.9615384615384615,389
4.0,8,0.9090909090909091,389
4.0,9,0.21052631578947367,389
4.0,10,0.923076923076923,389
4.0,11,0.8727272727272728,389
4.0,12,0.8333333333333334,389
5.0,1,0.8461538461538461,389
5.0,2,0.8717948717948718,389
5.0,3,0.8387096774193548,389
5.0,4,0.8571428571428571,389
5.0,5,0.8636363636363636,389
5.0,6,0.8292682926829268,389
5.0,7,0.9259259259259259,389
5.0,8,0.9090909090909091,389
5.0,9,0.21052631578947367,389
5.0,10,0.9538461538461539,389
5.0,11,0.8518518518518519,389
5.0,12,0.8333333333333334,389
5.0,1,0.8461538461538461,389
5.0,2,0.8717948717948718,389
5.0,3,0.8387096774193548,389
5.0,4,0.8571428571428571,389
5.0,5,0.8636363636363636,389
5.0,6,0.8292682926829268,389
5.0,7,0.9259259259259259,389
5.0,8,0.9090909090909091,389
5.0,9,0.21052631578947367,389
5.0,10,0.9538461538461539,389
5.0,11,0.8518518518518519,389
5.0,12,0.8333333333333334,389
10.0,1,0.8461538461538461,389
10.0,2,0.8205128205128205,389
10.0,3,0.7333333333333334,389
10.0,4,0.8571428571428571,389
10.0,5,0.8636363636363636,389
10.0,6,0.8571428571428571,389
10.0,7,0.9803921568627451,389
10.0,8,0.9090909090909091,389
10.0,9,0.3,389
10.0,10,0.9393939393939394,389
10.0,11,0.8727272727272728,389
10.0,12,0.8,389
15.0,1,0.8461538461538461,389
15.0,2,0.7727272727272727,389
15.0,3,0.7333333333333334,389
15.0,4,0.8823529411764706,389
15.0,5,0.8636363636363636,389
