Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.35294117647058826,389
0.15,2,0.3636363636363636,389
0.15,3,0.19999999999999998,389
0.15,4,0.21052631578947367,389
0.15,5,0.7894736842105263,389
0.15,6,0.3448275862068966,389
0.15,7,0.6111111111111112,389
0.15,8,0.11764705882352941,389
0.15,9,0.0,389
0.15,10,0.4186046511627907,389
0.15,11,0.7499999999999999,389
0.15,12,0.0,389
0.325,1,0.4,389
0.325,2,0.5,389
0.325,3,0.3636363636363636,389
0.325,4,0.38095238095238093,389
0.325,5,0.6857142857142856,389
0.325,6,0.2222222222222222,389
0.325,7,0.6111111111111112,389
0.325,8,0.11764705882352941,389
0.325,9,0.2222222222222222,389
0.325,10,0.48888888888888893,389
0.325,11,0.7234042553191489,389
0.325,12,0.15384615384615385,389
0.5,1,0.4,389
0.5,2,0.10526315789473684,389
0.5,3,0.2857142857142857,389
0.5,4,0.45454545454545453,389
0.5,5,0.7999999999999999,389
0.5,6,0.2222222222222222,389
0.5,7,0.7804878048780487,389
0.5,8,0.3157894736842105,389
0.5,9,0.2222222222222222,389
0.5,10,0.5217391304347826,389
0.5,11,0.7755102040816326,389
0.5,12,0.15384615384615385,389
0.65,1,0.4,389
0.65,2,0.19999999999999998,389
0.65,3,0.3636363636363636,389
0.65,4,0.45454545454545453,389
0.65,5,0.7692307692307693,389
0.65,6,0.2857142857142857,389
0.65,7,0.8095238095238095,389
0.65,8,0.2222222222222222,389
0.65,9,0.2222222222222222,389
0.65,10,0.5217391304347826,389
0.65,11,0.7755102040816326,389
0.65,12,0.0,389
0.825,1,0.4,389
0.825,2,0.19999999999999998,389
0.825,3,0.3636363636363636,389
0.825,4,0.45454545454545453,389
0.825,5,0.7368421052631579,389
0.825,6,0.3448275862068966,389
0.825,7,0.8095238095238095,389
0.825,8,0.4,389
0.825,9,0.2222222222222222,389
0.825,10,0.5833333333333334,389
0.825,11,0.7755102040816326,389
0.825,12,0.15384615384615385,389
1.0,1,0.4,389
1.0,2,0.19999999999999998,389
1.0,3,0.4347826086956522,389
1.0,4,0.5217391304347826,389
1.0,5,0.7368421052631579,389
1.0,6,0.4,389
1.0,7,0.8095238095238095,389
1.0,8,0.3157894736842105,389
1.0,9,0.2222222222222222,389
1.0,10,0.5531914893617021,389
1.0,11,0.8,389
1.0,12,0.15384615384615385,389
2.0,1,0.4444444444444445,389
2.0,2,0.19999999999999998,389
2.0,3,0.56,389
2.0,4,0.45454545454545453,389
2.0,5,0.7027027027027025,389
2.0,6,0.3448275862068966,389
2.0,7,0.9583333333333334,389
2.0,8,0.3157894736842105,389
2.0,9,0.3,389
2.0,10,0.5531914893617021,389
2.0,11,0.7755102040816326,389
2.0,12,0.2857142857142857,389
3.0,1,0.4,389
3.0,2,0.2857142857142857,389
3.0,3,0.56,389
3.0,4,0.45454545454545453,389
3.0,5,0.7368421052631579,389
3.0,6,0.3448275862068966,389
3.0,7,0.9361702127659575,389
3.0,8,0.47619047619047616,389
3.0,9,0.3,389
3.0,10,0.6122448979591837,389
3.0,11,0.8,389
3.0,12,0.15384615384615385,389
4.0,1,0.4,389
4.0,2,0.3636363636363636,389
4.0,3,0.56,389
4.0,4,0.45454545454545453,389
4.0,5,0.7692307692307693,389
4.0,6,0.3448275862068966,389
4.0,7,0.9361702127659575,389
4.0,8,0.5454545454545454,389
4.0,9,0.21052631578947367,389
4.0,10,0.6399999999999999,389
4.0,11,0.8,389
