Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
2.0,1,0.7391304347826088,389
2.0,2,0.19999999999999998,389
2.0,3,0.6666666666666666,389
2.0,4,0.6399999999999999,389
2.0,5,0.8837209302325583,389
2.0,6,0.5882352941176471,389
2.0,7,0.888888888888889,389
2.0,8,0.47619047619047616,389
2.0,9,0.5217391304347825,389
2.0,10,0.3,389
2.0,11,0.7755102040816326,389
2.0,12,0.4,389
3.0,1,0.7391304347826088,389
3.0,2,0.19999999999999998,389
3.0,3,0.6666666666666666,389
3.0,4,0.6399999999999999,389
3.0,5,0.8837209302325583,389
3.0,6,0.5882352941176471,389
3.0,7,0.888888888888889,389
3.0,8,0.47619047619047616,389
3.0,9,0.5217391304347825,389
3.0,10,0.3,389
3.0,11,0.7755102040816326,389
3.0,12,0.4,389
4.0,1,0.75,389
4.0,2,0.4347826086956522,389
4.0,3,0.7142857142857143,389
4.0,4,0.6923076923076924,389
4.0,5,0.8636363636363636,389
4.0,6,0.6285714285714286,389
4.0,7,0.9130434782608696,389
4.0,8,0.64,389
4.0,9,0.5833333333333334,389
4.0,10,0.38095238095238093,389
4.0,11,0.8076923076923077,389
4.0,12,0.4,389
5.0,1,0.75,389
5.0,2,0.4347826086956522,389
5.0,3,0.7142857142857143,389
5.0,4,0.6923076923076924,389
5.0,5,0.8636363636363636,389
5.0,6,0.6285714285714286,389
5.0,7,0.9130434782608696,389
5.0,8,0.64,389
5.0,9,0.5833333333333334,389
5.0,10,0.38095238095238093,389
5.0,11,0.8076923076923077,389
5.0,12,0.4,389
5.0,1,0.75,389
5.0,2,0.4347826086956522,389
5.0,3,0.7142857142857143,389
5.0,4,0.6923076923076924,389
5.0,5,0.8636363636363636,389
5.0,6,0.6285714285714286,389
5.0,7,0.9130434782608696,389
5.0,8,0.64,389
5.0,9,0.5833333333333334,389
5.0,10,0.38095238095238093,389
5.0,11,0.8076923076923077,389
5.0,12,0.4,389
10.0,1,0.7755102040816326,389
10.0,2,0.3636363636363636,389
10.0,3,0.7333333333333334,389
10.0,4,0.7407407407407407,389
10.0,5,0.8636363636363636,389
10.0,6,0.6285714285714286,389
10.0,7,0.9130434782608696,389
10.0,8,0.72,389
10.0,9,0.5217391304347825,389
10.0,10,0.38095238095238093,389
10.0,11,0.7755102040816326,389
10.0,12,0.2857142857142857,389
15.0,1,0.75,389
15.0,2,0.4347826086956522,389
15.0,3,0.7333333333333334,389
15.0,4,0.7407407407407407,389
15.0,5,0.8636363636363636,389
15.0,6,0.6285714285714286,389
15.0,7,0.9130434782608696,389
15.0,8,0.6666666666666666,389
15.0,9,0.5833333333333334,389
15.0,10,0.4186046511627907,389
15.0,11,0.7346938775510204,389
15.0,12,0.4,389
20.0,1,0.75,389
20.0,2,0.4347826086956522,389
20.0,3,0.7333333333333334,389
20.0,4,0.7407407407407407,389
20.0,5,0.8636363636363636,389
20.0,6,0.6285714285714286,389
20.0,7,0.9361702127659575,389
20.0,8,0.6666666666666666,389
20.0,9,0.56,389
20.0,10,0.4186046511627907,389
20.0,11,0.8301886792452831,389
20.0,12,0.5882352941176471,389
25.0,1,0.75,389
25.0,2,0.5,389
25.0,3,0.7333333333333334,389
25.0,4,0.7407407407407407,389
25.0,5,0.8636363636363636,389
25.0,6,0.6285714285714286,389
25.0,7,0.9361702127659575,389
25.0,8,0.6666666666666666,389
25.0,9,0.56,389
25.0,10,0.48888888888888893,389
25.0,11,0.8518518518518519,389
25.0,12,0.4,389
30.0,1,0.75,389
30.0,2,0.5,389
30.0,3,0.7333333333333334,389
30.0,4,0.7407407407407407,389
30.0,5,0.8636363636363636,389
30.0,6,0.6285714285714286,389
30.0,7,0.9361702127659575,389
30.0,8,0.6666666666666666,389
30.0,9,0.5384615384615384,389
30.0,10,0.5217391304347826,389
30.0,11,0.8518518518518519,389
30.0,12,0.4,389
35.0,1,0.75,389
35.0,2,0.5,389
35.0,3,0.7333333333333334,389
35.0,4,0.7407407407407407,389
35.0,5,0.8636363636363636,389
35.0,6,0.6285714285714286,389
35.0,7,0.9361702127659575,389
35.0,8,0.6666666666666666,389
35.0,9,0.5384615384615384,389
35.0,10,0.45454545454545453,389
35.0,11,0.8518518518518519,389
35.0,12,0.4,389
40.0,1,0.75,389
40.0,2,0.5,389
40.0,3,0.7333333333333334,389
40.0,4,0.8275862068965517,389
40.0,5,0.8636363636363636,389
40.0,6,0.7027027027027027,389
40.0,7,0.9583333333333334,389
40.0,8,0.6666666666666666,389
40.0,9,0.5925925925925926,389
40.0,10,0.45454545454545453,389
40.0,11,0.8727272727272728,389
40.0,12,0.5,389
45.0,1,0.75,389
45.0,2,0.5,389
45.0,3,0.7333333333333334,389
45.0,4,0.8275862068965517,389
45.0,5,0.8636363636363636,389
45.0,6,0.7027027027027027,389
45.0,7,0.9583333333333334,389
45.0,8,0.6666666666666666,389
45.0,9,0.5925925925925926,389
45.0,10,0.48888888888888893,389
45.0,11,0.8727272727272728,389
45.0,12,0.5,389
50.0,1,0.7234042553191489,389
50.0,2,0.5,389
50.0,3,0.7333333333333334,389
50.0,4,0.8275862068965517,389
50.0,5,0.8636363636363636,389
50.0,6,0.7027027027027027,389
50.0,7,0.9361702127659575,389
50.0,8,0.6666666666666666,389
50.0,9,0.5925925925925926,389
50.0,10,0.48888888888888893,389
50.0,11,0.8727272727272728,389
50.0,12,0.5,389
