Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
2.0,1,0.8163265306122449,389
2.0,2,0.8421052631578948,389
2.0,3,0.7586206896551725,389
2.0,4,0.8888888888888888,389
2.0,5,0.8636363636363636,389
2.0,6,0.8,389
2.0,7,0.923076923076923,389
2.0,8,0.9090909090909091,389
2.0,9,0.3,389
2.0,10,0.8709677419354839,389
2.0,11,0.8518518518518519,389
2.0,12,0.8695652173913043,389
3.0,1,0.8163265306122449,389
3.0,2,0.8421052631578948,389
3.0,3,0.7586206896551725,389
3.0,4,0.8888888888888888,389
3.0,5,0.8636363636363636,389
3.0,6,0.8,389
3.0,7,0.923076923076923,389
3.0,8,0.9090909090909091,389
3.0,9,0.3,389
3.0,10,0.8709677419354839,389
3.0,11,0.8518518518518519,389
3.0,12,0.8695652173913043,389
4.0,1,0.8461538461538461,389
4.0,2,0.8095238095238096,389
4.0,3,0.8125000000000001,389
4.0,4,0.8888888888888888,389
4.0,5,0.8636363636363636,389
4.0,6,0.8837209302325582,389
4.0,7,0.9433962264150945,389
4.0,8,0.9090909090909091,389
4.0,9,0.3,389
4.0,10,0.9275362318840579,389
4.0,11,0.8727272727272728,389
4.0,12,0.8,389
5.0,1,0.8461538461538461,389
5.0,2,0.8095238095238096,389
5.0,3,0.8125000000000001,389
5.0,4,0.8888888888888888,389
5.0,5,0.8636363636363636,389
5.0,6,0.8837209302325582,389
5.0,7,0.9433962264150945,389
5.0,8,0.9090909090909091,389
5.0,9,0.3,389
5.0,10,0.9275362318840579,389
5.0,11,0.8727272727272728,389
5.0,12,0.8,389
5.0,1,0.8461538461538461,389
5.0,2,0.8095238095238096,389
5.0,3,0.8125000000000001,389
5.0,4,0.8888888888888888,389
5.0,5,0.8636363636363636,389
5.0,6,0.8837209302325582,389
5.0,7,0.9433962264150945,389
5.0,8,0.9090909090909091,389
5.0,9,0.3,389
5.0,10,0.9275362318840579,389
5.0,11,0.8727272727272728,389
5.0,12,0.8,389
10.0,1,0.8679245283018867,389
10.0,2,0.8095238095238096,389
10.0,3,0.7333333333333334,389
10.0,4,0.8571428571428571,389
10.0,5,0.8636363636363636,389
10.0,6,0.8571428571428571,389
10.0,7,0.9803921568627451,389
10.0,8,0.8823529411764706,389
10.0,9,0.3,389
10.0,10,0.9393939393939394,389
10.0,11,0.912280701754386,389
10.0,12,0.7407407407407408,389
15.0,1,0.8518518518518519,389
15.0,2,0.7906976744186047,389
15.0,3,0.7741935483870968,389
15.0,4,0.9142857142857143,389
15.0,5,0.8636363636363636,389
15.0,6,0.8571428571428571,389
15.0,7,0.9803921568627451,389
15.0,8,0.8823529411764706,389
15.0,9,0.3,389
15.0,10,0.9538461538461539,389
15.0,11,0.912280701754386,389
15.0,12,0.7407407407407408,389
20.0,1,0.8679245283018867,389
20.0,2,0.7727272727272727,389
20.0,3,0.7878787878787877,389
20.0,4,0.9444444444444444,389
20.0,5,0.8636363636363636,389
20.0,6,0.8837209302325582,389
20.0,7,0.9615384615384615,389
20.0,8,0.8571428571428572,389
20.0,9,0.38095238095238093,389
20.0,10,0.9696969696969697,389
20.0,11,0.9310344827586207,389
20.0,12,0.8,389
25.0,1,0.8679245283018867,389
25.0,2,0.7727272727272727,389
25.0,3,0.7878787878787877,389
25.0,4,0.9444444444444444,389
25.0,5,0.8636363636363636,389
25.0,6,0.8636363636363635,389
25.0,7,0.9803921568627451,389
25.0,8,0.8571428571428572,389
25.0,9,0.38095238095238093,389
25.0,10,0.9696969696969697,389
25.0,11,0.9310344827586207,389
25.0,12,0.7692307692307692,389
30.0,1,0.8679245283018867,389
30.0,2,0.7555555555555556,389
30.0,3,0.8125000000000001,389
30.0,4,0.9444444444444444,389
30.0,5,0.8636363636363636,389
30.0,6,0.8636363636363635,389
30.0,7,0.9615384615384615,389
30.0,8,0.8571428571428572,389
30.0,9,0.38095238095238093,389
30.0,10,0.9696969696969697,389
30.0,11,0.9310344827586207,389
30.0,12,0.8,389
35.0,1,0.8679245283018867,389
35.0,2,0.7555555555555556,389
35.0,3,0.8125000000000001,389
35.0,4,0.9444444444444444,389
35.0,5,0.8636363636363636,389
35.0,6,0.8636363636363635,389
35.0,7,0.9615384615384615,389
35.0,8,0.8333333333333334,389
35.0,9,0.38095238095238093,389
35.0,10,0.9696969696969697,389
35.0,11,0.9491525423728815,389
35.0,12,0.8,389
40.0,1,0.8679245283018867,389
40.0,2,0.7555555555555556,389
40.0,3,0.8125000000000001,389
40.0,4,0.9444444444444444,389
40.0,5,0.8636363636363636,389
40.0,6,0.8636363636363635,389
40.0,7,0.9615384615384615,389
40.0,8,0.8333333333333334,389
40.0,9,0.38095238095238093,389
40.0,10,0.9705882352941176,389
40.0,11,0.9491525423728815,389
40.0,12,0.8,389
45.0,1,0.8679245283018867,389
45.0,2,0.7555555555555556,389
45.0,3,0.8125000000000001,389
45.0,4,0.9444444444444444,389
45.0,5,0.8636363636363636,389
45.0,6,0.8636363636363635,389
45.0,7,0.9615384615384615,389
45.0,8,0.8648648648648648,389
45.0,9,0.38095238095238093,389
45.0,10,0.9705882352941176,389
45.0,11,0.9491525423728815,389
45.0,12,0.8,389
50.0,1,0.8679245283018867,389
50.0,2,0.7555555555555556,389
50.0,3,0.7741935483870968,389
50.0,4,0.9444444444444444,389
50.0,5,0.8444444444444444,389
50.0,6,0.8636363636363635,389
50.0,7,0.9803921568627451,389
50.0,8,0.8421052631578948,389
50.0,9,0.38095238095238093,389
50.0,10,0.9705882352941176,389
50.0,11,0.9491525423728815,389
50.0,12,0.7692307692307692,389
