Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.9473684210526316,389
0.15,2,0.7659574468085107,389
0.15,3,0.8333333333333334,389
0.15,4,0.7391304347826086,389
0.15,5,0.8235294117647057,389
0.15,6,0.9019607843137256,389
0.15,7,0.923076923076923,389
0.15,8,0.7441860465116279,389
0.15,9,0.7142857142857143,389
0.15,10,0.8524590163934426,389
0.15,11,0.9333333333333333,389
0.15,12,0.6857142857142856,389
0.325,1,0.9285714285714286,389
0.325,2,0.8292682926829269,389
0.325,3,0.9142857142857143,389
0.325,4,0.7111111111111111,389
0.325,5,0.84,389
0.325,6,0.8799999999999999,389
0.325,7,0.9361702127659575,389
0.325,8,0.8571428571428572,389
0.325,9,0.75,389
0.325,10,0.8333333333333333,389
0.325,11,0.896551724137931,389
0.325,12,0.8,389
0.5,1,0.9056603773584904,389
0.5,2,0.8292682926829269,389
0.5,3,0.9142857142857143,389
0.5,4,0.7619047619047621,389
0.5,5,0.8163265306122449,389
0.5,6,0.9333333333333333,389
0.5,7,0.9583333333333334,389
0.5,8,0.9375,389
0.5,9,0.6842105263157896,389
0.5,10,0.8333333333333333,389
0.5,11,0.8928571428571429,389
0.5,12,0.8461538461538461,389
0.65,1,0.8627450980392156,389
0.65,2,0.8205128205128205,389
0.65,3,0.9142857142857143,389
0.65,4,0.75,389
0.65,5,0.8695652173913043,389
0.65,6,0.8837209302325582,389
0.65,7,0.9361702127659575,389
0.65,8,0.9090909090909091,389
0.65,9,0.7777777777777777,389
0.65,10,0.7931034482758621,389
0.65,11,0.8518518518518519,389
0.65,12,0.8695652173913043,389
0.825,1,0.8627450980392156,389
0.825,2,0.8717948717948718,389
0.825,3,0.8823529411764706,389
0.825,4,0.75,389
0.825,5,0.8372093023255814,389
0.825,6,0.8837209302325582,389
0.825,7,0.9130434782608696,389
0.825,8,0.9375,389
0.825,9,0.7647058823529411,389
0.825,10,0.7037037037037037,389
0.825,11,0.8518518518518519,389
0.825,12,0.761904761904762,389
1.0,1,0.8627450980392156,389
1.0,2,0.8648648648648649,389
1.0,3,0.9090909090909091,389
1.0,4,0.7692307692307693,389
1.0,5,0.888888888888889,389
1.0,6,0.8372093023255814,389
1.0,7,0.9130434782608696,389
1.0,8,0.9375,389
1.0,9,0.787878787878788,389
1.0,10,0.6538461538461539,389
1.0,11,0.8076923076923077,389
1.0,12,0.7272727272727272,389
2.0,1,0.8,389
2.0,2,0.8421052631578948,389
2.0,3,0.8387096774193548,389
2.0,4,0.7894736842105262,389
2.0,5,0.8636363636363636,389
2.0,6,0.8292682926829268,389
2.0,7,0.8749999999999999,389
2.0,8,0.9375,389
2.0,9,0.7777777777777777,389
2.0,10,0.7272727272727274,389
2.0,11,0.7234042553191489,389
2.0,12,0.923076923076923,389
3.0,1,0.7916666666666667,389
3.0,2,0.8108108108108109,389
3.0,3,0.8387096774193548,389
3.0,4,0.7894736842105262,389
3.0,5,0.8636363636363636,389
3.0,6,0.8837209302325582,389
3.0,7,0.888888888888889,389
3.0,8,0.9032258064516129,389
3.0,9,0.7857142857142857,389
3.0,10,0.7407407407407407,389
3.0,11,0.7499999999999999,389
3.0,12,0.8181818181818182,389
4.0,1,0.7755102040816326,389
4.0,2,0.8421052631578948,389
4.0,3,0.9090909090909091,389
4.0,4,0.8108108108108107,389
4.0,5,0.8837209302325583,389
4.0,6,0.8636363636363635,389
4.0,7,0.888888888888889,389
4.0,8,0.9032258064516129,389
4.0,9,0.8666666666666666,389
4.0,10,0.7037037037037037,389
4.0,11,0.7499999999999999,389
4.0,12,0.9166666666666666,389
5.0,1,0.8163265306122449,389
5.0,2,0.8108108108108109,389
5.0,3,0.9090909090909091,389
5.0,4,0.8333333333333333,389
5.0,5,0.8837209302325583,389
5.0,6,0.8837209302325582,389
5.0,7,0.888888888888889,389
5.0,8,0.9032258064516129,389
5.0,9,0.8387096774193549,389
5.0,10,0.7037037037037037,389
5.0,11,0.7499999999999999,389
5.0,12,0.8695652173913043,389
5.0,1,0.8163265306122449,389
5.0,2,0.8108108108108109,389
5.0,3,0.9090909090909091,389
5.0,4,0.8333333333333333,389
5.0,5,0.8837209302325583,389
5.0,6,0.8837209302325582,389
5.0,7,0.888888888888889,389
5.0,8,0.9032258064516129,389
5.0,9,0.8387096774193549,389
5.0,10,0.7037037037037037,389
5.0,11,0.7499999999999999,389
5.0,12,0.8695652173913043,389
10.0,1,0.8,389
10.0,2,0.8421052631578948,389
10.0,3,0.8750000000000001,389
10.0,4,0.8888888888888888,389
10.0,5,0.8636363636363636,389
10.0,6,0.8636363636363635,389
10.0,7,0.9583333333333334,389
10.0,8,0.9032258064516129,389
10.0,9,0.7586206896551724,389
10.0,10,0.7719298245614036,389
10.0,11,0.7499999999999999,389
10.0,12,0.9166666666666666,389
15.0,1,0.8235294117647057,389
15.0,2,0.8421052631578948,389
15.0,3,0.8484848484848485,389
15.0,4,0.9142857142857143,389
15.0,5,0.8571428571428571,389
15.0,6,0.888888888888889,389
15.0,7,0.9130434782608696,389
15.0,8,0.9032258064516129,389
15.0,9,0.7999999999999999,389
15.0,10,0.8333333333333333,389
15.0,11,0.7499999999999999,389
15.0,12,0.9166666666666666,389
20.0,1,0.8,389
20.0,2,0.8717948717948718,389
20.0,3,0.8484848484848485,389
20.0,4,0.9142857142857143,389
20.0,5,0.8571428571428571,389
20.0,6,0.888888888888889,389
20.0,7,0.8636363636363636,389
20.0,8,0.875,389
20.0,9,0.7999999999999999,389
20.0,10,0.8333333333333333,389
20.0,11,0.7499999999999999,389
20.0,12,0.9166666666666666,389
25.0,1,0.8235294117647057,389
25.0,2,0.8717948717948718,389
25.0,3,0.8571428571428571,389
25.0,4,0.9411764705882353,389
25.0,5,0.8837209302325583,389
25.0,6,0.8695652173913043,389
25.0,7,0.8636363636363636,389
25.0,8,0.875,389
25.0,9,0.7999999999999999,389
25.0,10,0.8333333333333333,389
25.0,11,0.7346938775510204,389
25.0,12,0.9166666666666666,389
30.0,1,0.8,389
30.0,2,0.85,389
30.0,3,0.8823529411764706,389
30.0,4,0.9444444444444444,389
30.0,5,0.8571428571428571,389
30.0,6,0.888888888888889,389
30.0,7,0.888888888888889,389
30.0,8,0.875,389
30.0,9,0.8125,389
30.0,10,0.8709677419354839,389
30.0,11,0.7599999999999999,389
30.0,12,0.9166666666666666,389
35.0,1,0.8461538461538461,389
35.0,2,0.8205128205128205,389
35.0,3,0.8571428571428571,389
35.0,4,0.9714285714285714,389
35.0,5,0.8837209302325583,389
35.0,6,0.888888888888889,389
35.0,7,0.888888888888889,389
35.0,8,0.875,389
35.0,9,0.7999999999999999,389
35.0,10,0.8709677419354839,389
35.0,11,0.7346938775510204,389
35.0,12,0.9166666666666666,389
40.0,1,0.8,389
40.0,2,0.8205128205128205,389
40.0,3,0.8571428571428571,389
40.0,4,0.9714285714285714,389
40.0,5,0.8837209302325583,389
40.0,6,0.9090909090909091,389
40.0,7,0.9130434782608696,389
40.0,8,0.875,389
40.0,9,0.7999999999999999,389
40.0,10,0.8709677419354839,389
40.0,11,0.7599999999999999,389
40.0,12,0.9166666666666666,389
45.0,1,0.8,389
45.0,2,0.8205128205128205,389
45.0,3,0.8571428571428571,389
45.0,4,0.9714285714285714,389
45.0,5,0.8837209302325583,389
45.0,6,0.888888888888889,389
45.0,7,0.888888888888889,389
45.0,8,0.9411764705882353,389
45.0,9,0.787878787878788,389
45.0,10,0.888888888888889,389
45.0,11,0.7599999999999999,389
45.0,12,0.9166666666666666,389
50.0,1,0.8,389
50.0,2,0.85,389
50.0,3,0.8888888888888888,389
50.0,4,0.9714285714285714,389
50.0,5,0.8837209302325583,389
50.0,6,0.888888888888889,389
50.0,7,0.9130434782608696,389
50.0,8,0.9411764705882353,389
50.0,9,0.75,389
50.0,10,0.888888888888889,389
50.0,11,0.7346938775510204,389
50.0,12,0.8695652173913043,389
