Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.9285714285714286,389
5.0,2,0.8484848484848485,389
5.0,3,0.9142857142857143,389
5.0,4,0.8571428571428571,389
5.0,5,0.9130434782608695,389
5.0,6,0.851063829787234,389
5.0,7,0.9433962264150945,389
5.0,8,0.896551724137931,389
5.0,9,0.7741935483870969,389
5.0,10,0.8524590163934426,389
5.0,11,0.8771929824561403,389
5.0,12,0.7826086956521738,389
5.0,1,0.9285714285714286,389
5.0,2,0.8484848484848485,389
5.0,3,0.9142857142857143,389
5.0,4,0.8571428571428571,389
5.0,5,0.9130434782608695,389
5.0,6,0.851063829787234,389
5.0,7,0.9433962264150945,389
5.0,8,0.896551724137931,389
5.0,9,0.7741935483870969,389
5.0,10,0.8524590163934426,389
5.0,11,0.8771929824561403,389
5.0,12,0.7826086956521738,389
10.0,1,0.912280701754386,389
10.0,2,0.8823529411764706,389
10.0,3,0.8648648648648649,389
10.0,4,0.8571428571428571,389
10.0,5,0.9130434782608695,389
10.0,6,0.8979591836734694,389
10.0,7,0.9433962264150945,389
10.0,8,0.9032258064516129,389
10.0,9,0.8125,389
10.0,10,0.9393939393939394,389
10.0,11,0.9152542372881356,389
10.0,12,0.7826086956521738,389
15.0,1,0.912280701754386,389
15.0,2,0.8823529411764706,389
15.0,3,0.8648648648648649,389
15.0,4,0.8823529411764706,389
15.0,5,0.9130434782608695,389
15.0,6,0.875,389
15.0,7,1.0,389
15.0,8,0.8666666666666666,389
15.0,9,0.7333333333333334,389
15.0,10,0.9393939393939394,389
15.0,11,0.9152542372881356,389
15.0,12,0.8181818181818182,389
20.0,1,0.912280701754386,389
20.0,2,0.8571428571428571,389
20.0,3,0.878048780487805,389
20.0,4,0.8823529411764706,389
20.0,5,0.8936170212765957,389
20.0,6,0.9019607843137256,389
20.0,7,1.0,389
20.0,8,0.8666666666666666,389
20.0,9,0.6111111111111112,389
20.0,10,0.955223880597015,389
20.0,11,0.9333333333333333,389
20.0,12,0.7826086956521738,389
25.0,1,0.912280701754386,389
25.0,2,0.8571428571428571,389
25.0,3,0.878048780487805,389
25.0,4,0.8823529411764706,389
25.0,5,0.8936170212765957,389
25.0,6,0.8979591836734694,389
25.0,7,0.9795918367346939,389
25.0,8,0.8666666666666666,389
25.0,9,0.6111111111111112,389
25.0,10,0.955223880597015,389
25.0,11,0.9333333333333333,389
25.0,12,0.8181818181818182,389
30.0,1,0.9310344827586207,389
30.0,2,0.8571428571428571,389
30.0,3,0.8571428571428571,389
30.0,4,0.8823529411764706,389
30.0,5,0.8936170212765957,389
30.0,6,0.9387755102040817,389
30.0,7,0.9795918367346939,389
30.0,8,0.9696969696969697,389
30.0,9,0.6111111111111112,389
30.0,10,0.9714285714285714,389
30.0,11,0.9333333333333333,389
30.0,12,0.8181818181818182,389
35.0,1,0.9310344827586207,389
35.0,2,0.8571428571428571,389
35.0,3,0.9473684210526316,389
35.0,4,0.8823529411764706,389
35.0,5,0.8936170212765957,389
35.0,6,0.9387755102040817,389
35.0,7,0.9795918367346939,389
35.0,8,0.9375,389
35.0,9,0.6111111111111112,389
35.0,10,0.9565217391304348,389
35.0,11,0.9333333333333333,389
35.0,12,0.7826086956521738,389
40.0,1,0.9310344827586207,389
40.0,2,0.8888888888888888,389
40.0,3,0.923076923076923,389
40.0,4,0.8823529411764706,389
40.0,5,0.8936170212765957,389
40.0,6,0.9199999999999999,389
40.0,7,0.9795918367346939,389
40.0,8,0.9375,389
40.0,9,0.6486486486486486,389
40.0,10,0.9565217391304348,389
40.0,11,0.9333333333333333,389
40.0,12,0.7826086956521738,389
45.0,1,0.9310344827586207,389
45.0,2,0.8571428571428571,389
45.0,3,0.923076923076923,389
45.0,4,0.9090909090909091,389
45.0,5,0.8936170212765957,389
45.0,6,0.9387755102040817,389
45.0,7,0.9795918367346939,389
45.0,8,0.9375,389
45.0,9,0.6111111111111112,389
45.0,10,0.9565217391304348,389
45.0,11,0.9333333333333333,389
45.0,12,0.7826086956521738,389
50.0,1,0.9310344827586207,389
50.0,2,0.8571428571428571,389
50.0,3,0.9,389
50.0,4,0.9090909090909091,389
50.0,5,0.8936170212765957,389
50.0,6,0.9199999999999999,389
50.0,7,0.9795918367346939,389
50.0,8,0.9375,389
50.0,9,0.6486486486486486,389
50.0,10,0.9714285714285714,389
50.0,11,0.9333333333333333,389
50.0,12,0.8181818181818182,389
