Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.9032258064516129,389
5.0,2,0.7346938775510204,389
5.0,3,0.7346938775510204,389
5.0,4,0.6799999999999999,389
5.0,5,0.8363636363636363,389
5.0,6,0.8421052631578948,389
5.0,7,0.8771929824561403,389
5.0,8,0.6274509803921569,389
5.0,9,0.7111111111111111,389
5.0,10,0.9444444444444444,389
5.0,11,0.9375,389
5.0,12,0.6153846153846153,389
5.0,1,0.9032258064516129,389
5.0,2,0.7346938775510204,389
5.0,3,0.7346938775510204,389
5.0,4,0.6799999999999999,389
5.0,5,0.8363636363636363,389
5.0,6,0.8421052631578948,389
5.0,7,0.8771929824561403,389
5.0,8,0.6274509803921569,389
5.0,9,0.7111111111111111,389
5.0,10,0.9444444444444444,389
5.0,11,0.9375,389
5.0,12,0.6153846153846153,389
10.0,1,0.9032258064516129,389
10.0,2,0.7346938775510204,389
10.0,3,0.7346938775510204,389
10.0,4,0.6799999999999999,389
10.0,5,0.8363636363636363,389
10.0,6,0.8421052631578948,389
10.0,7,0.8771929824561403,389
10.0,8,0.6274509803921569,389
10.0,9,0.7111111111111111,389
10.0,10,0.9444444444444444,389
10.0,11,0.9375,389
10.0,12,0.6153846153846153,389
15.0,1,0.9032258064516129,389
15.0,2,0.7346938775510204,389
15.0,3,0.7346938775510204,389
15.0,4,0.6799999999999999,389
15.0,5,0.8363636363636363,389
15.0,6,0.8421052631578948,389
15.0,7,0.8771929824561403,389
15.0,8,0.6274509803921569,389
15.0,9,0.7111111111111111,389
15.0,10,0.9444444444444444,389
15.0,11,0.9375,389
15.0,12,0.6153846153846153,389
20.0,1,0.9032258064516129,389
20.0,2,0.7346938775510204,389
20.0,3,0.7346938775510204,389
20.0,4,0.6799999999999999,389
20.0,5,0.8363636363636363,389
20.0,6,0.8421052631578948,389
20.0,7,0.8771929824561403,389
20.0,8,0.6274509803921569,389
20.0,9,0.7111111111111111,389
20.0,10,0.9444444444444444,389
20.0,11,0.9375,389
20.0,12,0.6153846153846153,389
25.0,1,0.9032258064516129,389
25.0,2,0.7346938775510204,389
25.0,3,0.7346938775510204,389
25.0,4,0.6799999999999999,389
25.0,5,0.8363636363636363,389
25.0,6,0.8421052631578948,389
25.0,7,0.8771929824561403,389
25.0,8,0.6274509803921569,389
25.0,9,0.7111111111111111,389
25.0,10,0.9444444444444444,389
25.0,11,0.9375,389
25.0,12,0.6153846153846153,389
30.0,1,0.9032258064516129,389
30.0,2,0.7346938775510204,389
30.0,3,0.7346938775510204,389
30.0,4,0.6799999999999999,389
30.0,5,0.8363636363636363,389
30.0,6,0.8421052631578948,389
30.0,7,0.8771929824561403,389
30.0,8,0.6274509803921569,389
30.0,9,0.7111111111111111,389
30.0,10,0.9444444444444444,389
30.0,11,0.9375,389
30.0,12,0.6153846153846153,389
35.0,1,0.9032258064516129,389
35.0,2,0.7346938775510204,389
35.0,3,0.7346938775510204,389
35.0,4,0.6799999999999999,389
35.0,5,0.8363636363636363,389
35.0,6,0.8421052631578948,389
35.0,7,0.8771929824561403,389
35.0,8,0.6274509803921569,389
35.0,9,0.7111111111111111,389
35.0,10,0.9444444444444444,389
35.0,11,0.9375,389
35.0,12,0.6153846153846153,389
40.0,1,0.9032258064516129,389
40.0,2,0.7346938775510204,389
40.0,3,0.7346938775510204,389
40.0,4,0.6799999999999999,389
40.0,5,0.8363636363636363,389
40.0,6,0.8421052631578948,389
40.0,7,0.8771929824561403,389
40.0,8,0.6274509803921569,389
40.0,9,0.7111111111111111,389
40.0,10,0.9444444444444444,389
40.0,11,0.9375,389
40.0,12,0.6153846153846153,389
45.0,1,0.9032258064516129,389
45.0,2,0.7346938775510204,389
45.0,3,0.7346938775510204,389
45.0,4,0.6799999999999999,389
45.0,5,0.8363636363636363,389
45.0,6,0.8421052631578948,389
45.0,7,0.8771929824561403,389
45.0,8,0.6274509803921569,389
45.0,9,0.7111111111111111,389
45.0,10,0.9444444444444444,389
45.0,11,0.9375,389
45.0,12,0.6153846153846153,389
50.0,1,0.9032258064516129,389
50.0,2,0.7346938775510204,389
50.0,3,0.7346938775510204,389
50.0,4,0.6799999999999999,389
50.0,5,0.8363636363636363,389
50.0,6,0.8421052631578948,389
50.0,7,0.8771929824561403,389
50.0,8,0.6274509803921569,389
50.0,9,0.7111111111111111,389
50.0,10,0.9444444444444444,389
50.0,11,0.9375,389
50.0,12,0.6153846153846153,389
