Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.8518518518518519,389
5.0,2,0.8372093023255813,389
5.0,3,0.8888888888888888,389
5.0,4,0.7999999999999999,389
5.0,5,0.9130434782608695,389
5.0,6,0.9387755102040817,389
5.0,7,0.9433962264150945,389
5.0,8,0.9090909090909091,389
5.0,9,0.7647058823529411,389
5.0,10,0.8709677419354839,389
5.0,11,0.912280701754386,389
5.0,12,0.923076923076923,389
5.0,1,0.8518518518518519,389
5.0,2,0.8372093023255813,389
5.0,3,0.8888888888888888,389
5.0,4,0.7999999999999999,389
5.0,5,0.9130434782608695,389
5.0,6,0.9387755102040817,389
5.0,7,0.9433962264150945,389
5.0,8,0.9090909090909091,389
5.0,9,0.7647058823529411,389
5.0,10,0.8709677419354839,389
5.0,11,0.912280701754386,389
5.0,12,0.923076923076923,389
10.0,1,0.8518518518518519,389
10.0,2,0.8181818181818181,389
10.0,3,0.8205128205128205,389
10.0,4,0.7999999999999999,389
10.0,5,0.8936170212765957,389
10.0,6,0.9199999999999999,389
10.0,7,0.9259259259259259,389
10.0,8,0.8823529411764706,389
10.0,9,0.7317073170731707,389
10.0,10,0.9411764705882353,389
10.0,11,0.896551724137931,389
10.0,12,0.8571428571428571,389
15.0,1,0.8518518518518519,389
15.0,2,0.8181818181818181,389
15.0,3,0.8205128205128205,389
15.0,4,0.8421052631578947,389
15.0,5,0.8936170212765957,389
15.0,6,0.9019607843137256,389
15.0,7,0.9615384615384615,389
15.0,8,0.8571428571428572,389
15.0,9,0.7000000000000001,389
15.0,10,0.9411764705882353,389
15.0,11,0.8727272727272728,389
15.0,12,0.8571428571428571,389
20.0,1,0.8727272727272727,389
20.0,2,0.8181818181818181,389
20.0,3,0.8292682926829269,389
20.0,4,0.8717948717948718,389
20.0,5,0.9166666666666666,389
20.0,6,0.923076923076923,389
20.0,7,0.9803921568627451,389
20.0,8,0.8823529411764706,389
20.0,9,0.6829268292682927,389
20.0,10,0.9565217391304348,389
20.0,11,0.912280701754386,389
20.0,12,0.8275862068965517,389
25.0,1,0.8727272727272727,389
25.0,2,0.8,389
25.0,3,0.85,389
25.0,4,0.8717948717948718,389
25.0,5,0.9166666666666666,389
25.0,6,0.8846153846153847,389
25.0,7,0.9803921568627451,389
25.0,8,0.8823529411764706,389
25.0,9,0.6829268292682927,389
25.0,10,0.9565217391304348,389
25.0,11,0.8928571428571429,389
25.0,12,0.8275862068965517,389
30.0,1,0.896551724137931,389
30.0,2,0.8181818181818181,389
30.0,3,0.85,389
30.0,4,0.85,389
30.0,5,0.8979591836734695,389
30.0,6,0.8846153846153847,389
30.0,7,0.9803921568627451,389
30.0,8,0.9142857142857143,389
30.0,9,0.6829268292682927,389
30.0,10,0.9714285714285714,389
30.0,11,0.9152542372881356,389
30.0,12,0.888888888888889,389
35.0,1,0.896551724137931,389
35.0,2,0.8,389
35.0,3,0.8205128205128205,389
35.0,4,0.85,389
35.0,5,0.8979591836734695,389
35.0,6,0.8846153846153847,389
35.0,7,0.96,389
35.0,8,0.9142857142857143,389
35.0,9,0.6829268292682927,389
35.0,10,0.9714285714285714,389
35.0,11,0.896551724137931,389
35.0,12,0.888888888888889,389
40.0,1,0.912280701754386,389
40.0,2,0.8181818181818181,389
40.0,3,0.85,389
40.0,4,0.9189189189189189,389
40.0,5,0.8979591836734695,389
40.0,6,0.8846153846153847,389
40.0,7,0.96,389
40.0,8,0.9142857142857143,389
40.0,9,0.6829268292682927,389
40.0,10,0.9714285714285714,389
40.0,11,0.896551724137931,389
40.0,12,0.888888888888889,389
45.0,1,0.8928571428571429,389
45.0,2,0.8181818181818181,389
45.0,3,0.85,389
45.0,4,0.9189189189189189,389
45.0,5,0.8979591836734695,389
45.0,6,0.8846153846153847,389
45.0,7,0.96,389
45.0,8,0.9142857142857143,389
45.0,9,0.6829268292682927,389
45.0,10,0.9714285714285714,389
45.0,11,0.8771929824561403,389
45.0,12,0.888888888888889,389
50.0,1,0.912280701754386,389
50.0,2,0.8,389
50.0,3,0.85,389
50.0,4,0.9189189189189189,389
50.0,5,0.8979591836734695,389
50.0,6,0.8846153846153847,389
50.0,7,0.96,389
50.0,8,0.888888888888889,389
50.0,9,0.7142857142857143,389
50.0,10,0.9714285714285714,389
50.0,11,0.896551724137931,389
50.0,12,0.8571428571428571,389
