Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.8461538461538461,389
5.0,2,0.8108108108108109,389
5.0,3,0.9411764705882353,389
5.0,4,0.8648648648648648,389
5.0,5,0.909090909090909,389
5.0,6,0.8571428571428571,389
5.0,7,0.888888888888889,389
5.0,8,0.9032258064516129,389
5.0,9,0.7999999999999999,389
5.0,10,0.75,389
5.0,11,0.7755102040816326,389
5.0,12,0.8695652173913043,389
5.0,1,0.8461538461538461,389
5.0,2,0.8108108108108109,389
5.0,3,0.9411764705882353,389
5.0,4,0.8648648648648648,389
5.0,5,0.909090909090909,389
5.0,6,0.8571428571428571,389
5.0,7,0.888888888888889,389
5.0,8,0.9032258064516129,389
5.0,9,0.7999999999999999,389
5.0,10,0.75,389
5.0,11,0.7755102040816326,389
5.0,12,0.8695652173913043,389
10.0,1,0.8679245283018867,389
10.0,2,0.85,389
10.0,3,0.8888888888888888,389
10.0,4,0.8648648648648648,389
10.0,5,0.888888888888889,389
10.0,6,0.851063829787234,389
10.0,7,0.9795918367346939,389
10.0,8,0.875,389
10.0,9,0.8387096774193549,389
10.0,10,0.8524590163934426,389
10.0,11,0.8235294117647058,389
10.0,12,0.9166666666666666,389
15.0,1,0.8461538461538461,389
15.0,2,0.8205128205128205,389
15.0,3,0.9142857142857143,389
15.0,4,0.9142857142857143,389
15.0,5,0.8636363636363636,389
15.0,6,0.888888888888889,389
15.0,7,0.9130434782608696,389
15.0,8,0.875,389
15.0,9,0.7586206896551724,389
15.0,10,0.8524590163934426,389
15.0,11,0.8,389
15.0,12,0.9166666666666666,389
20.0,1,0.8235294117647057,389
20.0,2,0.85,389
20.0,3,0.8888888888888888,389
20.0,4,0.9142857142857143,389
20.0,5,0.8636363636363636,389
20.0,6,0.9361702127659574,389
20.0,7,0.9130434782608696,389
20.0,8,0.875,389
20.0,9,0.6111111111111112,389
20.0,10,0.8709677419354839,389
20.0,11,0.8076923076923077,389
20.0,12,0.9166666666666666,389
25.0,1,0.8,389
25.0,2,0.8205128205128205,389
25.0,3,0.9142857142857143,389
25.0,4,0.9142857142857143,389
25.0,5,0.8636363636363636,389
25.0,6,0.888888888888889,389
25.0,7,0.9130434782608696,389
25.0,8,0.875,389
25.0,9,0.6285714285714286,389
25.0,10,0.8709677419354839,389
25.0,11,0.8076923076923077,389
25.0,12,0.8695652173913043,389
30.0,1,0.8235294117647057,389
30.0,2,0.7999999999999999,389
30.0,3,0.8888888888888888,389
30.0,4,0.9444444444444444,389
30.0,5,0.8636363636363636,389
30.0,6,0.9361702127659574,389
30.0,7,0.9130434782608696,389
30.0,8,0.875,389
30.0,9,0.6111111111111112,389
30.0,10,0.923076923076923,389
30.0,11,0.8076923076923077,389
30.0,12,0.9166666666666666,389
35.0,1,0.8235294117647057,389
35.0,2,0.7999999999999999,389
35.0,3,0.8571428571428571,389
35.0,4,0.9142857142857143,389
35.0,5,0.8636363636363636,389
35.0,6,0.9130434782608695,389
35.0,7,0.9130434782608696,389
35.0,8,0.875,389
35.0,9,0.6470588235294118,389
35.0,10,0.888888888888889,389
35.0,11,0.8076923076923077,389
35.0,12,0.8695652173913043,389
40.0,1,0.8235294117647057,389
40.0,2,0.7999999999999999,389
40.0,3,0.823529411764706,389
40.0,4,0.9444444444444444,389
40.0,5,0.888888888888889,389
40.0,6,0.9361702127659574,389
40.0,7,0.9361702127659575,389
40.0,8,0.875,389
40.0,9,0.6470588235294118,389
40.0,10,0.90625,389
40.0,11,0.8301886792452831,389
40.0,12,0.9166666666666666,389
45.0,1,0.8,389
45.0,2,0.7999999999999999,389
45.0,3,0.8571428571428571,389
45.0,4,0.9444444444444444,389
45.0,5,0.888888888888889,389
45.0,6,0.9361702127659574,389
45.0,7,0.9130434782608696,389
45.0,8,0.875,389
45.0,9,0.6470588235294118,389
45.0,10,0.90625,389
45.0,11,0.8301886792452831,389
45.0,12,0.8695652173913043,389
50.0,1,0.8,389
50.0,2,0.7999999999999999,389
50.0,3,0.8571428571428571,389
50.0,4,0.9444444444444444,389
50.0,5,0.888888888888889,389
50.0,6,0.9361702127659574,389
50.0,7,0.9361702127659575,389
50.0,8,0.8484848484848485,389
50.0,9,0.6470588235294118,389
50.0,10,0.923076923076923,389
50.0,11,0.8301886792452831,389
50.0,12,0.8695652173913043,389
