Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.9285714285714286,389
5.0,2,0.823529411764706,389
5.0,3,0.8888888888888888,389
5.0,4,0.8235294117647058,389
5.0,5,0.8936170212765957,389
5.0,6,0.8979591836734694,389
5.0,7,0.9433962264150945,389
5.0,8,0.9375,389
5.0,9,0.8125,389
5.0,10,0.888888888888889,389
5.0,11,0.8771929824561403,389
5.0,12,0.8181818181818182,389
5.0,1,0.9285714285714286,389
5.0,2,0.823529411764706,389
5.0,3,0.8888888888888888,389
5.0,4,0.8235294117647058,389
5.0,5,0.8936170212765957,389
5.0,6,0.8979591836734694,389
5.0,7,0.9433962264150945,389
5.0,8,0.9375,389
5.0,9,0.8125,389
5.0,10,0.888888888888889,389
5.0,11,0.8771929824561403,389
5.0,12,0.8181818181818182,389
10.0,1,0.9473684210526316,389
10.0,2,0.8571428571428571,389
10.0,3,0.8421052631578948,389
10.0,4,0.8571428571428571,389
10.0,5,0.9166666666666666,389
10.0,6,0.923076923076923,389
10.0,7,0.9433962264150945,389
10.0,8,0.9696969696969697,389
10.0,9,0.823529411764706,389
10.0,10,0.955223880597015,389
10.0,11,0.9333333333333333,389
10.0,12,0.8695652173913043,389
15.0,1,0.9473684210526316,389
15.0,2,0.8823529411764706,389
15.0,3,0.8421052631578948,389
15.0,4,0.8571428571428571,389
15.0,5,0.9361702127659574,389
15.0,6,0.9411764705882353,389
15.0,7,1.0,389
15.0,8,0.9696969696969697,389
15.0,9,0.787878787878788,389
15.0,10,0.955223880597015,389
15.0,11,0.9333333333333333,389
15.0,12,0.8695652173913043,389
20.0,1,0.9310344827586207,389
20.0,2,0.8571428571428571,389
20.0,3,0.8571428571428571,389
20.0,4,0.8571428571428571,389
20.0,5,0.9166666666666666,389
20.0,6,0.9411764705882353,389
20.0,7,0.9803921568627451,389
20.0,8,0.9696969696969697,389
20.0,9,0.65,389
20.0,10,0.9411764705882353,389
20.0,11,0.9333333333333333,389
20.0,12,0.9166666666666666,389
25.0,1,0.9310344827586207,389
25.0,2,0.8571428571428571,389
25.0,3,0.8571428571428571,389
25.0,4,0.8823529411764706,389
25.0,5,0.9361702127659574,389
25.0,6,0.923076923076923,389
25.0,7,1.0,389
25.0,8,0.9696969696969697,389
25.0,9,0.6666666666666667,389
25.0,10,0.9411764705882353,389
25.0,11,0.9491525423728815,389
25.0,12,0.8181818181818182,389
30.0,1,0.9310344827586207,389
30.0,2,0.8888888888888888,389
30.0,3,0.8571428571428571,389
30.0,4,0.8823529411764706,389
30.0,5,0.9166666666666666,389
30.0,6,0.923076923076923,389
30.0,7,1.0,389
30.0,8,0.9696969696969697,389
30.0,9,0.6666666666666667,389
30.0,10,0.9565217391304348,389
30.0,11,0.9491525423728815,389
30.0,12,0.8695652173913043,389
35.0,1,0.912280701754386,389
35.0,2,0.8888888888888888,389
35.0,3,0.878048780487805,389
35.0,4,0.8823529411764706,389
35.0,5,0.9361702127659574,389
35.0,6,0.923076923076923,389
35.0,7,0.9795918367346939,389
35.0,8,0.9696969696969697,389
35.0,9,0.6486486486486486,389
35.0,10,0.9565217391304348,389
35.0,11,0.9491525423728815,389
35.0,12,0.8695652173913043,389
40.0,1,0.9491525423728813,389
40.0,2,0.8888888888888888,389
40.0,3,0.8571428571428571,389
40.0,4,0.9142857142857143,389
40.0,5,0.9166666666666666,389
40.0,6,0.9411764705882353,389
40.0,7,0.9795918367346939,389
40.0,8,0.9696969696969697,389
40.0,9,0.6842105263157896,389
40.0,10,0.9565217391304348,389
40.0,11,0.9491525423728815,389
40.0,12,0.9166666666666666,389
45.0,1,0.9310344827586207,389
45.0,2,0.9142857142857143,389
45.0,3,0.878048780487805,389
45.0,4,0.9142857142857143,389
45.0,5,0.9166666666666666,389
45.0,6,0.9411764705882353,389
45.0,7,0.9795918367346939,389
45.0,8,0.9696969696969697,389
45.0,9,0.6486486486486486,389
45.0,10,0.9565217391304348,389
45.0,11,0.9491525423728815,389
45.0,12,0.9166666666666666,389
50.0,1,0.9491525423728813,389
50.0,2,0.9142857142857143,389
50.0,3,0.878048780487805,389
50.0,4,0.9142857142857143,389
50.0,5,0.9166666666666666,389
50.0,6,0.9411764705882353,389
50.0,7,1.0,389
50.0,8,0.9696969696969697,389
50.0,9,0.631578947368421,389
50.0,10,0.9565217391304348,389
50.0,11,0.9491525423728815,389
50.0,12,0.8695652173913043,389
