Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.9310344827586207,389
5.0,2,0.8108108108108109,389
5.0,3,0.9142857142857143,389
5.0,4,0.8571428571428571,389
5.0,5,0.9130434782608695,389
5.0,6,0.8799999999999999,389
5.0,7,0.9433962264150945,389
5.0,8,0.875,389
5.0,9,0.7333333333333334,389
5.0,10,0.9253731343283583,389
5.0,11,0.9152542372881356,389
5.0,12,0.9166666666666666,389
5.0,1,0.9310344827586207,389
5.0,2,0.8108108108108109,389
5.0,3,0.9142857142857143,389
5.0,4,0.8571428571428571,389
5.0,5,0.9130434782608695,389
5.0,6,0.8799999999999999,389
5.0,7,0.9433962264150945,389
5.0,8,0.875,389
5.0,9,0.7333333333333334,389
5.0,10,0.9253731343283583,389
5.0,11,0.9152542372881356,389
5.0,12,0.9166666666666666,389
10.0,1,0.9310344827586207,389
10.0,2,0.8292682926829269,389
10.0,3,0.8421052631578948,389
10.0,4,0.8571428571428571,389
10.0,5,0.8936170212765957,389
10.0,6,0.9056603773584906,389
10.0,7,0.9433962264150945,389
10.0,8,0.9411764705882353,389
10.0,9,0.823529411764706,389
10.0,10,0.9714285714285714,389
10.0,11,0.9508196721311476,389
10.0,12,0.9600000000000001,389
15.0,1,0.9310344827586207,389
15.0,2,0.8292682926829269,389
15.0,3,0.8421052631578948,389
15.0,4,0.8571428571428571,389
15.0,5,0.9130434782608695,389
15.0,6,0.9056603773584906,389
15.0,7,1.0,389
15.0,8,0.9411764705882353,389
15.0,9,0.787878787878788,389
15.0,10,0.9714285714285714,389
15.0,11,0.9666666666666667,389
15.0,12,0.9600000000000001,389
20.0,1,0.9310344827586207,389
20.0,2,0.8292682926829269,389
20.0,3,0.85,389
20.0,4,0.8571428571428571,389
20.0,5,0.8749999999999999,389
20.0,6,0.888888888888889,389
20.0,7,0.9615384615384615,389
20.0,8,0.9411764705882353,389
20.0,9,0.6666666666666667,389
20.0,10,0.9714285714285714,389
20.0,11,0.9666666666666667,389
20.0,12,0.9600000000000001,389
25.0,1,0.9310344827586207,389
25.0,2,0.7999999999999999,389
25.0,3,0.85,389
25.0,4,0.8823529411764706,389
25.0,5,0.8749999999999999,389
25.0,6,0.888888888888889,389
25.0,7,1.0,389
25.0,8,0.9411764705882353,389
25.0,9,0.6842105263157896,389
25.0,10,0.9714285714285714,389
25.0,11,0.9666666666666667,389
25.0,12,0.9600000000000001,389
30.0,1,0.9152542372881356,389
30.0,2,0.7999999999999999,389
30.0,3,0.878048780487805,389
30.0,4,0.8823529411764706,389
30.0,5,0.8749999999999999,389
30.0,6,0.888888888888889,389
30.0,7,1.0,389
30.0,8,0.9411764705882353,389
30.0,9,0.6842105263157896,389
30.0,10,0.9577464788732395,389
30.0,11,0.9666666666666667,389
30.0,12,0.9600000000000001,389
35.0,1,0.912280701754386,389
35.0,2,0.7999999999999999,389
35.0,3,0.8947368421052632,389
35.0,4,0.8823529411764706,389
35.0,5,0.8749999999999999,389
35.0,6,0.9056603773584906,389
35.0,7,1.0,389
35.0,8,0.9411764705882353,389
35.0,9,0.6842105263157896,389
35.0,10,0.9714285714285714,389
35.0,11,0.9666666666666667,389
35.0,12,0.9600000000000001,389
40.0,1,0.9310344827586207,389
40.0,2,0.7999999999999999,389
40.0,3,0.923076923076923,389
40.0,4,0.8823529411764706,389
40.0,5,0.8749999999999999,389
40.0,6,0.9056603773584906,389
40.0,7,1.0,389
40.0,8,0.9411764705882353,389
40.0,9,0.6842105263157896,389
40.0,10,0.9714285714285714,389
40.0,11,0.9666666666666667,389
40.0,12,0.9600000000000001,389
45.0,1,0.9310344827586207,389
45.0,2,0.7999999999999999,389
45.0,3,0.8648648648648649,389
45.0,4,0.9090909090909091,389
45.0,5,0.8749999999999999,389
45.0,6,0.9056603773584906,389
45.0,7,1.0,389
45.0,8,0.9411764705882353,389
45.0,9,0.6842105263157896,389
45.0,10,0.9714285714285714,389
45.0,11,0.9666666666666667,389
45.0,12,0.9600000000000001,389
50.0,1,0.9310344827586207,389
50.0,2,0.7999999999999999,389
50.0,3,0.8648648648648649,389
50.0,4,0.8823529411764706,389
50.0,5,0.9166666666666666,389
50.0,6,0.9056603773584906,389
50.0,7,1.0,389
50.0,8,0.9411764705882353,389
50.0,9,0.6842105263157896,389
50.0,10,0.9714285714285714,389
50.0,11,0.9666666666666667,389
50.0,12,0.9600000000000001,389
