Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.9285714285714286,389
5.0,2,0.8108108108108109,389
5.0,3,0.878048780487805,389
5.0,4,0.7692307692307693,389
5.0,5,0.8979591836734695,389
5.0,6,0.9166666666666666,389
5.0,7,0.9056603773584904,389
5.0,8,0.9032258064516129,389
5.0,9,0.875,389
5.0,10,0.9090909090909091,389
5.0,11,0.9508196721311476,389
5.0,12,0.8799999999999999,389
5.0,1,0.9285714285714286,389
5.0,2,0.8108108108108109,389
5.0,3,0.878048780487805,389
5.0,4,0.7692307692307693,389
5.0,5,0.8979591836734695,389
5.0,6,0.9166666666666666,389
5.0,7,0.9056603773584904,389
5.0,8,0.9032258064516129,389
5.0,9,0.875,389
5.0,10,0.9090909090909091,389
5.0,11,0.9508196721311476,389
5.0,12,0.8799999999999999,389
10.0,1,0.912280701754386,389
10.0,2,0.8571428571428571,389
10.0,3,0.8372093023255813,389
10.0,4,0.7999999999999999,389
10.0,5,0.8979591836734695,389
10.0,6,0.8846153846153847,389
10.0,7,0.9259259259259259,389
10.0,8,0.9090909090909091,389
10.0,9,0.7999999999999999,389
10.0,10,0.9714285714285714,389
10.0,11,0.9508196721311476,389
10.0,12,0.8799999999999999,389
15.0,1,0.9310344827586207,389
15.0,2,0.8571428571428571,389
15.0,3,0.8571428571428571,389
15.0,4,0.8888888888888888,389
15.0,5,0.9166666666666666,389
15.0,6,0.8627450980392156,389
15.0,7,1.0,389
15.0,8,0.9375,389
15.0,9,0.7999999999999999,389
15.0,10,0.9714285714285714,389
15.0,11,0.9508196721311476,389
15.0,12,0.8799999999999999,389
20.0,1,0.9310344827586207,389
20.0,2,0.8571428571428571,389
20.0,3,0.8181818181818181,389
20.0,4,0.8888888888888888,389
20.0,5,0.8979591836734695,389
20.0,6,0.923076923076923,389
20.0,7,0.9803921568627451,389
20.0,8,0.9090909090909091,389
20.0,9,0.7000000000000001,389
20.0,10,0.9714285714285714,389
20.0,11,0.9508196721311476,389
20.0,12,0.8799999999999999,389
25.0,1,0.9310344827586207,389
25.0,2,0.8571428571428571,389
25.0,3,0.8372093023255813,389
25.0,4,0.8571428571428571,389
25.0,5,0.8979591836734695,389
25.0,6,0.9019607843137256,389
25.0,7,1.0,389
25.0,8,0.9375,389
25.0,9,0.7000000000000001,389
25.0,10,0.9714285714285714,389
25.0,11,0.9666666666666667,389
25.0,12,0.8799999999999999,389
30.0,1,0.912280701754386,389
30.0,2,0.8571428571428571,389
30.0,3,0.8,389
30.0,4,0.8888888888888888,389
30.0,5,0.8800000000000001,389
30.0,6,0.923076923076923,389
30.0,7,1.0,389
30.0,8,0.8823529411764706,389
30.0,9,0.6829268292682927,389
30.0,10,0.9714285714285714,389
30.0,11,0.9666666666666667,389
30.0,12,0.8799999999999999,389
35.0,1,0.9285714285714286,389
35.0,2,0.8571428571428571,389
35.0,3,0.8571428571428571,389
35.0,4,0.8823529411764706,389
35.0,5,0.8979591836734695,389
35.0,6,0.9019607843137256,389
35.0,7,1.0,389
35.0,8,0.8823529411764706,389
35.0,9,0.7000000000000001,389
35.0,10,0.9855072463768115,389
35.0,11,0.9666666666666667,389
35.0,12,0.8799999999999999,389
40.0,1,0.9285714285714286,389
40.0,2,0.8571428571428571,389
40.0,3,0.8,389
40.0,4,0.9142857142857143,389
40.0,5,0.8979591836734695,389
40.0,6,0.923076923076923,389
40.0,7,1.0,389
40.0,8,0.8823529411764706,389
40.0,9,0.6829268292682927,389
40.0,10,0.9855072463768115,389
40.0,11,0.9666666666666667,389
40.0,12,0.923076923076923,389
45.0,1,0.9285714285714286,389
45.0,2,0.8571428571428571,389
45.0,3,0.8571428571428571,389
45.0,4,0.9142857142857143,389
45.0,5,0.8979591836734695,389
45.0,6,0.9019607843137256,389
45.0,7,1.0,389
45.0,8,0.9142857142857143,389
45.0,9,0.7000000000000001,389
45.0,10,0.9855072463768115,389
45.0,11,0.9666666666666667,389
45.0,12,0.8799999999999999,389
50.0,1,0.9285714285714286,389
50.0,2,0.8571428571428571,389
50.0,3,0.8372093023255813,389
50.0,4,0.9142857142857143,389
50.0,5,0.8979591836734695,389
50.0,6,0.9019607843137256,389
50.0,7,1.0,389
50.0,8,0.9142857142857143,389
50.0,9,0.7000000000000001,389
50.0,10,0.9855072463768115,389
50.0,11,0.9666666666666667,389
50.0,12,0.8799999999999999,389
