Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.8333333333333333,389
0.15,2,0.6666666666666666,389
0.15,3,0.56,389
0.15,4,0.5,389
0.15,5,0.7692307692307693,389
0.15,6,0.6285714285714286,389
0.15,7,0.717948717948718,389
0.15,8,0.47619047619047616,389
0.15,9,0.5833333333333334,389
0.15,10,0.7272727272727274,389
0.15,11,0.7755102040816326,389
0.15,12,0.5,389
0.325,1,0.782608695652174,389
0.325,2,0.56,389
0.325,3,0.7142857142857143,389
0.325,4,0.5833333333333334,389
0.325,5,0.7999999999999999,389
0.325,6,0.6285714285714286,389
0.325,7,0.7499999999999999,389
0.325,8,0.5454545454545454,389
0.325,9,0.5833333333333334,389
0.325,10,0.8135593220338982,389
0.325,11,0.7234042553191489,389
0.325,12,0.5882352941176471,389
0.5,1,0.8085106382978724,389
0.5,2,0.5,389
0.5,3,0.56,389
0.5,4,0.6399999999999999,389
0.5,5,0.7999999999999999,389
0.5,6,0.6285714285714286,389
0.5,7,0.8095238095238095,389
0.5,8,0.6666666666666666,389
0.5,9,0.64,389
0.5,10,0.7931034482758621,389
0.5,11,0.8,389
0.5,12,0.5,389
0.65,1,0.8333333333333333,389
0.65,2,0.56,389
0.65,3,0.6153846153846153,389
0.65,4,0.6399999999999999,389
0.65,5,0.7999999999999999,389
0.65,6,0.6666666666666666,389
0.65,7,0.8636363636363636,389
0.65,8,0.72,389
0.65,9,0.64,389
0.65,10,0.7931034482758621,389
0.65,11,0.7755102040816326,389
0.65,12,0.5,389
0.825,1,0.8333333333333333,389
0.825,2,0.5,389
0.825,3,0.6153846153846153,389
0.825,4,0.6399999999999999,389
0.825,5,0.8292682926829269,389
0.825,6,0.6666666666666666,389
0.825,7,0.8636363636363636,389
0.825,8,0.6666666666666666,389
0.825,9,0.6923076923076923,389
0.825,10,0.8135593220338982,389
0.825,11,0.8,389
0.825,12,0.5,389
1.0,1,0.8333333333333333,389
1.0,2,0.5,389
1.0,3,0.6153846153846153,389
1.0,4,0.6399999999999999,389
1.0,5,0.8095238095238095,389
1.0,6,0.6666666666666666,389
1.0,7,0.8636363636363636,389
1.0,8,0.6666666666666666,389
1.0,9,0.64,389
1.0,10,0.7931034482758621,389
1.0,11,0.7499999999999999,389
1.0,12,0.5,389
2.0,1,0.7916666666666667,389
2.0,2,0.5,389
2.0,3,0.7142857142857143,389
2.0,4,0.6399999999999999,389
2.0,5,0.8636363636363636,389
2.0,6,0.7027027027027027,389
2.0,7,0.8636363636363636,389
2.0,8,0.7692307692307693,389
2.0,9,0.7407407407407406,389
