Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.325,1,0.7659574468085106,389
0.325,2,0.56,389
0.325,3,0.56,389
0.325,4,0.6399999999999999,389
0.325,5,0.6285714285714286,389
0.325,6,0.4,389
0.325,7,0.6486486486486487,389
0.325,8,0.3157894736842105,389
0.325,9,0.5833333333333334,389
0.325,10,0.5531914893617021,389
0.325,11,0.6363636363636364,389
0.325,12,0.6666666666666666,389
0.5,1,0.7391304347826088,389
0.5,2,0.56,389
0.5,3,0.6153846153846153,389
0.5,4,0.6923076923076924,389
0.5,5,0.7692307692307693,389
0.5,6,0.5454545454545454,389
0.5,7,0.6842105263157895,389
0.5,8,0.5454545454545454,389
0.5,9,0.5833333333333334,389
0.5,10,0.5833333333333334,389
0.5,11,0.7755102040816326,389
0.5,12,0.6666666666666666,389
0.65,1,0.7391304347826088,389
0.65,2,0.56,389
0.65,3,0.6153846153846153,389
0.65,4,0.6923076923076924,389
0.65,5,0.7692307692307693,389
0.65,6,0.5454545454545454,389
0.65,7,0.6842105263157895,389
0.65,8,0.5454545454545454,389
0.65,9,0.5833333333333334,389
0.65,10,0.5833333333333334,389
0.65,11,0.7755102040816326,389
0.65,12,0.6666666666666666,389
0.825,1,0.7391304347826088,389
0.825,2,0.56,389
0.825,3,0.6153846153846153,389
0.825,4,0.6923076923076924,389
0.825,5,0.7692307692307693,389
0.825,6,0.5882352941176471,389
0.825,7,0.6842105263157895,389
0.825,8,0.6086956521739131,389
0.825,9,0.64,389
0.825,10,0.6666666666666666,389
0.825,11,0.7755102040816326,389
0.825,12,0.6666666666666666,389
1.0,1,0.7391304347826088,389
1.0,2,0.56,389
1.0,3,0.6153846153846153,389
1.0,4,0.6923076923076924,389
1.0,5,0.7692307692307693,389
1.0,6,0.5882352941176471,389
1.0,7,0.6842105263157895,389
1.0,8,0.6086956521739131,389
1.0,9,0.64,389
1.0,10,0.6399999999999999,389
1.0,11,0.7499999999999999,389
1.0,12,0.6666666666666666,389
2.0,1,0.7391304347826088,389
2.0,2,0.56,389
2.0,3,0.6153846153846153,389
2.0,4,0.7407407407407407,389
2.0,5,0.7368421052631579,389
2.0,6,0.5882352941176471,389
2.0,7,0.6842105263157895,389
2.0,8,0.6086956521739131,389
2.0,9,0.6923076923076923,389
2.0,10,0.6399999999999999,389
2.0,11,0.7499999999999999,389
2.0,12,0.6666666666666666,389
3.0,1,0.7391304347826088,389
3.0,2,0.56,389
3.0,3,0.6153846153846153,389
3.0,4,0.7407407407407407,389
3.0,5,0.717948717948718,389
3.0,6,0.5882352941176471,389
3.0,7,0.717948717948718,389
3.0,8,0.6086956521739131,389
3.0,9,0.6923076923076923,389
3.0,10,0.6666666666666666,389
3.0,11,0.7499999999999999,389
3.0,12,0.6666666666666666,389
4.0,1,0.7659574468085106,389
4.0,2,0.56,389
4.0,3,0.6153846153846153,389
4.0,4,0.7407407407407407,389
4.0,5,0.75,389
4.0,6,0.5882352941176471,389
4.0,7,0.717948717948718,389
4.0,8,0.6086956521739131,389
4.0,9,0.6923076923076923,389
4.0,10,0.6923076923076924,389
4.0,11,0.7499999999999999,389
4.0,12,0.6666666666666666,389
5.0,1,0.7659574468085106,389
5.0,2,0.56,389
5.0,3,0.6153846153846153,389
5.0,4,0.7407407407407407,389
5.0,5,0.75,389
5.0,6,0.5882352941176471,389
5.0,7,0.717948717948718,389
5.0,8,0.6086956521739131,389
5.0,9,0.6923076923076923,389
5.0,10,0.7169811320754718,389
5.0,11,0.7499999999999999,389
5.0,12,0.6666666666666666,389
5.0,1,0.7659574468085106,389
5.0,2,0.56,389
5.0,3,0.6153846153846153,389
5.0,4,0.7407407407407407,389
5.0,5,0.75,389
5.0,6,0.5882352941176471,389
5.0,7,0.717948717948718,389
5.0,8,0.6086956521739131,389
5.0,9,0.6923076923076923,389
5.0,10,0.7169811320754718,389
5.0,11,0.7499999999999999,389
5.0,12,0.6666666666666666,389
10.0,1,0.7916666666666667,389
10.0,2,0.6153846153846153,389
10.0,3,0.6428571428571429,389
10.0,4,0.7407407407407407,389
10.0,5,0.717948717948718,389
10.0,6,0.5882352941176471,389
10.0,7,0.7499999999999999,389
10.0,8,0.6666666666666666,389
10.0,9,0.64,389
10.0,10,0.7407407407407407,389
10.0,11,0.7499999999999999,389
10.0,12,0.6666666666666666,389
15.0,1,0.7916666666666667,389
15.0,2,0.6666666666666666,389
15.0,3,0.6428571428571429,389
15.0,4,0.7407407407407407,389
15.0,5,0.717948717948718,389
15.0,6,0.6285714285714286,389
15.0,7,0.7499999999999999,389
15.0,8,0.6666666666666666,389
15.0,9,0.6923076923076923,389
15.0,10,0.7407407407407407,389
15.0,11,0.7499999999999999,389
15.0,12,0.6666666666666666,389
20.0,1,0.7916666666666667,389
20.0,2,0.7142857142857143,389
20.0,3,0.6428571428571429,389
20.0,4,0.7407407407407407,389
20.0,5,0.717948717948718,389
20.0,6,0.6285714285714286,389
20.0,7,0.7804878048780487,389
20.0,8,0.6666666666666666,389
20.0,9,0.64,389
20.0,10,0.7857142857142858,389
20.0,11,0.7499999999999999,389
20.0,12,0.6666666666666666,389
25.0,1,0.7916666666666667,389
25.0,2,0.7142857142857143,389
25.0,3,0.6428571428571429,389
25.0,4,0.7407407407407407,389
25.0,5,0.717948717948718,389
25.0,6,0.6666666666666666,389
25.0,7,0.7804878048780487,389
25.0,8,0.6666666666666666,389
25.0,9,0.6923076923076923,389
25.0,10,0.8275862068965517,389
25.0,11,0.7499999999999999,389
25.0,12,0.6666666666666666,389
30.0,1,0.8163265306122449,389
30.0,2,0.7142857142857143,389
30.0,3,0.6428571428571429,389
30.0,4,0.7407407407407407,389
30.0,5,0.717948717948718,389
30.0,6,0.6666666666666666,389
30.0,7,0.7804878048780487,389
30.0,8,0.6666666666666666,389
30.0,9,0.64,389
30.0,10,0.8275862068965517,389
30.0,11,0.7499999999999999,389
30.0,12,0.6666666666666666,389
35.0,1,0.8163265306122449,389
35.0,2,0.7142857142857143,389
35.0,3,0.6428571428571429,389
35.0,4,0.7407407407407407,389
35.0,5,0.717948717948718,389
35.0,6,0.6666666666666666,389
35.0,7,0.7804878048780487,389
