Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.6976744186046512,389
0.15,2,0.8333333333333334,389
0.15,3,0.6666666666666666,389
0.15,4,0.7692307692307693,389
0.15,5,0.7692307692307693,389
0.15,6,0.7368421052631579,389
0.15,7,0.5714285714285715,389
0.15,8,0.967741935483871,389
0.15,9,0.7857142857142857,389
0.15,10,0.34146341463414637,389
0.15,11,0.5714285714285715,389
0.15,12,0.8695652173913043,389
0.325,1,0.6341463414634146,389
0.325,2,0.8648648648648649,389
0.325,3,0.6666666666666666,389
0.325,4,0.8205128205128205,389
0.325,5,0.7999999999999999,389
0.325,6,0.8,389
0.325,7,0.6111111111111112,389
0.325,8,0.967741935483871,389
0.325,9,0.7857142857142857,389
0.325,10,0.5833333333333334,389
0.325,11,0.6363636363636364,389
0.325,12,0.8695652173913043,389
0.5,1,0.6341463414634146,389
0.5,2,0.8108108108108109,389
0.5,3,0.6666666666666666,389
0.5,4,0.7999999999999999,389
0.5,5,0.7692307692307693,389
0.5,6,0.8292682926829268,389
0.5,7,0.717948717948718,389
0.5,8,0.967741935483871,389
0.5,9,0.7999999999999999,389
0.5,10,0.6122448979591837,389
0.5,11,0.7499999999999999,389
0.5,12,0.8695652173913043,389
0.65,1,0.7272727272727273,389
0.65,2,0.8108108108108109,389
0.65,3,0.7142857142857143,389
0.65,4,0.7804878048780487,389
0.65,5,0.7692307692307693,389
0.65,6,0.7692307692307693,389
0.65,7,0.7499999999999999,389
0.65,8,0.967741935483871,389
0.65,9,0.8275862068965517,389
0.65,10,0.6,389
0.65,11,0.6956521739130436,389
0.65,12,0.8799999999999999,389
0.825,1,0.782608695652174,389
0.825,2,0.8333333333333334,389
0.825,3,0.7142857142857143,389
0.825,4,0.7804878048780487,389
0.825,5,0.8292682926829269,389
0.825,6,0.7692307692307693,389
0.825,7,0.717948717948718,389
0.825,8,0.9375,389
0.825,9,0.8275862068965517,389
0.825,10,0.6,389
0.825,11,0.7499999999999999,389
0.825,12,0.8799999999999999,389
1.0,1,0.7555555555555554,389
1.0,2,0.8108108108108109,389
1.0,3,0.7142857142857143,389
1.0,4,0.7317073170731708,389
1.0,5,0.8571428571428571,389
1.0,6,0.8,389
1.0,7,0.7804878048780487,389
1.0,8,0.9696969696969697,389
1.0,9,0.8387096774193549,389
1.0,10,0.6,389
1.0,11,0.7755102040816326,389
1.0,12,0.9166666666666666,389
2.0,1,0.7272727272727273,389
2.0,2,0.8648648648648649,389
2.0,3,0.7586206896551725,389
2.0,4,0.7692307692307693,389
2.0,5,0.8636363636363636,389
2.0,6,0.8,389
2.0,7,0.7804878048780487,389
2.0,8,0.9375,389
2.0,9,0.8387096774193549,389
2.0,10,0.6,389
2.0,11,0.7499999999999999,389
2.0,12,0.923076923076923,389
3.0,1,0.782608695652174,389
3.0,2,0.8421052631578948,389
3.0,3,0.8,389
3.0,4,0.8421052631578947,389
3.0,5,0.8372093023255814,389
3.0,6,0.8292682926829268,389
3.0,7,0.8372093023255813,389
3.0,8,0.9375,389
3.0,9,0.8275862068965517,389
3.0,10,0.679245283018868,389
3.0,11,0.7755102040816326,389
3.0,12,0.923076923076923,389
4.0,1,0.782608695652174,389
4.0,2,0.8421052631578948,389
4.0,3,0.8,389
4.0,4,0.8205128205128205,389
4.0,5,0.8636363636363636,389
4.0,6,0.8292682926829268,389
4.0,7,0.8095238095238095,389
4.0,8,0.9090909090909091,389
4.0,9,0.8666666666666666,389
4.0,10,0.679245283018868,389
4.0,11,0.7499999999999999,389
4.0,12,0.923076923076923,389
5.0,1,0.7555555555555554,389
5.0,2,0.8421052631578948,389
5.0,3,0.8,389
5.0,4,0.8648648648648648,389
5.0,5,0.8636363636363636,389
5.0,6,0.8837209302325582,389
5.0,7,0.8372093023255813,389
5.0,8,0.9375,389
5.0,9,0.8666666666666666,389
5.0,10,0.7037037037037037,389
5.0,11,0.7499999999999999,389
5.0,12,0.923076923076923,389
5.0,1,0.7555555555555554,389
5.0,2,0.8421052631578948,389
5.0,3,0.8,389
5.0,4,0.8648648648648648,389
5.0,5,0.8636363636363636,389
5.0,6,0.8837209302325582,389
5.0,7,0.8372093023255813,389
5.0,8,0.9375,389
5.0,9,0.8666666666666666,389
5.0,10,0.7037037037037037,389
5.0,11,0.7499999999999999,389
5.0,12,0.923076923076923,389
10.0,1,0.8085106382978724,389
10.0,2,0.8717948717948718,389
10.0,3,0.7741935483870968,389
10.0,4,0.8648648648648648,389
10.0,5,0.8636363636363636,389
10.0,6,0.8571428571428571,389
10.0,7,0.8636363636363636,389
10.0,8,0.9090909090909091,389
10.0,9,0.8275862068965517,389
10.0,10,0.75,389
10.0,11,0.8235294117647058,389
10.0,12,0.923076923076923,389
15.0,1,0.7916666666666667,389
15.0,2,0.8717948717948718,389
15.0,3,0.7741935483870968,389
15.0,4,0.8648648648648648,389
15.0,5,0.8636363636363636,389
15.0,6,0.9090909090909091,389
15.0,7,0.8372093023255813,389
15.0,8,0.8823529411764706,389
15.0,9,0.7999999999999999,389
15.0,10,0.8135593220338982,389
15.0,11,0.8235294117647058,389
15.0,12,0.923076923076923,389
20.0,1,0.7916666666666667,389
20.0,2,0.85,389
20.0,3,0.7741935483870968,389
20.0,4,0.8648648648648648,389
20.0,5,0.8636363636363636,389
20.0,6,0.9090909090909091,389
20.0,7,0.8372093023255813,389
20.0,8,0.9090909090909091,389
20.0,9,0.7999999999999999,389
20.0,10,0.8135593220338982,389
20.0,11,0.8235294117647058,389
20.0,12,0.923076923076923,389
25.0,1,0.7916666666666667,389
25.0,2,0.85,389
25.0,3,0.7741935483870968,389
25.0,4,0.8648648648648648,389
25.0,5,0.888888888888889,389
25.0,6,0.9090909090909091,389
25.0,7,0.8372093023255813,389
25.0,8,0.8823529411764706,389
25.0,9,0.7999999999999999,389
25.0,10,0.8709677419354839,389
25.0,11,0.8235294117647058,389
25.0,12,0.923076923076923,389
30.0,1,0.7916666666666667,389
30.0,2,0.8292682926829269,389
30.0,3,0.7741935483870968,389
30.0,4,0.8648648648648648,389
30.0,5,0.888888888888889,389
30.0,6,0.9090909090909091,389
30.0,7,0.8372093023255813,389
30.0,8,0.8823529411764706,389
30.0,9,0.7741935483870969,389
30.0,10,0.888888888888889,389
30.0,11,0.8235294117647058,389
30.0,12,0.923076923076923,389
35.0,1,0.7916666666666667,389
35.0,2,0.878048780487805,389
35.0,3,0.7741935483870968,389
35.0,4,0.8648648648648648,389
35.0,5,0.888888888888889,389
35.0,6,0.9090909090909091,389
35.0,7,0.8636363636363636,389
35.0,8,0.8823529411764706,389
35.0,9,0.75,389
35.0,10,0.923076923076923,389
35.0,11,0.8235294117647058,389
35.0,12,0.923076923076923,389
40.0,1,0.7916666666666667,389
