Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.325,1,0.7346938775510204,389
0.325,2,0.6956521739130435,389
0.325,3,0.5454545454545454,389
0.325,4,0.744186046511628,389
0.325,5,0.7755102040816326,389
0.325,6,0.6046511627906976,389
0.325,7,0.8235294117647058,389
0.325,8,0.5238095238095238,389
0.325,9,0.7000000000000001,389
0.325,10,0.75,389
0.325,11,0.5777777777777778,389
0.325,12,0.6666666666666667,389
0.5,1,0.8518518518518519,389
0.5,2,0.8,389
0.5,3,0.606060606060606,389
0.5,4,0.7555555555555554,389
0.5,5,0.76,389
0.5,6,0.7083333333333334,389
0.5,7,0.7499999999999999,389
0.5,8,0.5581395348837209,389
0.5,9,0.7000000000000001,389
0.5,10,0.75,389
0.5,11,0.7450980392156863,389
0.5,12,0.6666666666666666,389
0.65,1,0.8518518518518519,389
0.65,2,0.8,389
0.65,3,0.606060606060606,389
0.65,4,0.7555555555555554,389
0.65,5,0.76,389
0.65,6,0.7083333333333334,389
0.65,7,0.7499999999999999,389
0.65,8,0.5581395348837209,389
0.65,9,0.7000000000000001,389
0.65,10,0.75,389
0.65,11,0.7450980392156863,389
0.65,12,0.6666666666666666,389
0.825,1,0.912280701754386,389
0.825,2,0.7499999999999999,389
0.825,3,0.7499999999999999,389
0.825,4,0.7555555555555554,389
0.825,5,0.76,389
0.825,6,0.7843137254901961,389
0.825,7,0.888888888888889,389
0.825,8,0.6222222222222222,389
0.825,9,0.761904761904762,389
0.825,10,0.8524590163934426,389
0.825,11,0.8363636363636363,389
0.825,12,0.6486486486486487,389
1.0,1,0.8727272727272727,389
1.0,2,0.7499999999999999,389
1.0,3,0.7317073170731708,389
1.0,4,0.7391304347826086,389
1.0,5,0.7755102040816326,389
1.0,6,0.8,389
1.0,7,0.9056603773584904,389
1.0,8,0.6511627906976744,389
1.0,9,0.75,389
1.0,10,0.7931034482758621,389
1.0,11,0.8148148148148148,389
1.0,12,0.6486486486486487,389
2.0,1,0.8076923076923077,389
2.0,2,0.7234042553191489,389
2.0,3,0.7000000000000001,389
2.0,4,0.7391304347826086,389
2.0,5,0.8163265306122449,389
2.0,6,0.7924528301886793,389
2.0,7,0.8679245283018867,389
2.0,8,0.6976744186046512,389
2.0,9,0.7804878048780487,389
2.0,10,0.8333333333333333,389
2.0,11,0.8363636363636363,389
2.0,12,0.6857142857142856,389
3.0,1,0.8727272727272727,389
3.0,2,0.7499999999999999,389
3.0,3,0.7142857142857143,389
3.0,4,0.7555555555555554,389
3.0,5,0.7916666666666667,389
3.0,6,0.7692307692307692,389
3.0,7,0.851851851851852,389
3.0,8,0.7142857142857143,389
3.0,9,0.7804878048780487,389
3.0,10,0.8524590163934426,389
3.0,11,0.8363636363636363,389
3.0,12,0.7058823529411764,389
4.0,1,0.8727272727272727,389
4.0,2,0.7499999999999999,389
4.0,3,0.6666666666666666,389
4.0,4,0.7555555555555554,389
4.0,5,0.7916666666666667,389
4.0,6,0.7692307692307692,389
4.0,7,0.8679245283018867,389
4.0,8,0.7142857142857143,389
4.0,9,0.761904761904762,389
4.0,10,0.8571428571428571,389
4.0,11,0.8148148148148148,389
4.0,12,0.6857142857142856,389
5.0,1,0.830188679245283,389
5.0,2,0.7499999999999999,389
5.0,3,0.7317073170731708,389
5.0,4,0.7391304347826086,389
5.0,5,0.7916666666666667,389
5.0,6,0.7692307692307692,389
5.0,7,0.8679245283018867,389
5.0,8,0.7111111111111111,389
5.0,9,0.7441860465116279,389
5.0,10,0.8749999999999999,389
5.0,11,0.8363636363636363,389
5.0,12,0.6486486486486487,389
5.0,1,0.830188679245283,389
5.0,2,0.7499999999999999,389
5.0,3,0.7317073170731708,389
5.0,4,0.7391304347826086,389
5.0,5,0.7916666666666667,389
5.0,6,0.7692307692307692,389
5.0,7,0.8679245283018867,389
5.0,8,0.7111111111111111,389
5.0,9,0.7441860465116279,389
5.0,10,0.8749999999999999,389
5.0,11,0.8363636363636363,389
5.0,12,0.6486486486486487,389
10.0,1,0.8076923076923077,389
10.0,2,0.7499999999999999,389
10.0,3,0.7317073170731708,389
10.0,4,0.7391304347826086,389
10.0,5,0.7916666666666667,389
10.0,6,0.7692307692307692,389
10.0,7,0.9056603773584904,389
10.0,8,0.7142857142857143,389
10.0,9,0.7441860465116279,389
10.0,10,0.8387096774193549,389
10.0,11,0.8771929824561403,389
10.0,12,0.6486486486486487,389
15.0,1,0.8076923076923077,389
15.0,2,0.7499999999999999,389
15.0,3,0.6511627906976745,389
15.0,4,0.7391304347826086,389
15.0,5,0.8163265306122449,389
15.0,6,0.7692307692307692,389
15.0,7,0.9433962264150945,389
15.0,8,0.6976744186046512,389
15.0,9,0.7441860465116279,389
15.0,10,0.8253968253968255,389
15.0,11,0.8571428571428571,389
15.0,12,0.631578947368421,389
20.0,1,0.8518518518518519,389
20.0,2,0.7499999999999999,389
20.0,3,0.6511627906976745,389
20.0,4,0.7391304347826086,389
20.0,5,0.7916666666666667,389
20.0,6,0.7692307692307692,389
20.0,7,0.9090909090909091,389
20.0,8,0.6818181818181818,389
20.0,9,0.7441860465116279,389
20.0,10,0.8253968253968255,389
20.0,11,0.8571428571428571,389
20.0,12,0.631578947368421,389
25.0,1,0.8363636363636364,389
25.0,2,0.7659574468085107,389
25.0,3,0.6666666666666667,389
25.0,4,0.7391304347826086,389
25.0,5,0.8163265306122449,389
25.0,6,0.7692307692307692,389
25.0,7,0.9615384615384615,389
25.0,8,0.6818181818181818,389
25.0,9,0.7441860465116279,389
25.0,10,0.806451612903226,389
25.0,11,0.8571428571428571,389
25.0,12,0.631578947368421,389
30.0,1,0.8363636363636364,389
30.0,2,0.7391304347826088,389
30.0,3,0.6666666666666667,389
30.0,4,0.7083333333333333,389
30.0,5,0.8163265306122449,389
30.0,6,0.7692307692307692,389
