Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.6341463414634146,389
0.15,2,0.8333333333333334,389
0.15,3,0.56,389
0.15,4,0.7999999999999999,389
0.15,5,0.5882352941176471,389
0.15,6,0.5,389
0.15,7,0.3870967741935484,389
0.15,8,0.7692307692307693,389
0.15,9,0.5454545454545454,389
0.15,10,0.3,389
0.15,11,0.33333333333333337,389
0.15,12,0.761904761904762,389
0.325,1,0.5263157894736842,389
0.325,2,0.8571428571428571,389
0.325,3,0.5,389
0.325,4,0.7428571428571428,389
0.325,5,0.6666666666666667,389
0.325,6,0.5882352941176471,389
0.325,7,0.5714285714285715,389
0.325,8,0.896551724137931,389
0.325,9,0.5217391304347825,389
0.325,10,0.34146341463414637,389
0.325,11,0.5,389
0.325,12,0.761904761904762,389
0.5,1,0.5263157894736842,389
0.5,2,0.8108108108108109,389
0.5,3,0.5,389
0.5,4,0.7894736842105262,389
0.5,5,0.7027027027027025,389
0.5,6,0.6666666666666666,389
0.5,7,0.6111111111111112,389
0.5,8,0.9333333333333333,389
0.5,9,0.64,389
0.5,10,0.3,389
0.5,11,0.5365853658536585,389
0.5,12,0.8181818181818182,389
0.65,1,0.5641025641025641,389
0.65,2,0.8108108108108109,389
0.65,3,0.5,389
0.65,4,0.7894736842105262,389
0.65,5,0.6666666666666667,389
0.65,6,0.6285714285714286,389
0.65,7,0.6486486486486487,389
0.65,8,0.967741935483871,389
0.65,9,0.5833333333333334,389
0.65,10,0.45454545454545453,389
0.65,11,0.6046511627906976,389
0.65,12,0.8181818181818182,389
0.825,1,0.6,389
0.825,2,0.8333333333333334,389
0.825,3,0.5,389
0.825,4,0.8108108108108107,389
0.825,5,0.7027027027027025,389
0.825,6,0.6285714285714286,389
0.825,7,0.6486486486486487,389
0.825,8,0.967741935483871,389
0.825,9,0.6923076923076923,389
0.825,10,0.5217391304347826,389
0.825,11,0.6363636363636364,389
0.825,12,0.8181818181818182,389
1.0,1,0.5641025641025641,389
1.0,2,0.8333333333333334,389
1.0,3,0.5,389
1.0,4,0.8333333333333333,389
1.0,5,0.7027027027027025,389
1.0,6,0.6285714285714286,389
1.0,7,0.6842105263157895,389
1.0,8,0.967741935483871,389
1.0,9,0.64,389
1.0,10,0.48888888888888893,389
1.0,11,0.6363636363636364,389
1.0,12,0.8181818181818182,389
2.0,1,0.6666666666666666,389
2.0,2,0.8888888888888888,389
2.0,3,0.56,389
2.0,4,0.8333333333333333,389
2.0,5,0.7804878048780488,389
2.0,6,0.7027027027027027,389
2.0,7,0.7499999999999999,389
2.0,8,0.9375,389
2.0,9,0.6923076923076923,389
2.0,10,0.5416666666666667,389
2.0,11,0.6666666666666666,389
2.0,12,0.7826086956521738,389
3.0,1,0.6666666666666666,389
3.0,2,0.8333333333333334,389
3.0,3,0.6153846153846153,389
3.0,4,0.8333333333333333,389
3.0,5,0.7804878048780488,389
3.0,6,0.6666666666666666,389
3.0,7,0.717948717948718,389
3.0,8,0.9375,389
3.0,9,0.7857142857142857,389
3.0,10,0.5833333333333334,389
3.0,11,0.7234042553191489,389
3.0,12,0.7272727272727272,389
4.0,1,0.6666666666666666,389
4.0,2,0.8648648648648649,389
4.0,3,0.56,389
4.0,4,0.8888888888888888,389
4.0,5,0.8372093023255814,389
4.0,6,0.7027027027027027,389
4.0,7,0.7499999999999999,389
4.0,8,0.9032258064516129,389
4.0,9,0.7407407407407406,389
4.0,10,0.6666666666666666,389
4.0,11,0.6666666666666666,389
4.0,12,0.8333333333333334,389
5.0,1,0.6341463414634146,389
5.0,2,0.8717948717948718,389
5.0,3,0.6153846153846153,389
5.0,4,0.8888888888888888,389
5.0,5,0.8372093023255814,389
5.0,6,0.7027027027027027,389
5.0,7,0.7499999999999999,389
5.0,8,0.9032258064516129,389
5.0,9,0.7857142857142857,389
5.0,10,0.6399999999999999,389
5.0,11,0.6956521739130436,389
5.0,12,0.8333333333333334,389
5.0,1,0.6341463414634146,389
5.0,2,0.8717948717948718,389
5.0,3,0.6153846153846153,389
5.0,4,0.8888888888888888,389
5.0,5,0.8372093023255814,389
5.0,6,0.7027027027027027,389
5.0,7,0.7499999999999999,389
5.0,8,0.9032258064516129,389
5.0,9,0.7857142857142857,389
5.0,10,0.6399999999999999,389
5.0,11,0.6956521739130436,389
5.0,12,0.8333333333333334,389
10.0,1,0.7555555555555554,389
10.0,2,0.8947368421052632,389
10.0,3,0.6666666666666666,389
10.0,4,0.8888888888888888,389
10.0,5,0.8372093023255814,389
10.0,6,0.7692307692307693,389
10.0,7,0.8095238095238095,389
10.0,8,0.9032258064516129,389
10.0,9,0.7857142857142857,389
10.0,10,0.6923076923076924,389
10.0,11,0.7234042553191489,389
10.0,12,0.8799999999999999,389
15.0,1,0.782608695652174,389
15.0,2,0.9,389
15.0,3,0.7142857142857143,389
15.0,4,0.8648648648648648,389
15.0,5,0.8372093023255814,389
15.0,6,0.7692307692307693,389
15.0,7,0.8095238095238095,389
15.0,8,0.9090909090909091,389
15.0,9,0.8275862068965517,389
15.0,10,0.7407407407407407,389
15.0,11,0.7755102040816326,389
15.0,12,0.8799999999999999,389
20.0,1,0.782608695652174,389
20.0,2,0.9,389
20.0,3,0.7586206896551725,389
20.0,4,0.8888888888888888,389
20.0,5,0.8372093023255814,389
20.0,6,0.7692307692307693,389
20.0,7,0.8372093023255813,389
20.0,8,0.9090909090909091,389
20.0,9,0.7857142857142857,389
20.0,10,0.7636363636363637,389
20.0,11,0.7755102040816326,389
20.0,12,0.8799999999999999,389
25.0,1,0.782608695652174,389
25.0,2,0.8717948717948718,389
25.0,3,0.7586206896551725,389
25.0,4,0.9411764705882353,389
25.0,5,0.8372093023255814,389
25.0,6,0.7692307692307693,389
25.0,7,0.8372093023255813,389
25.0,8,0.9090909090909091,389
25.0,9,0.7857142857142857,389
25.0,10,0.8070175438596492,389
25.0,11,0.7755102040816326,389
25.0,12,0.8799999999999999,389
30.0,1,0.782608695652174,389
30.0,2,0.8205128205128205,389
30.0,3,0.7333333333333334,389
30.0,4,0.9411764705882353,389
30.0,5,0.8372093023255814,389
30.0,6,0.8292682926829268,389
30.0,7,0.8372093023255813,389
30.0,8,0.9090909090909091,389
30.0,9,0.8275862068965517,389
30.0,10,0.8275862068965517,389
30.0,11,0.8235294117647058,389
30.0,12,0.8799999999999999,389
35.0,1,0.7659574468085106,389
35.0,2,0.8205128205128205,389
35.0,3,0.6666666666666666,389
35.0,4,0.9411764705882353,389
35.0,5,0.8372093023255814,389
35.0,6,0.8292682926829268,389
35.0,7,0.8372093023255813,389
35.0,8,0.9090909090909091,389
35.0,9,0.8275862068965517,389
35.0,10,0.8135593220338982,389
35.0,11,0.8235294117647058,389
35.0,12,0.8799999999999999,389
40.0,1,0.7659574468085106,389
40.0,2,0.8205128205128205,389
40.0,3,0.6428571428571429,389
40.0,4,0.9411764705882353,389
40.0,5,0.8372093023255814,389
40.0,6,0.8292682926829268,389
40.0,7,0.8636363636363636,389
40.0,8,0.9090909090909091,389
40.0,9,0.7407407407407406,389
40.0,10,0.8135593220338982,389
40.0,11,0.8235294117647058,389
40.0,12,0.8799999999999999,389
45.0,1,0.7659574468085106,389
45.0,2,0.8205128205128205,389
45.0,3,0.6896551724137931,389
45.0,4,0.9714285714285714,389
45.0,5,0.8372093023255814,389
45.0,6,0.8571428571428571,389
45.0,7,0.8636363636363636,389
45.0,8,0.9090909090909091,389
45.0,9,0.8275862068965517,389
45.0,10,0.8135593220338982,389
45.0,11,0.846153846153846,389
45.0,12,0.8799999999999999,389
50.0,1,0.7659574468085106,389
50.0,2,0.8205128205128205,389
50.0,3,0.6428571428571429,389
50.0,4,0.9714285714285714,389
50.0,5,0.8372093023255814,389
50.0,6,0.8571428571428571,389
50.0,7,0.8636363636363636,389
50.0,8,0.9090909090909091,389
50.0,9,0.7857142857142857,389
50.0,10,0.8333333333333333,389
50.0,11,0.846153846153846,389
50.0,12,0.8799999999999999,389
