Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.7555555555555554,389
0.15,2,0.8108108108108109,389
0.15,3,0.6666666666666666,389
0.15,4,0.7647058823529412,389
0.15,5,0.7999999999999999,389
0.15,6,0.7027027027027027,389
0.15,7,0.6111111111111112,389
0.15,8,0.896551724137931,389
0.15,9,0.7407407407407406,389
0.15,10,0.38095238095238093,389
0.15,11,0.6363636363636364,389
0.15,12,0.7826086956521738,389
0.325,1,0.7555555555555554,389
0.325,2,0.8108108108108109,389
0.325,3,0.8,389
0.325,4,0.7777777777777778,389
0.325,5,0.8095238095238095,389
0.325,6,0.7027027027027027,389
0.325,7,0.717948717948718,389
0.325,8,0.9375,389
0.325,9,0.8275862068965517,389
0.325,10,0.6399999999999999,389
0.325,11,0.7499999999999999,389
0.325,12,0.8799999999999999,389
0.5,1,0.782608695652174,389
0.5,2,0.8108108108108109,389
0.5,3,0.8,389
0.5,4,0.787878787878788,389
0.5,5,0.7804878048780488,389
0.5,6,0.7027027027027027,389
0.5,7,0.6842105263157895,389
0.5,8,0.9375,389
0.5,9,0.7999999999999999,389
0.5,10,0.6122448979591837,389
0.5,11,0.7499999999999999,389
0.5,12,0.8799999999999999,389
0.65,1,0.7555555555555554,389
0.65,2,0.8108108108108109,389
0.65,3,0.8,389
0.65,4,0.8333333333333333,389
0.65,5,0.8372093023255814,389
0.65,6,0.7692307692307693,389
0.65,7,0.717948717948718,389
0.65,8,0.9375,389
0.65,9,0.8275862068965517,389
0.65,10,0.6399999999999999,389
0.65,11,0.7499999999999999,389
0.65,12,0.8799999999999999,389
0.825,1,0.782608695652174,389
0.825,2,0.8108108108108109,389
0.825,3,0.8,389
0.825,4,0.7647058823529412,389
0.825,5,0.7804878048780488,389
0.825,6,0.7692307692307693,389
0.825,7,0.717948717948718,389
0.825,8,0.9375,389
0.825,9,0.8275862068965517,389
0.825,10,0.5833333333333334,389
0.825,11,0.7499999999999999,389
0.825,12,0.8799999999999999,389
1.0,1,0.7555555555555554,389
1.0,2,0.8108108108108109,389
1.0,3,0.8,389
1.0,4,0.8333333333333333,389
1.0,5,0.8095238095238095,389
1.0,6,0.7692307692307693,389
1.0,7,0.717948717948718,389
1.0,8,0.9375,389
