Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.325,1,0.7692307692307692,389
0.325,2,0.6808510638297872,389
0.325,3,0.2857142857142857,389
0.325,4,0.7111111111111111,389
0.325,5,0.6341463414634146,389
0.325,6,0.2702702702702703,389
0.325,7,0.6956521739130435,389
0.325,8,0.39999999999999997,389
0.325,9,0.7000000000000001,389
0.325,10,0.6037735849056604,389
0.325,11,0.5365853658536585,389
0.325,12,0.6666666666666667,389
0.5,1,0.8214285714285714,389
0.5,2,0.7499999999999999,389
0.5,3,0.5454545454545454,389
0.5,4,0.6808510638297872,389
0.5,5,0.7441860465116279,389
0.5,6,0.28571428571428575,389
0.5,7,0.7346938775510204,389
0.5,8,0.48780487804878053,389
0.5,9,0.7441860465116279,389
0.5,10,0.5306122448979592,389
0.5,11,0.6046511627906976,389
0.5,12,0.6486486486486487,389
0.65,1,0.8214285714285714,389
0.65,2,0.7499999999999999,389
0.65,3,0.5454545454545454,389
0.65,4,0.6808510638297872,389
0.65,5,0.7441860465116279,389
0.65,6,0.28571428571428575,389
0.65,7,0.7346938775510204,389
0.65,8,0.48780487804878053,389
0.65,9,0.7441860465116279,389
0.65,10,0.5306122448979592,389
0.65,11,0.6046511627906976,389
0.65,12,0.6486486486486487,389
0.825,1,0.8620689655172413,389
0.825,2,0.7499999999999999,389
0.825,3,0.5882352941176471,389
0.825,4,0.7083333333333333,389
0.825,5,0.7555555555555555,389
0.825,6,0.4102564102564102,389
0.825,7,0.830188679245283,389
0.825,8,0.6521739130434783,389
0.825,9,0.7272727272727273,389
0.825,10,0.6153846153846153,389
0.825,11,0.6956521739130436,389
0.825,12,0.6486486486486487,389
1.0,1,0.896551724137931,389
1.0,2,0.7499999999999999,389
1.0,3,0.45714285714285713,389
1.0,4,0.7083333333333333,389
1.0,5,0.7142857142857143,389
1.0,6,0.32432432432432434,389
1.0,7,0.830188679245283,389
1.0,8,0.6222222222222222,389
1.0,9,0.7441860465116279,389
1.0,10,0.5882352941176471,389
1.0,11,0.6363636363636364,389
1.0,12,0.631578947368421,389
2.0,1,0.8571428571428571,389
2.0,2,0.7234042553191489,389
2.0,3,0.47058823529411764,389
2.0,4,0.7391304347826086,389
2.0,5,0.5641025641025642,389
2.0,6,0.3684210526315789,389
2.0,7,0.851851851851852,389
2.0,8,0.6222222222222222,389
2.0,9,0.761904761904762,389
2.0,10,0.576923076923077,389
2.0,11,0.5909090909090909,389
2.0,12,0.6486486486486487,389
3.0,1,0.8771929824561403,389
3.0,2,0.7234042553191489,389
3.0,3,0.42424242424242425,389
3.0,4,0.7727272727272727,389
3.0,5,0.5789473684210527,389
3.0,6,0.3333333333333333,389
3.0,7,0.830188679245283,389
3.0,8,0.6511627906976744,389
3.0,9,0.7441860465116279,389
3.0,10,0.48,389
3.0,11,0.6521739130434783,389
3.0,12,0.6666666666666666,389
4.0,1,0.8771929824561403,389
4.0,2,0.7234042553191489,389
4.0,3,0.47058823529411764,389
4.0,4,0.7727272727272727,389
4.0,5,0.65,389
4.0,6,0.28571428571428575,389
4.0,7,0.888888888888889,389
4.0,8,0.6666666666666667,389
4.0,9,0.7441860465116279,389
4.0,10,0.4166666666666667,389
4.0,11,0.6222222222222223,389
4.0,12,0.6666666666666666,389
5.0,1,0.896551724137931,389
5.0,2,0.7234042553191489,389
5.0,3,0.5,389
5.0,4,0.7727272727272727,389
5.0,5,0.6153846153846153,389
5.0,6,0.2702702702702703,389
5.0,7,0.8679245283018867,389
5.0,8,0.7111111111111111,389
5.0,9,0.7142857142857143,389
5.0,10,0.4347826086956522,389
5.0,11,0.6222222222222223,389
5.0,12,0.6486486486486487,389
5.0,1,0.896551724137931,389
5.0,2,0.7234042553191489,389
5.0,3,0.5,389
5.0,4,0.7727272727272727,389
5.0,5,0.6153846153846153,389
5.0,6,0.2702702702702703,389
5.0,7,0.8679245283018867,389
5.0,8,0.7111111111111111,389
5.0,9,0.7142857142857143,389
5.0,10,0.4347826086956522,389
5.0,11,0.6222222222222223,389
5.0,12,0.6486486486486487,389
10.0,1,0.8571428571428571,389
10.0,2,0.7499999999999999,389
10.0,3,0.5789473684210527,389
10.0,4,0.7391304347826086,389
10.0,5,0.65,389
10.0,6,0.28571428571428575,389
10.0,7,0.9056603773584904,389
10.0,8,0.6976744186046512,389
10.0,9,0.7441860465116279,389
10.0,10,0.46808510638297873,389
10.0,11,0.7599999999999999,389
10.0,12,0.6153846153846153,389
15.0,1,0.8571428571428571,389
15.0,2,0.7659574468085107,389
15.0,3,0.5405405405405405,389
15.0,4,0.7234042553191489,389
15.0,5,0.6153846153846153,389
15.0,6,0.29411764705882354,389
