Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.8928571428571429,389
0.15,2,0.631578947368421,389
0.15,3,0.7647058823529411,389
0.15,4,0.6666666666666667,389
0.15,5,0.7659574468085107,389
0.15,6,0.923076923076923,389
0.15,7,0.9056603773584904,389
0.15,8,0.75,389
0.15,9,0.823529411764706,389
0.15,10,0.923076923076923,389
0.15,11,0.9333333333333333,389
0.15,12,0.7826086956521738,389
0.325,1,0.912280701754386,389
0.325,2,0.7317073170731708,389
0.325,3,0.8947368421052632,389
0.325,4,0.7,389
0.325,5,0.8627450980392156,389
0.325,6,0.923076923076923,389
0.325,7,0.9259259259259259,389
0.325,8,0.888888888888889,389
0.325,9,0.7804878048780487,389
0.325,10,0.9393939393939394,389
0.325,11,0.9333333333333333,389
0.325,12,0.8333333333333334,389
0.5,1,0.912280701754386,389
0.5,2,0.8108108108108109,389
0.5,3,0.7999999999999999,389
0.5,4,0.7368421052631577,389
0.5,5,0.8571428571428572,389
0.5,6,0.923076923076923,389
0.5,7,0.9259259259259259,389
0.5,8,0.8484848484848485,389
0.5,9,0.717948717948718,389
0.5,10,0.955223880597015,389
0.5,11,0.9333333333333333,389
0.5,12,0.7826086956521738,389
0.65,1,0.912280701754386,389
0.65,2,0.7692307692307692,389
0.65,3,0.9,389
0.65,4,0.7,389
0.65,5,0.8627450980392156,389
0.65,6,0.923076923076923,389
0.65,7,0.9259259259259259,389
0.65,8,0.8823529411764706,389
0.65,9,0.717948717948718,389
0.65,10,0.9393939393939394,389
0.65,11,0.9333333333333333,389
0.65,12,0.923076923076923,389
0.825,1,0.912280701754386,389
0.825,2,0.7428571428571428,389
0.825,3,0.8648648648648649,389
0.825,4,0.7,389
0.825,5,0.8571428571428572,389
0.825,6,0.923076923076923,389
0.825,7,0.9259259259259259,389
0.825,8,0.8387096774193549,389
0.825,9,0.717948717948718,389
0.825,10,0.923076923076923,389
0.825,11,0.9333333333333333,389
0.825,12,0.923076923076923,389
1.0,1,0.9310344827586207,389
1.0,2,0.8292682926829269,389
1.0,3,0.8648648648648649,389
1.0,4,0.7,389
1.0,5,0.8800000000000001,389
1.0,6,0.923076923076923,389
1.0,7,0.9259259259259259,389
1.0,8,0.9090909090909091,389
1.0,9,0.717948717948718,389
1.0,10,0.923076923076923,389
1.0,11,0.9333333333333333,389
1.0,12,0.923076923076923,389
2.0,1,0.912280701754386,389
2.0,2,0.85,389
2.0,3,0.8947368421052632,389
2.0,4,0.717948717948718,389
2.0,5,0.8627450980392156,389
2.0,6,0.9056603773584906,389
2.0,7,0.9259259259259259,389
2.0,8,0.8484848484848485,389
2.0,9,0.717948717948718,389
2.0,10,0.9855072463768115,389
2.0,11,0.9333333333333333,389
2.0,12,0.923076923076923,389
3.0,1,0.9310344827586207,389
3.0,2,0.85,389
3.0,3,0.8648648648648649,389
3.0,4,0.717948717948718,389
3.0,5,0.8627450980392156,389
3.0,6,0.888888888888889,389
3.0,7,0.9259259259259259,389
3.0,8,0.8823529411764706,389
3.0,9,0.7000000000000001,389
3.0,10,0.9714285714285714,389
3.0,11,0.9333333333333333,389
3.0,12,0.923076923076923,389
4.0,1,0.9310344827586207,389
4.0,2,0.85,389
4.0,3,0.8947368421052632,389
4.0,4,0.717948717948718,389
4.0,5,0.8627450980392156,389
4.0,6,0.888888888888889,389
4.0,7,0.9259259259259259,389
4.0,8,0.8823529411764706,389
4.0,9,0.7000000000000001,389
4.0,10,0.9714285714285714,389
4.0,11,0.9333333333333333,389
4.0,12,0.923076923076923,389
5.0,1,0.9310344827586207,389
5.0,2,0.8292682926829269,389
5.0,3,0.8947368421052632,389
5.0,4,0.717948717948718,389
5.0,5,0.8627450980392156,389
5.0,6,0.888888888888889,389
5.0,7,0.9259259259259259,389
5.0,8,0.8823529411764706,389
5.0,9,0.717948717948718,389
5.0,10,0.9714285714285714,389
5.0,11,0.9333333333333333,389
5.0,12,0.923076923076923,389
5.0,1,0.9310344827586207,389
5.0,2,0.8292682926829269,389
5.0,3,0.8947368421052632,389
5.0,4,0.717948717948718,389
