Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
2.0,1,0.7916666666666667,389
2.0,2,0.3636363636363636,389
2.0,3,0.6153846153846153,389
2.0,4,0.7407407407407407,389
2.0,5,0.7368421052631579,389
2.0,6,0.6666666666666666,389
2.0,7,0.8095238095238095,389
2.0,8,0.47619047619047616,389
2.0,9,0.7999999999999999,389
2.0,10,0.679245283018868,389
2.0,11,0.7234042553191489,389
2.0,12,0.47058823529411764,389
3.0,1,0.7916666666666667,389
3.0,2,0.3636363636363636,389
3.0,3,0.6153846153846153,389
3.0,4,0.7407407407407407,389
3.0,5,0.7368421052631579,389
3.0,6,0.6666666666666666,389
3.0,7,0.8095238095238095,389
3.0,8,0.47619047619047616,389
3.0,9,0.7999999999999999,389
3.0,10,0.679245283018868,389
3.0,11,0.7234042553191489,389
3.0,12,0.47058823529411764,389
4.0,1,0.84,389
4.0,2,0.6666666666666666,389
4.0,3,0.6153846153846153,389
4.0,4,0.7586206896551724,389
4.0,5,0.8095238095238095,389
4.0,6,0.7368421052631579,389
4.0,7,0.8372093023255813,389
4.0,8,0.6086956521739131,389
4.0,9,0.8387096774193549,389
4.0,10,0.8333333333333333,389
4.0,11,0.7499999999999999,389
4.0,12,0.5555555555555556,389
5.0,1,0.84,389
5.0,2,0.6666666666666666,389
5.0,3,0.6153846153846153,389
5.0,4,0.7586206896551724,389
5.0,5,0.8095238095238095,389
5.0,6,0.7368421052631579,389
5.0,7,0.8372093023255813,389
5.0,8,0.6086956521739131,389
5.0,9,0.8387096774193549,389
5.0,10,0.8333333333333333,389
5.0,11,0.7499999999999999,389
5.0,12,0.5555555555555556,389
5.0,1,0.84,389
5.0,2,0.6666666666666666,389
5.0,3,0.6153846153846153,389
5.0,4,0.7586206896551724,389
5.0,5,0.8095238095238095,389
5.0,6,0.7368421052631579,389
5.0,7,0.8372093023255813,389
5.0,8,0.6086956521739131,389
5.0,9,0.8387096774193549,389
5.0,10,0.8333333333333333,389
5.0,11,0.7499999999999999,389
5.0,12,0.5555555555555556,389
10.0,1,0.84,389
10.0,2,0.6666666666666666,389
10.0,3,0.6666666666666666,389
10.0,4,0.7586206896551724,389
10.0,5,0.8095238095238095,389
10.0,6,0.6666666666666666,389
10.0,7,0.8372093023255813,389
10.0,8,0.6666666666666666,389
10.0,9,0.8666666666666666,389
10.0,10,0.8135593220338982,389
10.0,11,0.8,389
10.0,12,0.6666666666666666,389
15.0,1,0.84,389
15.0,2,0.6666666666666666,389
15.0,3,0.6666666666666666,389
15.0,4,0.7586206896551724,389
15.0,5,0.8095238095238095,389
15.0,6,0.6285714285714286,389
15.0,7,0.888888888888889,389
15.0,8,0.6666666666666666,389
15.0,9,0.8387096774193549,389
15.0,10,0.8524590163934426,389
15.0,11,0.8,389
15.0,12,0.6666666666666666,389
20.0,1,0.8461538461538461,389
20.0,2,0.6666666666666666,389
20.0,3,0.6428571428571429,389
20.0,4,0.7586206896551724,389
20.0,5,0.8095238095238095,389
20.0,6,0.6666666666666666,389
20.0,7,0.9130434782608696,389
20.0,8,0.6666666666666666,389
20.0,9,0.8125,389
20.0,10,0.888888888888889,389
20.0,11,0.8235294117647058,389
20.0,12,0.6666666666666666,389
25.0,1,0.8461538461538461,389
25.0,2,0.6666666666666666,389
25.0,3,0.6428571428571429,389
25.0,4,0.7586206896551724,389
25.0,5,0.8095238095238095,389
25.0,6,0.6666666666666666,389
25.0,7,0.9130434782608696,389
25.0,8,0.72,389
25.0,9,0.787878787878788,389
25.0,10,0.90625,389
25.0,11,0.846153846153846,389
25.0,12,0.6666666666666666,389
30.0,1,0.8461538461538461,389
30.0,2,0.6666666666666666,389
30.0,3,0.6428571428571429,389
30.0,4,0.8275862068965517,389
30.0,5,0.8095238095238095,389
30.0,6,0.6666666666666666,389
30.0,7,0.9130434782608696,389
30.0,8,0.72,389
30.0,9,0.7647058823529411,389
30.0,10,0.90625,389
30.0,11,0.8076923076923077,389
30.0,12,0.6666666666666666,389
35.0,1,0.8461538461538461,389
35.0,2,0.6666666666666666,389
35.0,3,0.6428571428571429,389
35.0,4,0.8275862068965517,389
35.0,5,0.8095238095238095,389
35.0,6,0.7027027027027027,389
35.0,7,0.9130434782608696,389
35.0,8,0.72,389
35.0,9,0.7647058823529411,389
35.0,10,0.90625,389
35.0,11,0.8076923076923077,389
35.0,12,0.6666666666666666,389
40.0,1,0.8235294117647057,389
40.0,2,0.6666666666666666,389
40.0,3,0.6428571428571429,389
40.0,4,0.8275862068965517,389
40.0,5,0.8095238095238095,389
40.0,6,0.7368421052631579,389
40.0,7,0.9130434782608696,389
40.0,8,0.7692307692307693,389
40.0,9,0.787878787878788,389
40.0,10,0.9393939393939394,389
40.0,11,0.8076923076923077,389
40.0,12,0.6666666666666666,389
45.0,1,0.8235294117647057,389
45.0,2,0.6666666666666666,389
45.0,3,0.6428571428571429,389
45.0,4,0.8275862068965517,389
45.0,5,0.8095238095238095,389
45.0,6,0.7368421052631579,389
45.0,7,0.9583333333333334,389
45.0,8,0.7692307692307693,389
45.0,9,0.787878787878788,389
45.0,10,0.9393939393939394,389
45.0,11,0.8076923076923077,389
45.0,12,0.6666666666666666,389
50.0,1,0.8235294117647057,389
50.0,2,0.6666666666666666,389
50.0,3,0.6428571428571429,389
50.0,4,0.8275862068965517,389
50.0,5,0.8095238095238095,389
50.0,6,0.7368421052631579,389
50.0,7,0.9361702127659575,389
50.0,8,0.7692307692307693,389
50.0,9,0.787878787878788,389
50.0,10,0.9393939393939394,389
50.0,11,0.8076923076923077,389
50.0,12,0.6666666666666666,389
