Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
1.0,1,0.7555555555555554,389
1.0,2,0.8421052631578948,389
1.0,3,0.7142857142857143,389
1.0,4,0.744186046511628,389
1.0,5,0.8372093023255814,389
1.0,6,0.8837209302325582,389
1.0,7,0.8095238095238095,389
1.0,8,0.9696969696969697,389
1.0,9,0.8387096774193549,389
1.0,10,0.679245283018868,389
1.0,11,0.8235294117647058,389
1.0,12,0.8799999999999999,389
2.0,1,0.8085106382978724,389
2.0,2,0.8205128205128205,389
2.0,3,0.8387096774193548,389
2.0,4,0.744186046511628,389
2.0,5,0.888888888888889,389
2.0,6,0.9361702127659574,389
2.0,7,0.8636363636363636,389
2.0,8,0.9411764705882353,389
2.0,9,0.7222222222222223,389
2.0,10,0.7272727272727274,389
2.0,11,0.8235294117647058,389
2.0,12,0.923076923076923,389
3.0,1,0.8085106382978724,389
3.0,2,0.8421052631578948,389
3.0,3,0.8,389
3.0,4,0.7804878048780487,389
3.0,5,0.888888888888889,389
3.0,6,0.9333333333333333,389
3.0,7,0.8372093023255813,389
3.0,8,0.9090909090909091,389
3.0,9,0.787878787878788,389
3.0,10,0.7272727272727274,389
3.0,11,0.8235294117647058,389
3.0,12,0.923076923076923,389
4.0,1,0.8085106382978724,389
4.0,2,0.8205128205128205,389
4.0,3,0.8,389
4.0,4,0.7804878048780487,389
4.0,5,0.888888888888889,389
4.0,6,0.9130434782608695,389
4.0,7,0.8636363636363636,389
4.0,8,0.9090909090909091,389
4.0,9,0.787878787878788,389
4.0,10,0.75,389
4.0,11,0.8235294117647058,389
4.0,12,0.923076923076923,389
5.0,1,0.8085106382978724,389
5.0,2,0.8205128205128205,389
5.0,3,0.8,389
5.0,4,0.8205128205128205,389
5.0,5,0.8636363636363636,389
5.0,6,0.9333333333333333,389
5.0,7,0.8636363636363636,389
5.0,8,0.9090909090909091,389
5.0,9,0.8125,389
5.0,10,0.75,389
5.0,11,0.8,389
5.0,12,0.923076923076923,389
5.0,1,0.8085106382978724,389
5.0,2,0.8205128205128205,389
5.0,3,0.8,389
5.0,4,0.8205128205128205,389
5.0,5,0.8636363636363636,389
5.0,6,0.9333333333333333,389
5.0,7,0.8636363636363636,389
5.0,8,0.9090909090909091,389
5.0,9,0.8125,389
5.0,10,0.75,389
5.0,11,0.8,389
5.0,12,0.923076923076923,389
10.0,1,0.8085106382978724,389
10.0,2,0.878048780487805,389
10.0,3,0.7741935483870968,389
10.0,4,0.8648648648648648,389
10.0,5,0.8636363636363636,389
10.0,6,0.9130434782608695,389
10.0,7,0.8636363636363636,389
10.0,8,0.9090909090909091,389
10.0,9,0.8125,389
10.0,10,0.7719298245614036,389
10.0,11,0.8235294117647058,389
10.0,12,0.923076923076923,389
15.0,1,0.8085106382978724,389
15.0,2,0.878048780487805,389
15.0,3,0.7741935483870968,389
15.0,4,0.8888888888888888,389
15.0,5,0.8636363636363636,389
15.0,6,0.9130434782608695,389
15.0,7,0.888888888888889,389
15.0,8,0.8823529411764706,389
15.0,9,0.6666666666666665,389
15.0,10,0.8333333333333333,389
15.0,11,0.8235294117647058,389
15.0,12,0.888888888888889,389
20.0,1,0.7755102040816326,389
20.0,2,0.878048780487805,389
20.0,3,0.75,389
20.0,4,0.8888888888888888,389
20.0,5,0.8636363636363636,389
20.0,6,0.9130434782608695,389
20.0,7,0.9130434782608696,389
20.0,8,0.8823529411764706,389
20.0,9,0.6666666666666665,389
20.0,10,0.8709677419354839,389
20.0,11,0.846153846153846,389
20.0,12,0.923076923076923,389
25.0,1,0.7755102040816326,389
25.0,2,0.85,389
25.0,3,0.7878787878787877,389
25.0,4,0.8888888888888888,389
25.0,5,0.8636363636363636,389
25.0,6,0.9130434782608695,389
25.0,7,0.888888888888889,389
25.0,8,0.8823529411764706,389
25.0,9,0.6666666666666665,389
25.0,10,0.90625,389
25.0,11,0.846153846153846,389
25.0,12,0.923076923076923,389
30.0,1,0.7755102040816326,389
30.0,2,0.8095238095238096,389
30.0,3,0.8125000000000001,389
30.0,4,0.9444444444444444,389
30.0,5,0.888888888888889,389
30.0,6,0.9361702127659574,389
30.0,7,0.9130434782608696,389
30.0,8,0.8823529411764706,389
30.0,9,0.6666666666666665,389
30.0,10,0.923076923076923,389
30.0,11,0.846153846153846,389
30.0,12,0.923076923076923,389
35.0,1,0.7755102040816326,389
35.0,2,0.8292682926829269,389
35.0,3,0.8125000000000001,389
35.0,4,0.9444444444444444,389
35.0,5,0.888888888888889,389
35.0,6,0.9361702127659574,389
35.0,7,0.9130434782608696,389
35.0,8,0.8823529411764706,389
35.0,9,0.6666666666666665,389
35.0,10,0.923076923076923,389
35.0,11,0.846153846153846,389
35.0,12,0.923076923076923,389
40.0,1,0.7755102040816326,389
40.0,2,0.8095238095238096,389
40.0,3,0.8125000000000001,389
40.0,4,0.9444444444444444,389
40.0,5,0.888888888888889,389
40.0,6,0.9361702127659574,389
40.0,7,0.9130434782608696,389
40.0,8,0.8823529411764706,389
40.0,9,0.6666666666666665,389
40.0,10,0.923076923076923,389
40.0,11,0.846153846153846,389
40.0,12,0.923076923076923,389
45.0,1,0.7755102040816326,389
45.0,2,0.8292682926829269,389
45.0,3,0.8125000000000001,389
45.0,4,0.9444444444444444,389
45.0,5,0.888888888888889,389
45.0,6,0.9361702127659574,389
45.0,7,0.9130434782608696,389
45.0,8,0.9142857142857143,389
45.0,9,0.6666666666666665,389
45.0,10,0.923076923076923,389
45.0,11,0.8679245283018869,389
45.0,12,0.923076923076923,389
50.0,1,0.7755102040816326,389
50.0,2,0.8292682926829269,389
50.0,3,0.7878787878787877,389
50.0,4,0.9444444444444444,389
50.0,5,0.888888888888889,389
50.0,6,0.9361702127659574,389
50.0,7,0.9130434782608696,389
50.0,8,0.888888888888889,389
50.0,9,0.6857142857142857,389
50.0,10,0.923076923076923,389
50.0,11,0.8679245283018869,389
50.0,12,0.923076923076923,389
