Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
2.0,1,0.9473684210526316,389
2.0,2,0.6666666666666666,389
2.0,3,0.85,389
2.0,4,0.7317073170731708,389
2.0,5,0.84,389
2.0,6,0.8444444444444444,389
2.0,7,0.9056603773584904,389
2.0,8,0.8823529411764706,389
2.0,9,0.7441860465116279,389
2.0,10,0.7931034482758621,389
2.0,11,0.896551724137931,389
2.0,12,0.8799999999999999,389
3.0,1,0.9473684210526316,389
3.0,2,0.6666666666666666,389
3.0,3,0.85,389
3.0,4,0.7317073170731708,389
3.0,5,0.84,389
3.0,6,0.8444444444444444,389
3.0,7,0.9056603773584904,389
3.0,8,0.8823529411764706,389
3.0,9,0.7441860465116279,389
3.0,10,0.7931034482758621,389
3.0,11,0.896551724137931,389
3.0,12,0.8799999999999999,389
4.0,1,0.9310344827586207,389
4.0,2,0.7058823529411765,389
4.0,3,0.8292682926829269,389
4.0,4,0.7619047619047621,389
4.0,5,0.8461538461538461,389
4.0,6,0.8799999999999999,389
4.0,7,0.9259259259259259,389
4.0,8,0.9142857142857143,389
4.0,9,0.7441860465116279,389
4.0,10,0.9411764705882353,389
4.0,11,0.9333333333333333,389
4.0,12,0.923076923076923,389
5.0,1,0.9310344827586207,389
5.0,2,0.7058823529411765,389
5.0,3,0.8292682926829269,389
5.0,4,0.7619047619047621,389
5.0,5,0.8461538461538461,389
5.0,6,0.8799999999999999,389
5.0,7,0.9259259259259259,389
5.0,8,0.9142857142857143,389
5.0,9,0.7441860465116279,389
5.0,10,0.9411764705882353,389
5.0,11,0.9333333333333333,389
5.0,12,0.923076923076923,389
5.0,1,0.9310344827586207,389
5.0,2,0.7058823529411765,389
5.0,3,0.8292682926829269,389
5.0,4,0.7619047619047621,389
5.0,5,0.8461538461538461,389
5.0,6,0.8799999999999999,389
5.0,7,0.9259259259259259,389
5.0,8,0.9142857142857143,389
5.0,9,0.7441860465116279,389
5.0,10,0.9411764705882353,389
5.0,11,0.9333333333333333,389
5.0,12,0.923076923076923,389
10.0,1,0.8928571428571429,389
10.0,2,0.6666666666666666,389
10.0,3,0.7804878048780488,389
10.0,4,0.7567567567567567,389
10.0,5,0.8800000000000001,389
