Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
1.0,1,0.5641025641025641,389
1.0,2,0.8333333333333334,389
1.0,3,0.5,389
1.0,4,0.8333333333333333,389
1.0,5,0.7027027027027025,389
1.0,6,0.6285714285714286,389
1.0,7,0.6842105263157895,389
1.0,8,0.967741935483871,389
1.0,9,0.64,389
1.0,10,0.48888888888888893,389
1.0,11,0.6363636363636364,389
1.0,12,0.8181818181818182,389
2.0,1,0.6976744186046512,389
2.0,2,0.8108108108108109,389
2.0,3,0.6153846153846153,389
2.0,4,0.8333333333333333,389
2.0,5,0.7804878048780488,389
2.0,6,0.7368421052631579,389
2.0,7,0.7499999999999999,389
2.0,8,0.9375,389
2.0,9,0.7407407407407406,389
2.0,10,0.6122448979591837,389
2.0,11,0.7234042553191489,389
2.0,12,0.7826086956521738,389
3.0,1,0.6666666666666666,389
3.0,2,0.8333333333333334,389
3.0,3,0.56,389
3.0,4,0.8333333333333333,389
3.0,5,0.75,389
3.0,6,0.6285714285714286,389
3.0,7,0.7499999999999999,389
3.0,8,0.9032258064516129,389
3.0,9,0.64,389
3.0,10,0.5833333333333334,389
3.0,11,0.6956521739130436,389
3.0,12,0.7826086956521738,389
4.0,1,0.6976744186046512,389
4.0,2,0.8333333333333334,389
4.0,3,0.6153846153846153,389
4.0,4,0.8333333333333333,389
4.0,5,0.8095238095238095,389
4.0,6,0.6285714285714286,389
4.0,7,0.7499999999999999,389
4.0,8,0.9032258064516129,389
4.0,9,0.7857142857142857,389
4.0,10,0.6122448979591837,389
4.0,11,0.6956521739130436,389
4.0,12,0.7826086956521738,389
5.0,1,0.6666666666666666,389
5.0,2,0.8333333333333334,389
5.0,3,0.6153846153846153,389
5.0,4,0.8571428571428571,389
5.0,5,0.7804878048780488,389
5.0,6,0.6285714285714286,389
5.0,7,0.7499999999999999,389
5.0,8,0.9032258064516129,389
5.0,9,0.64,389
5.0,10,0.6122448979591837,389
5.0,11,0.6956521739130436,389
5.0,12,0.7826086956521738,389
5.0,1,0.6666666666666666,389
5.0,2,0.8333333333333334,389
5.0,3,0.6153846153846153,389
5.0,4,0.8571428571428571,389
5.0,5,0.7804878048780488,389
5.0,6,0.6285714285714286,389
5.0,7,0.7499999999999999,389
5.0,8,0.9032258064516129,389
5.0,9,0.64,389
5.0,10,0.6122448979591837,389
5.0,11,0.6956521739130436,389
5.0,12,0.7826086956521738,389
10.0,1,0.7555555555555554,389
10.0,2,0.8648648648648649,389
10.0,3,0.6666666666666666,389
10.0,4,0.8571428571428571,389
10.0,5,0.7804878048780488,389
10.0,6,0.7027027027027027,389
10.0,7,0.8095238095238095,389
10.0,8,0.9375,389
10.0,9,0.7407407407407406,389
10.0,10,0.6399999999999999,389
10.0,11,0.7234042553191489,389
10.0,12,0.8799999999999999,389
15.0,1,0.7555555555555554,389
15.0,2,0.8648648648648649,389
15.0,3,0.6666666666666666,389
15.0,4,0.9090909090909091,389
15.0,5,0.75,389
15.0,6,0.7027027027027027,389
15.0,7,0.7804878048780487,389
15.0,8,0.9375,389
15.0,9,0.6923076923076923,389
15.0,10,0.6923076923076924,389
15.0,11,0.7234042553191489,389
15.0,12,0.8799999999999999,389
20.0,1,0.7555555555555554,389
20.0,2,0.8421052631578948,389
20.0,3,0.6666666666666666,389
20.0,4,0.9411764705882353,389
20.0,5,0.75,389
20.0,6,0.7027027027027027,389
20.0,7,0.8095238095238095,389
20.0,8,0.9375,389
20.0,9,0.6666666666666666,389
20.0,10,0.7407407407407407,389
20.0,11,0.7234042553191489,389
20.0,12,0.8799999999999999,389
25.0,1,0.7555555555555554,389
25.0,2,0.8421052631578948,389
25.0,3,0.6428571428571429,389
25.0,4,0.9411764705882353,389
25.0,5,0.75,389
25.0,6,0.7027027027027027,389
25.0,7,0.7804878048780487,389
25.0,8,0.9090909090909091,389
25.0,9,0.6923076923076923,389
25.0,10,0.7407407407407407,389
25.0,11,0.7234042553191489,389
25.0,12,0.8799999999999999,389
30.0,1,0.782608695652174,389
30.0,2,0.8421052631578948,389
30.0,3,0.6428571428571429,389
30.0,4,0.9411764705882353,389
30.0,5,0.8095238095238095,389
30.0,6,0.7027027027027027,389
30.0,7,0.8095238095238095,389
30.0,8,0.9090909090909091,389
30.0,9,0.6666666666666666,389
30.0,10,0.7857142857142858,389
30.0,11,0.7499999999999999,389
30.0,12,0.8799999999999999,389
35.0,1,0.7391304347826088,389
35.0,2,0.8421052631578948,389
35.0,3,0.6428571428571429,389
35.0,4,0.9411764705882353,389
35.0,5,0.7804878048780488,389
35.0,6,0.7027027027027027,389
35.0,7,0.8095238095238095,389
35.0,8,0.9090909090909091,389
35.0,9,0.6666666666666666,389
35.0,10,0.7857142857142858,389
35.0,11,0.7234042553191489,389
35.0,12,0.8799999999999999,389
40.0,1,0.7555555555555554,389
40.0,2,0.8421052631578948,389
40.0,3,0.6428571428571429,389
40.0,4,0.9411764705882353,389
40.0,5,0.8095238095238095,389
40.0,6,0.7027027027027027,389
40.0,7,0.8372093023255813,389
40.0,8,0.9090909090909091,389
40.0,9,0.7142857142857143,389
40.0,10,0.8070175438596492,389
40.0,11,0.7499999999999999,389
40.0,12,0.8799999999999999,389
45.0,1,0.7555555555555554,389
45.0,2,0.8421052631578948,389
45.0,3,0.6428571428571429,389
