Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
2.0,1,0.888888888888889,389
2.0,2,0.8333333333333334,389
2.0,3,0.5161290322580646,389
2.0,4,0.7804878048780487,389
2.0,5,0.8095238095238095,389
2.0,6,0.8181818181818182,389
2.0,7,0.8846153846153846,389
2.0,8,0.875,389
2.0,9,0.7317073170731707,389
2.0,10,0.679245283018868,389
2.0,11,0.8518518518518519,389
2.0,12,0.923076923076923,389
3.0,1,0.888888888888889,389
3.0,2,0.8333333333333334,389
3.0,3,0.5161290322580646,389
3.0,4,0.7804878048780487,389
3.0,5,0.8095238095238095,389
3.0,6,0.8181818181818182,389
3.0,7,0.8846153846153846,389
3.0,8,0.875,389
3.0,9,0.7317073170731707,389
3.0,10,0.679245283018868,389
3.0,11,0.8518518518518519,389
3.0,12,0.923076923076923,389
4.0,1,0.896551724137931,389
4.0,2,0.8947368421052632,389
4.0,3,0.7368421052631577,389
4.0,4,0.7804878048780487,389
4.0,5,0.8085106382978724,389
4.0,6,0.823529411764706,389
4.0,7,0.9056603773584904,389
4.0,8,0.8823529411764706,389
4.0,9,0.761904761904762,389
4.0,10,0.8333333333333333,389
4.0,11,0.912280701754386,389
4.0,12,0.923076923076923,389
5.0,1,0.896551724137931,389
5.0,2,0.8947368421052632,389
5.0,3,0.7368421052631577,389
5.0,4,0.7804878048780487,389
5.0,5,0.8085106382978724,389
5.0,6,0.823529411764706,389
5.0,7,0.9056603773584904,389
5.0,8,0.8823529411764706,389
5.0,9,0.761904761904762,389
5.0,10,0.8333333333333333,389
5.0,11,0.912280701754386,389
5.0,12,0.923076923076923,389
5.0,1,0.896551724137931,389
5.0,2,0.8947368421052632,389
5.0,3,0.7368421052631577,389
5.0,4,0.7804878048780487,389
5.0,5,0.8085106382978724,389
5.0,6,0.823529411764706,389
5.0,7,0.9056603773584904,389
5.0,8,0.8823529411764706,389
5.0,9,0.761904761904762,389
5.0,10,0.8333333333333333,389
5.0,11,0.912280701754386,389
5.0,12,0.923076923076923,389
10.0,1,0.912280701754386,389
10.0,2,0.7647058823529411,389
10.0,3,0.7222222222222222,389
10.0,4,0.8421052631578947,389
10.0,5,0.8,389
10.0,6,0.816326530612245,389
10.0,7,0.9259259259259259,389
10.0,8,0.8571428571428572,389
10.0,9,0.7317073170731707,389
10.0,10,0.8135593220338982,389
