Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.5,1,0.5581395348837209,389
0.5,2,0.3636363636363636,389
0.5,3,0.4,389
0.5,4,0.45161290322580644,389
0.5,5,0.48484848484848486,389
0.5,6,0.5263157894736842,389
0.5,7,0.6341463414634146,389
0.5,8,0.5833333333333334,389
0.5,9,0.5,389
0.5,10,0.5416666666666667,389
0.5,11,0.33333333333333337,389
0.5,12,0.5555555555555556,389
0.65,1,0.5581395348837209,389
0.65,2,0.3636363636363636,389
0.65,3,0.4,389
0.65,4,0.45161290322580644,389
0.65,5,0.48484848484848486,389
0.65,6,0.5263157894736842,389
0.65,7,0.6341463414634146,389
0.65,8,0.5833333333333334,389
0.65,9,0.5,389
0.65,10,0.5416666666666667,389
0.65,11,0.33333333333333337,389
0.65,12,0.5555555555555556,389
0.825,1,0.5581395348837209,389
0.825,2,0.3636363636363636,389
0.825,3,0.4,389
0.825,4,0.45161290322580644,389
0.825,5,0.48484848484848486,389
0.825,6,0.5263157894736842,389
0.825,7,0.6341463414634146,389
0.825,8,0.5833333333333334,389
0.825,9,0.5,389
0.825,10,0.5416666666666667,389
0.825,11,0.33333333333333337,389
0.825,12,0.5555555555555556,389
1.0,1,0.5909090909090908,389
1.0,2,0.4166666666666667,389
1.0,3,0.6,389
1.0,4,0.45161290322580644,389
1.0,5,0.48484848484848486,389
1.0,6,0.5641025641025641,389
1.0,7,0.7272727272727272,389
1.0,8,0.5833333333333334,389
1.0,9,0.4827586206896552,389
1.0,10,0.5714285714285713,389
1.0,11,0.4615384615384615,389
1.0,12,0.6,389
2.0,1,0.5581395348837209,389
2.0,2,0.3478260869565218,389
2.0,3,0.42857142857142855,389
2.0,4,0.45161290322580644,389
2.0,5,0.42424242424242425,389
2.0,6,0.5263157894736842,389
2.0,7,0.6976744186046512,389
2.0,8,0.5833333333333334,389
2.0,9,0.4827586206896552,389
2.0,10,0.4782608695652174,389
2.0,11,0.45000000000000007,389
2.0,12,0.6666666666666666,389
3.0,1,0.5581395348837209,389
3.0,2,0.3636363636363636,389
3.0,3,0.3846153846153846,389
3.0,4,0.4666666666666667,389
3.0,5,0.43750000000000006,389
3.0,6,0.5128205128205129,389
3.0,7,0.6511627906976745,389
3.0,8,0.5833333333333334,389
3.0,9,0.4666666666666667,389
3.0,10,0.4782608695652174,389
3.0,11,0.4878048780487804,389
3.0,12,0.7000000000000001,389
4.0,1,0.5909090909090908,389
4.0,2,0.3636363636363636,389
4.0,3,0.3846153846153846,389
4.0,4,0.5,389
4.0,5,0.43750000000000006,389
4.0,6,0.4736842105263159,389
4.0,7,0.6511627906976745,389
4.0,8,0.5833333333333334,389
4.0,9,0.4666666666666667,389
4.0,10,0.4782608695652174,389
4.0,11,0.41025641025641024,389
4.0,12,0.7000000000000001,389
5.0,1,0.5909090909090908,389
5.0,2,0.3636363636363636,389
5.0,3,0.3846153846153846,389
5.0,4,0.5384615384615384,389
5.0,5,0.43750000000000006,389
5.0,6,0.4736842105263159,389
5.0,7,0.6190476190476191,389
5.0,8,0.5833333333333334,389
5.0,9,0.5333333333333333,389
5.0,10,0.5106382978723405,389
5.0,11,0.3684210526315789,389
5.0,12,0.7000000000000001,389
5.0,1,0.5909090909090908,389
5.0,2,0.3636363636363636,389
5.0,3,0.3846153846153846,389
5.0,4,0.5384615384615384,389
5.0,5,0.43750000000000006,389
5.0,6,0.4736842105263159,389
5.0,7,0.6190476190476191,389
5.0,8,0.5833333333333334,389
5.0,9,0.5333333333333333,389
5.0,10,0.5106382978723405,389
5.0,11,0.3684210526315789,389
5.0,12,0.7000000000000001,389
10.0,1,0.5581395348837209,389
10.0,2,0.3636363636363636,389
10.0,3,0.35714285714285715,389
10.0,4,0.46153846153846156,389
10.0,5,0.43750000000000006,389
10.0,6,0.4444444444444444,389
10.0,7,0.6190476190476191,389
10.0,8,0.5833333333333334,389
10.0,9,0.4827586206896552,389
10.0,10,0.4444444444444445,389
10.0,11,0.45000000000000007,389
10.0,12,0.631578947368421,389
15.0,1,0.5238095238095237,389
15.0,2,0.27272727272727276,389
15.0,3,0.35714285714285715,389
15.0,4,0.46153846153846156,389
15.0,5,0.43750000000000006,389
15.0,6,0.4736842105263159,389
15.0,7,0.6153846153846153,389
15.0,8,0.45454545454545453,389
15.0,9,0.4666666666666667,389
15.0,10,0.4444444444444445,389
15.0,11,0.45000000000000007,389
15.0,12,0.6,389
20.0,1,0.5238095238095237,389
20.0,2,0.4,389
20.0,3,0.42857142857142855,389
20.0,4,0.46153846153846156,389
20.0,5,0.43750000000000006,389
20.0,6,0.5128205128205129,389
20.0,7,0.6,389
20.0,8,0.45454545454545453,389
20.0,9,0.4666666666666667,389
20.0,10,0.4347826086956522,389
20.0,11,0.47619047619047616,389
20.0,12,0.631578947368421,389
25.0,1,0.5116279069767441,389
25.0,2,0.2608695652173913,389
25.0,3,0.41379310344827586,389
25.0,4,0.46153846153846156,389
25.0,5,0.43750000000000006,389
25.0,6,0.43243243243243246,389
25.0,7,0.631578947368421,389
25.0,8,0.5217391304347825,389
25.0,9,0.4666666666666667,389
25.0,10,0.4347826086956522,389
25.0,11,0.45000000000000007,389
25.0,12,0.6666666666666666,389
30.0,1,0.5116279069767441,389
30.0,2,0.2608695652173913,389
30.0,3,0.35714285714285715,389
30.0,4,0.48,389
30.0,5,0.4516129032258065,389
30.0,6,0.38888888888888895,389
30.0,7,0.6666666666666666,389
30.0,8,0.5217391304347825,389
30.0,9,0.4666666666666667,389
30.0,10,0.46808510638297873,389
30.0,11,0.45000000000000007,389
30.0,12,0.6666666666666666,389
35.0,1,0.5454545454545454,389
