Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
1.0,1,0.6976744186046512,389
1.0,2,0.8571428571428571,389
1.0,3,0.8,389
1.0,4,0.8000000000000002,389
1.0,5,0.8695652173913043,389
1.0,6,0.6666666666666666,389
1.0,7,0.9433962264150945,389
1.0,8,0.9375,389
1.0,9,0.7407407407407406,389
1.0,10,0.8524590163934426,389
1.0,11,0.8235294117647058,389
1.0,12,0.7368421052631579,389
2.0,1,0.7272727272727273,389
2.0,2,0.8648648648648649,389
2.0,3,0.8484848484848485,389
2.0,4,0.8749999999999999,389
2.0,5,0.8333333333333333,389
2.0,6,0.7027027027027027,389
2.0,7,0.9433962264150945,389
2.0,8,0.9090909090909091,389
2.0,9,0.7272727272727272,389
2.0,10,0.923076923076923,389
2.0,11,0.846153846153846,389
2.0,12,0.8571428571428571,389
3.0,1,0.7272727272727273,389
3.0,2,0.8648648648648649,389
3.0,3,0.8125000000000001,389
3.0,4,0.8387096774193549,389
3.0,5,0.851063829787234,389
3.0,6,0.7027027027027027,389
3.0,7,0.9433962264150945,389
3.0,8,0.9375,389
3.0,9,0.7586206896551724,389
3.0,10,0.923076923076923,389
3.0,11,0.846153846153846,389
3.0,12,0.7368421052631579,389
4.0,1,0.7555555555555554,389
4.0,2,0.8421052631578948,389
4.0,3,0.8125000000000001,389
4.0,4,0.8749999999999999,389
4.0,5,0.851063829787234,389
4.0,6,0.7692307692307693,389
4.0,7,0.9433962264150945,389
4.0,8,0.9375,389
4.0,9,0.7999999999999999,389
4.0,10,0.9705882352941176,389
4.0,11,0.8301886792452831,389
4.0,12,0.8,389
5.0,1,0.7555555555555554,389
5.0,2,0.8648648648648649,389
5.0,3,0.8125000000000001,389
5.0,4,0.8387096774193549,389
5.0,5,0.851063829787234,389
5.0,6,0.7027027027027027,389
5.0,7,0.9433962264150945,389
5.0,8,0.9375,389
5.0,9,0.7999999999999999,389
5.0,10,0.955223880597015,389
5.0,11,0.846153846153846,389
5.0,12,0.8,389
5.0,1,0.7555555555555554,389
5.0,2,0.8648648648648649,389
5.0,3,0.8125000000000001,389
5.0,4,0.8387096774193549,389
5.0,5,0.851063829787234,389
5.0,6,0.7027027027027027,389
5.0,7,0.9433962264150945,389
5.0,8,0.9375,389
5.0,9,0.7999999999999999,389
5.0,10,0.955223880597015,389
5.0,11,0.846153846153846,389
5.0,12,0.8,389
10.0,1,0.8085106382978724,389
10.0,2,0.8421052631578948,389
10.0,3,0.823529411764706,389
10.0,4,0.8387096774193549,389
10.0,5,0.8695652173913043,389
10.0,6,0.8292682926829268,389
10.0,7,0.9433962264150945,389
10.0,8,0.9090909090909091,389
