Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.7916666666666667,389
0.15,2,0.8333333333333334,389
0.15,3,0.56,389
0.15,4,0.7428571428571428,389
0.15,5,0.8372093023255814,389
0.15,6,0.6666666666666666,389
0.15,7,0.8095238095238095,389
0.15,8,0.896551724137931,389
0.15,9,0.1111111111111111,389
0.15,10,0.6923076923076924,389
0.15,11,0.8235294117647058,389
0.15,12,0.7000000000000001,389
0.325,1,0.6976744186046512,389
0.325,2,0.8333333333333334,389
0.325,3,0.7142857142857143,389
0.325,4,0.6857142857142857,389
0.325,5,0.8372093023255814,389
0.325,6,0.6666666666666666,389
0.325,7,0.8372093023255813,389
0.325,8,0.9333333333333333,389
0.325,9,0.21052631578947367,389
0.325,10,0.8070175438596492,389
0.325,11,0.8301886792452831,389
0.325,12,0.8,389
0.5,1,0.782608695652174,389
0.5,2,0.8108108108108109,389
0.5,3,0.6153846153846153,389
0.5,4,0.8387096774193549,389
0.5,5,0.8636363636363636,389
0.5,6,0.7692307692307693,389
0.5,7,0.8636363636363636,389
0.5,8,0.9333333333333333,389
0.5,9,0.21052631578947367,389
0.5,10,0.7719298245614036,389
0.5,11,0.8301886792452831,389
0.5,12,0.8,389
0.65,1,0.782608695652174,389
0.65,2,0.8333333333333334,389
0.65,3,0.6153846153846153,389
0.65,4,0.7272727272727272,389
0.65,5,0.8372093023255814,389
0.65,6,0.7692307692307693,389
0.65,7,0.888888888888889,389
0.65,8,0.967741935483871,389
0.65,9,0.21052631578947367,389
0.65,10,0.8135593220338982,389
0.65,11,0.8076923076923077,389
0.65,12,0.7368421052631579,389
0.825,1,0.782608695652174,389
0.825,2,0.8333333333333334,389
0.825,3,0.6153846153846153,389
0.825,4,0.787878787878788,389
0.825,5,0.8372093023255814,389
0.825,6,0.7368421052631579,389
0.825,7,0.9361702127659575,389
0.825,8,0.967741935483871,389
0.825,9,0.21052631578947367,389
0.825,10,0.7719298245614036,389
0.825,11,0.8301886792452831,389
0.825,12,0.8571428571428571,389
1.0,1,0.782608695652174,389
1.0,2,0.8333333333333334,389
1.0,3,0.6666666666666666,389
1.0,4,0.7647058823529412,389
1.0,5,0.8372093023255814,389
1.0,6,0.7368421052631579,389
1.0,7,0.9583333333333334,389
1.0,8,0.967741935483871,389
1.0,9,0.2222222222222222,389
1.0,10,0.8135593220338982,389
1.0,11,0.8076923076923077,389
1.0,12,0.7368421052631579,389
2.0,1,0.782608695652174,389
2.0,2,0.8333333333333334,389
2.0,3,0.7142857142857143,389
2.0,4,0.7272727272727272,389
2.0,5,0.8636363636363636,389
2.0,6,0.7027027027027027,389
2.0,7,0.9583333333333334,389
2.0,8,0.967741935483871,389
2.0,9,0.38095238095238093,389
2.0,10,0.8524590163934426,389
2.0,11,0.8076923076923077,389
2.0,12,0.761904761904762,389
3.0,1,0.7659574468085106,389
3.0,2,0.8648648648648649,389
3.0,3,0.7586206896551725,389
3.0,4,0.7647058823529412,389
3.0,5,0.8636363636363636,389
3.0,6,0.7692307692307693,389
3.0,7,0.9795918367346939,389
3.0,8,0.9333333333333333,389
3.0,9,0.3,389
3.0,10,0.8709677419354839,389
3.0,11,0.8076923076923077,389
3.0,12,0.761904761904762,389
4.0,1,0.7659574468085106,389
4.0,2,0.8421052631578948,389
4.0,3,0.7586206896551725,389
4.0,4,0.787878787878788,389
4.0,5,0.8636363636363636,389
4.0,6,0.7027027027027027,389
4.0,7,0.9795918367346939,389
4.0,8,0.967741935483871,389
4.0,9,0.3,389
4.0,10,0.8709677419354839,389
4.0,11,0.8301886792452831,389
4.0,12,0.761904761904762,389
5.0,1,0.7659574468085106,389
5.0,2,0.8421052631578948,389
5.0,3,0.7586206896551725,389
5.0,4,0.8235294117647058,389
5.0,5,0.8636363636363636,389
5.0,6,0.7027027027027027,389
5.0,7,0.9795918367346939,389
5.0,8,0.967741935483871,389
5.0,9,0.3,389
5.0,10,0.8709677419354839,389
5.0,11,0.8076923076923077,389
5.0,12,0.761904761904762,389
5.0,1,0.7659574468085106,389
5.0,2,0.8421052631578948,389
5.0,3,0.7586206896551725,389
5.0,4,0.8235294117647058,389
5.0,5,0.8636363636363636,389
5.0,6,0.7027027027027027,389
5.0,7,0.9795918367346939,389
5.0,8,0.967741935483871,389
5.0,9,0.3,389
5.0,10,0.8709677419354839,389
5.0,11,0.8076923076923077,389
5.0,12,0.761904761904762,389
10.0,1,0.75,389
10.0,2,0.8421052631578948,389
10.0,3,0.7333333333333334,389
10.0,4,0.8484848484848485,389
10.0,5,0.8636363636363636,389
10.0,6,0.7692307692307693,389
10.0,7,1.0,389
10.0,8,0.896551724137931,389
10.0,9,0.21052631578947367,389
