Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.4,389
0.15,2,0.8823529411764706,389
0.15,3,0.6153846153846153,389
0.15,4,0.7142857142857143,389
0.15,5,0.7999999999999999,389
0.15,6,0.45161290322580644,389
0.15,7,0.717948717948718,389
0.15,8,0.8571428571428571,389
0.15,9,0.38095238095238093,389
0.15,10,0.6399999999999999,389
0.15,11,0.7499999999999999,389
0.15,12,0.7368421052631579,389
0.325,1,0.4444444444444445,389
0.325,2,0.823529411764706,389
0.325,3,0.7142857142857143,389
0.325,4,0.7142857142857143,389
0.325,5,0.8571428571428571,389
0.325,6,0.4,389
0.325,7,0.7499999999999999,389
0.325,8,0.896551724137931,389
0.325,9,0.5833333333333334,389
0.325,10,0.6399999999999999,389
0.325,11,0.7755102040816326,389
0.325,12,0.7368421052631579,389
0.5,1,0.4,389
0.5,2,0.823529411764706,389
0.5,3,0.7142857142857143,389
0.5,4,0.7142857142857143,389
0.5,5,0.8372093023255814,389
0.5,6,0.5882352941176471,389
0.5,7,0.8636363636363636,389
0.5,8,0.967741935483871,389
0.5,9,0.64,389
0.5,10,0.7169811320754718,389
0.5,11,0.7755102040816326,389
0.5,12,0.7368421052631579,389
0.65,1,0.35294117647058826,389
0.65,2,0.823529411764706,389
0.65,3,0.7142857142857143,389
0.65,4,0.7142857142857143,389
0.65,5,0.8636363636363636,389
0.65,6,0.6285714285714286,389
0.65,7,0.9130434782608696,389
0.65,8,0.967741935483871,389
0.65,9,0.6923076923076923,389
0.65,10,0.7407407407407407,389
0.65,11,0.8,389
0.65,12,0.8,389
0.825,1,0.4444444444444445,389
0.825,2,0.823529411764706,389
0.825,3,0.6666666666666666,389
0.825,4,0.6896551724137931,389
0.825,5,0.8636363636363636,389
0.825,6,0.5882352941176471,389
0.825,7,0.9130434782608696,389
0.825,8,0.9375,389
0.825,9,0.7407407407407406,389
0.825,10,0.7636363636363637,389
0.825,11,0.8235294117647058,389
0.825,12,0.8,389
1.0,1,0.5641025641025641,389
1.0,2,0.823529411764706,389
1.0,3,0.7142857142857143,389
1.0,4,0.6896551724137931,389
1.0,5,0.8636363636363636,389
1.0,6,0.5882352941176471,389
1.0,7,0.888888888888889,389
1.0,8,0.9375,389
1.0,9,0.64,389
1.0,10,0.7407407407407407,389
1.0,11,0.8235294117647058,389
1.0,12,0.7368421052631579,389
2.0,1,0.35294117647058826,389
2.0,2,0.8108108108108109,389
2.0,3,0.7586206896551725,389
2.0,4,0.7142857142857143,389
2.0,5,0.8695652173913043,389
2.0,6,0.6285714285714286,389
2.0,7,0.9795918367346939,389
2.0,8,0.9375,389
2.0,9,0.64,389
2.0,10,0.8070175438596492,389
2.0,11,0.8,389
2.0,12,0.7368421052631579,389
3.0,1,0.5641025641025641,389
3.0,2,0.8333333333333334,389
3.0,3,0.7586206896551725,389
3.0,4,0.8000000000000002,389
3.0,5,0.8695652173913043,389
3.0,6,0.6285714285714286,389
3.0,7,0.9583333333333334,389
3.0,8,0.9375,389
3.0,9,0.6923076923076923,389
3.0,10,0.8852459016393442,389
3.0,11,0.7755102040816326,389
3.0,12,0.7368421052631579,389
4.0,1,0.5263157894736842,389
4.0,2,0.8108108108108109,389
4.0,3,0.7586206896551725,389
4.0,4,0.7586206896551724,389
4.0,5,0.8695652173913043,389
4.0,6,0.6285714285714286,389
4.0,7,0.9795918367346939,389
4.0,8,0.9032258064516129,389
4.0,9,0.6923076923076923,389
4.0,10,0.8666666666666666,389
4.0,11,0.7755102040816326,389
4.0,12,0.7368421052631579,389
5.0,1,0.5263157894736842,389
5.0,2,0.8333333333333334,389
5.0,3,0.7741935483870968,389
5.0,4,0.8000000000000002,389
5.0,5,0.8695652173913043,389
5.0,6,0.6666666666666666,389
5.0,7,0.9795918367346939,389
5.0,8,0.9032258064516129,389
5.0,9,0.64,389
5.0,10,0.8666666666666666,389
5.0,11,0.8,389
5.0,12,0.7368421052631579,389
5.0,1,0.5263157894736842,389
5.0,2,0.8333333333333334,389
5.0,3,0.7741935483870968,389
5.0,4,0.8000000000000002,389
5.0,5,0.8695652173913043,389
