Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
1.0,1,0.8085106382978724,389
1.0,2,0.8333333333333334,389
1.0,3,0.7142857142857143,389
1.0,4,0.7999999999999999,389
1.0,5,0.8636363636363636,389
1.0,6,0.7692307692307693,389
1.0,7,0.9795918367346939,389
1.0,8,0.967741935483871,389
1.0,9,0.1111111111111111,389
1.0,10,0.8333333333333333,389
1.0,11,0.912280701754386,389
1.0,12,0.8571428571428571,389
2.0,1,0.8085106382978724,389
2.0,2,0.8333333333333334,389
2.0,3,0.7586206896551725,389
2.0,4,0.8333333333333333,389
2.0,5,0.8444444444444444,389
2.0,6,0.8571428571428571,389
2.0,7,0.9803921568627451,389
2.0,8,0.9375,389
2.0,9,0.38095238095238093,389
2.0,10,0.8333333333333333,389
2.0,11,0.912280701754386,389
2.0,12,0.8695652173913043,389
3.0,1,0.782608695652174,389
3.0,2,0.8333333333333334,389
3.0,3,0.7586206896551725,389
3.0,4,0.7999999999999999,389
3.0,5,0.8636363636363636,389
3.0,6,0.8292682926829268,389
3.0,7,0.9795918367346939,389
3.0,8,0.967741935483871,389
3.0,9,0.3,389
3.0,10,0.8333333333333333,389
3.0,11,0.8928571428571429,389
3.0,12,0.8181818181818182,389
4.0,1,0.75,389
4.0,2,0.8421052631578948,389
4.0,3,0.8,389
4.0,4,0.8333333333333333,389
4.0,5,0.8636363636363636,389
4.0,6,0.9090909090909091,389
4.0,7,1.0,389
4.0,8,0.967741935483871,389
4.0,9,0.38095238095238093,389
4.0,10,0.90625,389
4.0,11,0.8928571428571429,389
4.0,12,0.8695652173913043,389
5.0,1,0.75,389
5.0,2,0.8421052631578948,389
5.0,3,0.8,389
5.0,4,0.8235294117647058,389
5.0,5,0.8636363636363636,389
5.0,6,0.8292682926829268,389
5.0,7,1.0,389
5.0,8,0.967741935483871,389
5.0,9,0.3,389
5.0,10,0.8524590163934426,389
5.0,11,0.8928571428571429,389
5.0,12,0.8695652173913043,389
5.0,1,0.75,389
5.0,2,0.8421052631578948,389
5.0,3,0.8,389
5.0,4,0.8235294117647058,389
5.0,5,0.8636363636363636,389
5.0,6,0.8292682926829268,389
5.0,7,1.0,389
5.0,8,0.967741935483871,389
5.0,9,0.3,389
5.0,10,0.8524590163934426,389
5.0,11,0.8928571428571429,389
5.0,12,0.8695652173913043,389
10.0,1,0.8,389
10.0,2,0.8421052631578948,389
10.0,3,0.7741935483870968,389
10.0,4,0.8571428571428571,389
10.0,5,0.8636363636363636,389
10.0,6,0.8837209302325582,389
10.0,7,1.0,389
10.0,8,0.9032258064516129,389
10.0,9,0.38095238095238093,389
10.0,10,0.923076923076923,389
10.0,11,0.8727272727272728,389
10.0,12,0.8695652173913043,389
15.0,1,0.8,389
15.0,2,0.8421052631578948,389
15.0,3,0.7333333333333334,389
15.0,4,0.8571428571428571,389
15.0,5,0.8636363636363636,389
15.0,6,0.8837209302325582,389
15.0,7,1.0,389
15.0,8,0.9032258064516129,389
15.0,9,0.38095238095238093,389
15.0,10,0.955223880597015,389
15.0,11,0.8727272727272728,389
15.0,12,0.8695652173913043,389
20.0,1,0.8,389
20.0,2,0.8717948717948718,389
20.0,3,0.7333333333333334,389
20.0,4,0.9142857142857143,389
20.0,5,0.8636363636363636,389
20.0,6,0.8837209302325582,389
20.0,7,1.0,389
20.0,8,0.9032258064516129,389
20.0,9,0.38095238095238093,389
20.0,10,0.9705882352941176,389
20.0,11,0.912280701754386,389
20.0,12,0.9166666666666666,389
25.0,1,0.8235294117647057,389
25.0,2,0.8421052631578948,389
25.0,3,0.7333333333333334,389
25.0,4,0.9142857142857143,389
25.0,5,0.888888888888889,389
25.0,6,0.8837209302325582,389
25.0,7,1.0,389
25.0,8,0.9375,389
25.0,9,0.38095238095238093,389
25.0,10,0.9705882352941176,389
25.0,11,0.912280701754386,389
25.0,12,0.8695652173913043,389
30.0,1,0.8235294117647057,389
30.0,2,0.8205128205128205,389
30.0,3,0.7333333333333334,389
30.0,4,0.9142857142857143,389
30.0,5,0.888888888888889,389
30.0,6,0.8837209302325582,389
30.0,7,1.0,389
30.0,8,0.9375,389
30.0,9,0.38095238095238093,389
30.0,10,0.9705882352941176,389
30.0,11,0.912280701754386,389
30.0,12,0.8695652173913043,389
