Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.846153846153846,43
0.15,2,0.888888888888889,29
0.15,3,0.8181818181818182,18
0.15,4,0.7826086956521738,28
0.15,5,0.7777777777777778,32
0.15,6,0.8571428571428571,38
0.15,7,0.888888888888889,39
0.325,1,0.9285714285714286,43
0.325,2,0.9655172413793104,29
0.325,3,0.8571428571428571,18
0.325,4,0.7826086956521738,28
0.325,5,0.8108108108108109,32
0.325,6,0.8148148148148148,38
0.325,7,0.888888888888889,39
0.5,1,0.9285714285714286,43
0.5,2,0.9655172413793104,29
0.5,3,0.8,18
0.5,4,0.8695652173913044,28
0.5,5,0.7777777777777778,32
0.5,6,0.896551724137931,38
0.5,7,0.9189189189189189,39
0.65,1,0.9285714285714286,43
0.65,2,0.9655172413793104,29
0.65,3,0.8571428571428571,18
0.65,4,0.8181818181818181,28
0.65,5,0.8108108108108109,32
0.65,6,0.8571428571428571,38
0.65,7,0.8571428571428571,39
0.825,1,0.9473684210526316,43
0.825,2,0.9655172413793104,29
0.825,3,0.9090909090909091,18
0.825,4,0.9166666666666666,28
0.825,5,0.7777777777777778,32
0.825,6,0.8571428571428571,38
0.825,7,0.8571428571428571,39
1.0,1,0.9090909090909091,43
1.0,2,0.9655172413793104,29
1.0,3,0.9090909090909091,18
1.0,4,0.8695652173913044,28
1.0,5,0.8108108108108109,32
1.0,6,0.8571428571428571,38
1.0,7,0.888888888888889,39
2.0,1,0.9473684210526316,43
2.0,2,0.9655172413793104,29
2.0,3,0.9090909090909091,18
2.0,4,0.9166666666666666,28
2.0,5,0.8421052631578948,32
2.0,6,0.8571428571428571,38
2.0,7,0.8571428571428571,39
3.0,1,0.9473684210526316,43
3.0,2,0.9655172413793104,29
3.0,3,0.9090909090909091,18
3.0,4,0.8695652173913044,28
3.0,5,0.8421052631578948,32
3.0,6,0.896551724137931,38
3.0,7,0.8235294117647058,39
4.0,1,0.9473684210526316,43
4.0,2,0.9285714285714286,29
4.0,3,0.9090909090909091,18
4.0,4,0.8695652173913044,28
4.0,5,0.8717948717948718,32
4.0,6,0.8571428571428571,38
4.0,7,0.8235294117647058,39
5.0,1,0.9473684210526316,43
5.0,2,0.9285714285714286,29
5.0,3,0.9090909090909091,18
5.0,4,0.8695652173913044,28
5.0,5,0.8717948717948718,32
5.0,6,0.8148148148148148,38
5.0,7,0.8235294117647058,39
5.0,1,0.9473684210526316,43
5.0,2,0.9285714285714286,29
5.0,3,0.9090909090909091,18
5.0,4,0.8695652173913044,28
5.0,5,0.8717948717948718,32
5.0,6,0.8148148148148148,38
5.0,7,0.8235294117647058,39
10.0,1,0.9473684210526316,43
10.0,2,0.9655172413793104,29
10.0,3,0.9565217391304348,18
10.0,4,0.8695652173913044,28
10.0,5,0.8421052631578948,32
10.0,6,0.8148148148148148,38
10.0,7,0.7499999999999999,39
15.0,1,0.9473684210526316,43
15.0,2,0.9655172413793104,29
15.0,3,0.9565217391304348,18
15.0,4,0.8181818181818181,28
15.0,5,0.8108108108108109,32
15.0,6,0.8571428571428571,38
15.0,7,0.7499999999999999,39
20.0,1,0.9285714285714286,43
20.0,2,1.0,29
20.0,3,0.9565217391304348,18
20.0,4,0.8181818181818181,28
20.0,5,0.8108108108108109,32
20.0,6,0.8571428571428571,38
20.0,7,0.8235294117647058,39
25.0,1,0.9473684210526316,43
25.0,2,1.0,29
25.0,3,0.9565217391304348,18
25.0,4,0.8181818181818181,28
25.0,5,0.8108108108108109,32
25.0,6,0.8571428571428571,38
25.0,7,0.787878787878788,39
30.0,1,0.9655172413793104,43
30.0,2,1.0,29
30.0,3,0.9565217391304348,18
30.0,4,0.8181818181818181,28
30.0,5,0.8108108108108109,32
30.0,6,0.8571428571428571,38
30.0,7,0.787878787878788,39
35.0,1,0.9655172413793104,43
35.0,2,0.9655172413793104,29
35.0,3,1.0,18
35.0,4,0.8181818181818181,28
35.0,5,0.8421052631578948,32
35.0,6,0.8571428571428571,38
35.0,7,0.787878787878788,39
40.0,1,0.9655172413793104,43
40.0,2,0.9655172413793104,29
40.0,3,1.0,18
40.0,4,0.8181818181818181,28
40.0,5,0.8108108108108109,32
40.0,6,0.8571428571428571,38
40.0,7,0.787878787878788,39
45.0,1,0.9655172413793104,43
45.0,2,0.9655172413793104,29
45.0,3,1.0,18
45.0,4,0.8181818181818181,28
45.0,5,0.8421052631578948,32
45.0,6,0.8571428571428571,38
45.0,7,0.787878787878788,39
50.0,1,0.9655172413793104,43
50.0,2,0.9655172413793104,29
50.0,3,0.9565217391304348,18
50.0,4,0.8695652173913044,28
50.0,5,0.8421052631578948,32
50.0,6,0.8571428571428571,38
50.0,7,0.787878787878788,39
