Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.625,227
0.15,2,0.7142857142857142,227
0.15,3,0.75,227
0.15,4,0.6,227
0.15,5,0.5454545454545455,227
0.15,6,0.7999999999999999,227
0.15,7,0.5161290322580645,227
0.325,1,0.8363636363636363,227
0.325,2,0.8484848484848485,227
0.325,3,0.8461538461538461,227
0.325,4,0.8799999999999999,227
0.325,5,0.7894736842105263,227
0.325,6,0.8387096774193549,227
0.325,7,0.6666666666666665,227
0.5,1,0.8214285714285715,227
0.5,2,0.8484848484848485,227
0.5,3,0.9166666666666666,227
0.5,4,0.8695652173913044,227
0.5,5,0.7222222222222223,227
0.5,6,0.8125,227
0.5,7,0.7567567567567567,227
0.65,1,0.8421052631578948,227
0.65,2,0.8484848484848485,227
0.65,3,0.9166666666666666,227
0.65,4,0.8333333333333333,227
0.65,5,0.7894736842105263,227
0.65,6,0.8387096774193549,227
0.65,7,0.7368421052631577,227
0.825,1,0.9152542372881356,227
0.825,2,0.8235294117647058,227
0.825,3,0.9600000000000001,227
0.825,4,0.8333333333333333,227
0.825,5,0.8780487804878049,227
0.825,6,0.7999999999999999,227
0.825,7,0.7692307692307692,227
1.0,1,0.9152542372881356,227
1.0,2,0.8235294117647058,227
1.0,3,1.0,227
1.0,4,0.8333333333333333,227
1.0,5,0.9,227
1.0,6,0.875,227
1.0,7,0.7894736842105262,227
2.0,1,0.9152542372881356,227
2.0,2,0.8571428571428571,227
2.0,3,0.9600000000000001,227
2.0,4,0.8799999999999999,227
2.0,5,0.9523809523809523,227
2.0,6,0.8484848484848485,227
2.0,7,0.8108108108108107,227
3.0,1,0.9508196721311476,227
3.0,2,0.8823529411764706,227
3.0,3,0.9565217391304348,227
3.0,4,0.9600000000000001,227
3.0,5,0.9523809523809523,227
3.0,6,0.875,227
3.0,7,0.8947368421052632,227
4.0,1,0.9180327868852459,227
4.0,2,0.8235294117647058,227
4.0,3,0.9565217391304348,227
4.0,4,0.9600000000000001,227
4.0,5,0.9523809523809523,227
4.0,6,0.875,227
4.0,7,0.8717948717948718,227
5.0,1,0.9180327868852459,227
5.0,2,0.8484848484848485,227
5.0,3,1.0,227
5.0,4,1.0,227
5.0,5,0.9523809523809523,227
5.0,6,0.875,227
5.0,7,0.8717948717948718,227
5.0,1,0.9180327868852459,227
5.0,2,0.8484848484848485,227
5.0,3,1.0,227
5.0,4,1.0,227
5.0,5,0.9523809523809523,227
5.0,6,0.875,227
5.0,7,0.8717948717948718,227
10.0,1,0.9666666666666667,227
10.0,2,0.8484848484848485,227
10.0,3,1.0,227
10.0,4,1.0,227
10.0,5,0.9523809523809523,227
10.0,6,0.9375,227
10.0,7,0.9189189189189189,227
15.0,1,0.9508196721311476,227
15.0,2,0.8235294117647058,227
15.0,3,1.0,227
15.0,4,1.0,227
15.0,5,0.9523809523809523,227
15.0,6,0.9375,227
15.0,7,0.9473684210526316,227
20.0,1,0.9666666666666667,227
20.0,2,0.8235294117647058,227
20.0,3,1.0,227
20.0,4,1.0,227
20.0,5,0.9767441860465117,227
20.0,6,0.967741935483871,227
20.0,7,0.9189189189189189,227
25.0,1,0.983050847457627,227
25.0,2,0.8484848484848485,227
25.0,3,1.0,227
25.0,4,1.0,227
25.0,5,0.9767441860465117,227
25.0,6,1.0,227
25.0,7,0.9189189189189189,227
30.0,1,0.983050847457627,227
30.0,2,0.8484848484848485,227
30.0,3,1.0,227
30.0,4,1.0,227
30.0,5,0.9767441860465117,227
30.0,6,0.967741935483871,227
30.0,7,0.9473684210526316,227
35.0,1,0.983050847457627,227
35.0,2,0.9333333333333333,227
35.0,3,1.0,227
35.0,4,1.0,227
35.0,5,0.9767441860465117,227
35.0,6,1.0,227
35.0,7,0.9473684210526316,227
40.0,1,0.983050847457627,227
40.0,2,0.9333333333333333,227
40.0,3,1.0,227
40.0,4,1.0,227
40.0,5,0.9767441860465117,227
40.0,6,1.0,227
40.0,7,0.9473684210526316,227
45.0,1,0.983050847457627,227
45.0,2,0.9655172413793104,227
45.0,3,1.0,227
45.0,4,1.0,227
45.0,5,0.9767441860465117,227
45.0,6,1.0,227
45.0,7,0.9473684210526316,227
50.0,1,0.983050847457627,227
50.0,2,0.9655172413793104,227
50.0,3,1.0,227
50.0,4,1.0,227
50.0,5,0.9767441860465117,227
50.0,6,1.0,227
50.0,7,0.9473684210526316,227
