Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.90625,227
5.0,2,0.8235294117647058,227
5.0,3,1.0,227
5.0,4,0.9600000000000001,227
5.0,5,0.9523809523809523,227
5.0,6,0.8484848484848485,227
5.0,7,0.8947368421052632,227
5.0,1,0.90625,227
5.0,2,0.8235294117647058,227
5.0,3,1.0,227
5.0,4,0.9600000000000001,227
5.0,5,0.9523809523809523,227
5.0,6,0.8484848484848485,227
5.0,7,0.8947368421052632,227
10.0,1,0.8955223880597014,227
10.0,2,0.8235294117647058,227
10.0,3,1.0,227
10.0,4,0.9600000000000001,227
10.0,5,0.9523809523809523,227
10.0,6,0.7894736842105263,227
10.0,7,0.9500000000000001,227
15.0,1,0.967741935483871,227
15.0,2,0.7777777777777778,227
15.0,3,0.9600000000000001,227
15.0,4,0.9600000000000001,227
15.0,5,0.9767441860465117,227
15.0,6,0.8571428571428572,227
15.0,7,0.9230769230769231,227
20.0,1,0.967741935483871,227
20.0,2,0.8235294117647058,227
20.0,3,0.9600000000000001,227
20.0,4,0.9600000000000001,227
20.0,5,0.9767441860465117,227
20.0,6,0.8823529411764706,227
20.0,7,0.9743589743589743,227
25.0,1,0.9666666666666667,227
25.0,2,0.8235294117647058,227
25.0,3,1.0,227
25.0,4,0.9600000000000001,227
25.0,5,0.9767441860465117,227
25.0,6,0.9375,227
25.0,7,0.9473684210526316,227
30.0,1,0.9836065573770492,227
30.0,2,0.8235294117647058,227
30.0,3,1.0,227
30.0,4,0.9600000000000001,227
30.0,5,0.9767441860465117,227
30.0,6,0.9375,227
30.0,7,0.9473684210526316,227
35.0,1,0.9836065573770492,227
35.0,2,0.8749999999999999,227
35.0,3,1.0,227
35.0,4,0.9600000000000001,227
35.0,5,0.9767441860465117,227
35.0,6,0.967741935483871,227
35.0,7,0.9473684210526316,227
40.0,1,0.9836065573770492,227
40.0,2,0.9655172413793104,227
40.0,3,1.0,227
40.0,4,0.9600000000000001,227
40.0,5,0.9767441860465117,227
40.0,6,1.0,227
40.0,7,0.9473684210526316,227
45.0,1,1.0,227
45.0,2,0.9655172413793104,227
45.0,3,1.0,227
45.0,4,0.9600000000000001,227
45.0,5,0.9767441860465117,227
45.0,6,1.0,227
45.0,7,0.9473684210526316,227
50.0,1,1.0,227
50.0,2,0.9655172413793104,227
50.0,3,1.0,227
50.0,4,0.9600000000000001,227
50.0,5,0.9767441860465117,227
50.0,6,1.0,227
50.0,7,0.9473684210526316,227
