Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.8076923076923077,227
0.15,2,0.8125,227
0.15,3,0.9166666666666666,227
0.15,4,0.888888888888889,227
0.15,5,0.7777777777777778,227
0.15,6,0.8,227
0.15,7,0.7647058823529412,227
0.325,1,0.8076923076923077,227
0.325,2,0.7647058823529413,227
0.325,3,0.923076923076923,227
0.325,4,0.9600000000000001,227
0.325,5,0.9,227
0.325,6,0.8648648648648648,227
0.325,7,0.7222222222222223,227
0.5,1,0.8235294117647058,227
0.5,2,0.7878787878787877,227
0.5,3,0.923076923076923,227
0.5,4,0.9166666666666666,227
0.5,5,0.9,227
0.5,6,0.8648648648648648,227
0.5,7,0.8333333333333334,227
0.65,1,0.7755102040816326,227
0.65,2,0.8235294117647058,227
0.65,3,0.888888888888889,227
0.65,4,0.9166666666666666,227
0.65,5,0.9,227
0.65,6,0.8421052631578948,227
0.65,7,0.8,227
0.825,1,0.8,227
0.825,2,0.8235294117647058,227
0.825,3,0.888888888888889,227
0.825,4,0.9166666666666666,227
0.825,5,0.9523809523809523,227
0.825,6,0.7567567567567567,227
0.825,7,0.7428571428571429,227
1.0,1,0.8,227
1.0,2,0.8235294117647058,227
1.0,3,0.888888888888889,227
1.0,4,0.9166666666666666,227
1.0,5,0.9523809523809523,227
1.0,6,0.7777777777777777,227
1.0,7,0.7428571428571429,227
2.0,1,0.8,227
2.0,2,0.8235294117647058,227
2.0,3,0.923076923076923,227
2.0,4,0.9600000000000001,227
2.0,5,0.9268292682926829,227
2.0,6,0.7692307692307693,227
2.0,7,0.8,227
3.0,1,0.7755102040816326,227
3.0,2,0.8235294117647058,227
3.0,3,0.9600000000000001,227
3.0,4,0.9600000000000001,227
3.0,5,0.9268292682926829,227
3.0,6,0.8205128205128205,227
3.0,7,0.8717948717948718,227
4.0,1,0.7599999999999999,227
4.0,2,0.8235294117647058,227
4.0,3,0.9600000000000001,227
4.0,4,0.9600000000000001,227
4.0,5,0.9268292682926829,227
4.0,6,0.8,227
4.0,7,0.8421052631578948,227
5.0,1,0.7599999999999999,227
5.0,2,0.8235294117647058,227
5.0,3,0.9600000000000001,227
5.0,4,0.9600000000000001,227
5.0,5,0.9268292682926829,227
5.0,6,0.8205128205128205,227
5.0,7,0.8421052631578948,227
5.0,1,0.7599999999999999,227
5.0,2,0.8235294117647058,227
5.0,3,0.9600000000000001,227
5.0,4,0.9600000000000001,227
5.0,5,0.9268292682926829,227
5.0,6,0.8205128205128205,227
5.0,7,0.8421052631578948,227
10.0,1,0.7843137254901961,227
10.0,2,0.8484848484848485,227
10.0,3,0.9600000000000001,227
10.0,4,0.9600000000000001,227
10.0,5,0.9268292682926829,227
10.0,6,0.8648648648648648,227
10.0,7,0.8648648648648648,227
15.0,1,0.8235294117647058,227
15.0,2,0.8484848484848485,227
15.0,3,1.0,227
15.0,4,0.9600000000000001,227
15.0,5,0.8717948717948718,227
15.0,6,0.888888888888889,227
15.0,7,0.8947368421052632,227
20.0,1,0.7755102040816326,227
20.0,2,0.8235294117647058,227
20.0,3,1.0,227
20.0,4,0.9600000000000001,227
20.0,5,0.9,227
20.0,6,0.9411764705882353,227
20.0,7,0.9189189189189189,227
25.0,1,0.7499999999999999,227
25.0,2,0.8235294117647058,227
25.0,3,1.0,227
25.0,4,0.9600000000000001,227
25.0,5,0.9,227
25.0,6,0.9696969696969697,227
25.0,7,0.888888888888889,227
30.0,1,0.6956521739130436,227
30.0,2,0.8484848484848485,227
30.0,3,1.0,227
30.0,4,0.9600000000000001,227
30.0,5,0.9268292682926829,227
30.0,6,0.9696969696969697,227
30.0,7,0.888888888888889,227
35.0,1,0.7499999999999999,227
35.0,2,0.9032258064516129,227
35.0,3,1.0,227
35.0,4,0.9600000000000001,227
35.0,5,0.9268292682926829,227
35.0,6,0.9696969696969697,227
35.0,7,0.8571428571428571,227
40.0,1,0.7499999999999999,227
40.0,2,0.9032258064516129,227
40.0,3,1.0,227
40.0,4,0.9600000000000001,227
40.0,5,0.9268292682926829,227
40.0,6,1.0,227
40.0,7,0.8571428571428571,227
45.0,1,0.7755102040816326,227
45.0,2,0.9333333333333333,227
45.0,3,1.0,227
45.0,4,0.9600000000000001,227
45.0,5,0.8717948717948718,227
45.0,6,0.967741935483871,227
45.0,7,0.8571428571428571,227
50.0,1,0.7499999999999999,227
50.0,2,0.9333333333333333,227
50.0,3,1.0,227
50.0,4,0.9600000000000001,227
50.0,5,0.9,227
50.0,6,0.967741935483871,227
50.0,7,0.8571428571428571,227
