Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
2.0,1,0.8,227
2.0,2,0.8235294117647058,227
2.0,3,0.923076923076923,227
2.0,4,0.9600000000000001,227
2.0,5,0.9268292682926829,227
2.0,6,0.7692307692307693,227
2.0,7,0.8,227
3.0,1,0.8,227
3.0,2,0.8235294117647058,227
3.0,3,0.923076923076923,227
3.0,4,0.9600000000000001,227
3.0,5,0.9268292682926829,227
3.0,6,0.7692307692307693,227
3.0,7,0.8,227
4.0,1,0.8363636363636363,227
4.0,2,0.8235294117647058,227
4.0,3,0.923076923076923,227
4.0,4,1.0,227
4.0,5,0.9268292682926829,227
4.0,6,0.761904761904762,227
4.0,7,0.7727272727272727,227
5.0,1,0.8363636363636363,227
5.0,2,0.8235294117647058,227
5.0,3,0.923076923076923,227
5.0,4,1.0,227
5.0,5,0.9268292682926829,227
5.0,6,0.761904761904762,227
5.0,7,0.7727272727272727,227
5.0,1,0.8363636363636363,227
5.0,2,0.8235294117647058,227
5.0,3,0.923076923076923,227
5.0,4,1.0,227
5.0,5,0.9268292682926829,227
5.0,6,0.761904761904762,227
5.0,7,0.7727272727272727,227
10.0,1,0.7307692307692307,227
10.0,2,0.8235294117647058,227
10.0,3,0.923076923076923,227
10.0,4,0.9230769230769231,227
10.0,5,0.9268292682926829,227
10.0,6,0.8205128205128205,227
10.0,7,0.8421052631578948,227
15.0,1,0.7307692307692307,227
15.0,2,0.8484848484848485,227
15.0,3,0.9600000000000001,227
15.0,4,0.9600000000000001,227
15.0,5,0.9,227
15.0,6,0.8421052631578948,227
15.0,7,0.8947368421052632,227
20.0,1,0.7843137254901961,227
20.0,2,0.8235294117647058,227
20.0,3,0.9600000000000001,227
20.0,4,0.9600000000000001,227
20.0,5,0.9268292682926829,227
20.0,6,0.8648648648648648,227
20.0,7,0.8947368421052632,227
25.0,1,0.7755102040816326,227
25.0,2,0.8235294117647058,227
25.0,3,0.9600000000000001,227
25.0,4,0.9600000000000001,227
25.0,5,0.9,227
25.0,6,0.9090909090909091,227
25.0,7,0.9189189189189189,227
30.0,1,0.7499999999999999,227
30.0,2,0.8235294117647058,227
30.0,3,1.0,227
30.0,4,0.9600000000000001,227
30.0,5,0.9268292682926829,227
30.0,6,0.9375,227
30.0,7,0.888888888888889,227
35.0,1,0.7499999999999999,227
35.0,2,0.8484848484848485,227
35.0,3,1.0,227
35.0,4,0.9600000000000001,227
35.0,5,0.9268292682926829,227
35.0,6,0.9375,227
35.0,7,0.888888888888889,227
40.0,1,0.8,227
40.0,2,0.8484848484848485,227
40.0,3,1.0,227
40.0,4,0.9600000000000001,227
40.0,5,0.9268292682926829,227
40.0,6,0.9375,227
40.0,7,0.888888888888889,227
45.0,1,0.8,227
45.0,2,0.8484848484848485,227
45.0,3,1.0,227
45.0,4,0.9600000000000001,227
45.0,5,0.9268292682926829,227
45.0,6,0.9375,227
45.0,7,0.9189189189189189,227
50.0,1,0.8,227
50.0,2,0.8484848484848485,227
50.0,3,1.0,227
50.0,4,0.9600000000000001,227
50.0,5,0.9,227
50.0,6,0.9375,227
50.0,7,0.888888888888889,227
