Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.8571428571428571,227
0.15,2,0.6818181818181819,227
0.15,3,0.8,227
0.15,4,0.6486486486486487,227
0.15,5,0.7916666666666666,227
0.15,6,0.5769230769230769,227
0.15,7,0.8260869565217392,227
0.325,1,0.8923076923076922,227
0.325,2,0.7179487179487181,227
0.325,3,0.8275862068965517,227
0.325,4,0.7027027027027027,227
0.325,5,0.8780487804878049,227
0.325,6,0.6808510638297872,227
0.325,7,0.7999999999999999,227
0.5,1,0.9206349206349207,227
0.5,2,0.6666666666666667,227
0.5,3,0.8571428571428571,227
0.5,4,0.7428571428571429,227
0.5,5,0.9047619047619048,227
0.5,6,0.7111111111111111,227
0.5,7,0.8260869565217392,227
0.65,1,0.90625,227
0.65,2,0.6829268292682926,227
0.65,3,0.888888888888889,227
0.65,4,0.7647058823529412,227
0.65,5,0.9047619047619048,227
0.65,6,0.7111111111111111,227
0.65,7,0.7999999999999999,227
0.825,1,0.8923076923076922,227
0.825,2,0.7000000000000001,227
0.825,3,0.8571428571428571,227
0.825,4,0.787878787878788,227
0.825,5,0.9268292682926829,227
0.825,6,0.7111111111111111,227
0.825,7,0.7999999999999999,227
1.0,1,0.8923076923076922,227
1.0,2,0.7000000000000001,227
1.0,3,0.9600000000000001,227
1.0,4,0.787878787878788,227
1.0,5,0.9523809523809523,227
1.0,6,0.7272727272727273,227
1.0,7,0.8181818181818182,227
2.0,1,0.90625,227
2.0,2,0.7179487179487181,227
2.0,3,0.9600000000000001,227
2.0,4,0.8125000000000001,227
2.0,5,0.9523809523809523,227
2.0,6,0.7317073170731707,227
2.0,7,0.8636363636363635,227
3.0,1,0.9032258064516129,227
3.0,2,0.7368421052631579,227
3.0,3,0.9565217391304348,227
3.0,4,0.8666666666666666,227
3.0,5,0.9767441860465117,227
3.0,6,0.7272727272727273,227
3.0,7,0.6956521739130435,227
4.0,1,0.8749999999999999,227
4.0,2,0.7368421052631579,227
4.0,3,0.9166666666666666,227
4.0,4,0.896551724137931,227
4.0,5,0.9545454545454546,227
4.0,6,0.7317073170731707,227
4.0,7,0.75,227
5.0,1,0.8749999999999999,227
5.0,2,0.7368421052631579,227
5.0,3,0.9166666666666666,227
5.0,4,0.896551724137931,227
5.0,5,0.9565217391304348,227
5.0,6,0.7441860465116279,227
5.0,7,0.723404255319149,227
5.0,1,0.8749999999999999,227
5.0,2,0.7368421052631579,227
5.0,3,0.9166666666666666,227
5.0,4,0.896551724137931,227
5.0,5,0.9565217391304348,227
5.0,6,0.7441860465116279,227
5.0,7,0.723404255319149,227
10.0,1,0.888888888888889,227
10.0,2,0.8,227
10.0,3,0.9166666666666666,227
10.0,4,0.8275862068965517,227
10.0,5,0.9565217391304348,227
10.0,6,0.7441860465116279,227
10.0,7,0.7826086956521738,227
15.0,1,0.888888888888889,227
15.0,2,0.7777777777777778,227
15.0,3,0.9166666666666666,227
15.0,4,0.8000000000000002,227
15.0,5,0.9333333333333332,227
15.0,6,0.8,227
15.0,7,0.7727272727272727,227
20.0,1,0.888888888888889,227
20.0,2,0.7647058823529413,227
20.0,3,0.9166666666666666,227
20.0,4,0.8571428571428571,227
20.0,5,0.9545454545454546,227
20.0,6,0.8333333333333334,227
20.0,7,0.8205128205128205,227
25.0,1,0.9333333333333333,227
25.0,2,0.7428571428571429,227
25.0,3,0.9166666666666666,227
25.0,4,0.8571428571428571,227
25.0,5,0.9545454545454546,227
25.0,6,0.9375,227
25.0,7,0.8421052631578948,227
30.0,1,0.9152542372881356,227
30.0,2,0.8235294117647058,227
30.0,3,0.9166666666666666,227
30.0,4,0.8571428571428571,227
30.0,5,0.9545454545454546,227
30.0,6,0.9696969696969697,227
30.0,7,0.8205128205128205,227
35.0,1,0.9473684210526316,227
35.0,2,0.8484848484848485,227
35.0,3,0.9166666666666666,227
35.0,4,0.8148148148148148,227
35.0,5,0.9302325581395349,227
35.0,6,1.0,227
35.0,7,0.8421052631578948,227
40.0,1,0.9473684210526316,227
40.0,2,0.8125,227
40.0,3,0.9600000000000001,227
40.0,4,0.8148148148148148,227
40.0,5,0.9545454545454546,227
40.0,6,0.967741935483871,227
40.0,7,0.8108108108108107,227
45.0,1,0.9473684210526316,227
45.0,2,0.8666666666666667,227
45.0,3,0.9600000000000001,227
45.0,4,0.8148148148148148,227
45.0,5,0.9302325581395349,227
45.0,6,1.0,227
45.0,7,0.8421052631578948,227
50.0,1,0.9473684210526316,227
50.0,2,0.8666666666666667,227
50.0,3,0.9600000000000001,227
50.0,4,0.8571428571428571,227
50.0,5,0.9302325581395349,227
50.0,6,1.0,227
50.0,7,0.7428571428571429,227
