Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.8115942028985509,227
0.15,2,0.6666666666666667,227
0.15,3,0.8275862068965517,227
0.15,4,0.7058823529411765,227
0.15,5,0.7916666666666666,227
0.15,6,0.6037735849056604,227
0.15,7,0.7999999999999999,227
0.325,1,0.8749999999999999,227
0.325,2,0.7000000000000001,227
0.325,3,0.8275862068965517,227
0.325,4,0.7647058823529412,227
0.325,5,0.9333333333333332,227
0.325,6,0.653061224489796,227
0.325,7,0.8372093023255814,227
0.5,1,0.9354838709677419,227
0.5,2,0.7000000000000001,227
0.5,3,0.8571428571428571,227
0.5,4,0.6875,227
0.5,5,0.9090909090909091,227
0.5,6,0.653061224489796,227
0.5,7,0.8571428571428572,227
0.65,1,0.8923076923076922,227
0.65,2,0.6829268292682926,227
0.65,3,0.9600000000000001,227
0.65,4,0.7741935483870968,227
0.65,5,0.9268292682926829,227
0.65,6,0.6382978723404255,227
0.65,7,0.8372093023255814,227
0.825,1,0.8923076923076922,227
0.825,2,0.6829268292682926,227
0.825,3,0.9600000000000001,227
0.825,4,0.8000000000000002,227
0.825,5,0.9268292682926829,227
0.825,6,0.6521739130434783,227
0.825,7,0.8372093023255814,227
1.0,1,0.90625,227
1.0,2,0.7000000000000001,227
1.0,3,0.9600000000000001,227
1.0,4,0.7857142857142856,227
1.0,5,0.9268292682926829,227
1.0,6,0.6808510638297872,227
1.0,7,0.8372093023255814,227
2.0,1,0.90625,227
2.0,2,0.7777777777777778,227
2.0,3,0.9600000000000001,227
2.0,4,0.8571428571428571,227
2.0,5,0.9268292682926829,227
2.0,6,0.7142857142857143,227
2.0,7,0.888888888888889,227
3.0,1,0.870967741935484,227
3.0,2,0.8,227
3.0,3,1.0,227
3.0,4,0.8571428571428571,227
3.0,5,0.9268292682926829,227
3.0,6,0.7142857142857143,227
3.0,7,0.7307692307692308,227
4.0,1,0.9032258064516129,227
4.0,2,0.7777777777777778,227
4.0,3,1.0,227
4.0,4,0.8571428571428571,227
4.0,5,0.9545454545454546,227
4.0,6,0.7142857142857143,227
4.0,7,0.7547169811320755,227
5.0,1,0.888888888888889,227
5.0,2,0.8108108108108109,227
5.0,3,0.9166666666666666,227
5.0,4,0.8571428571428571,227
5.0,5,0.9777777777777777,227
5.0,6,0.7111111111111111,227
5.0,7,0.7755102040816326,227
5.0,1,0.888888888888889,227
5.0,2,0.8108108108108109,227
5.0,3,0.9166666666666666,227
5.0,4,0.8571428571428571,227
5.0,5,0.9777777777777777,227
5.0,6,0.7111111111111111,227
5.0,7,0.7755102040816326,227
10.0,1,0.896551724137931,227
10.0,2,0.8,227
10.0,3,0.9166666666666666,227
10.0,4,0.8571428571428571,227
10.0,5,0.9565217391304348,227
10.0,6,0.761904761904762,227
10.0,7,0.7916666666666667,227
15.0,1,0.9,227
15.0,2,0.7428571428571429,227
15.0,3,0.9166666666666666,227
15.0,4,0.8571428571428571,227
15.0,5,0.9333333333333332,227
15.0,6,0.8648648648648648,227
15.0,7,0.8260869565217392,227
20.0,1,0.9,227
20.0,2,0.7777777777777778,227
20.0,3,0.9166666666666666,227
20.0,4,0.8571428571428571,227
20.0,5,0.9302325581395349,227
20.0,6,0.823529411764706,227
20.0,7,0.8780487804878048,227
25.0,1,0.9310344827586207,227
25.0,2,0.8,227
25.0,3,0.9166666666666666,227
25.0,4,0.8148148148148148,227
25.0,5,0.8780487804878049,227
25.0,6,0.875,227
25.0,7,0.9,227
30.0,1,0.8928571428571429,227
30.0,2,0.7777777777777778,227
30.0,3,0.9166666666666666,227
30.0,4,0.8148148148148148,227
30.0,5,0.9047619047619048,227
30.0,6,0.9333333333333333,227
30.0,7,0.8780487804878048,227
35.0,1,0.9285714285714286,227
35.0,2,0.8000000000000002,227
35.0,3,0.9600000000000001,227
35.0,4,0.8148148148148148,227
35.0,5,0.9047619047619048,227
35.0,6,0.967741935483871,227
35.0,7,0.9,227
40.0,1,0.9285714285714286,227
40.0,2,0.7741935483870969,227
40.0,3,0.9600000000000001,227
40.0,4,0.7692307692307693,227
40.0,5,0.8780487804878049,227
40.0,6,0.967741935483871,227
40.0,7,0.8717948717948718,227
45.0,1,0.9090909090909091,227
45.0,2,0.8275862068965518,227
45.0,3,0.9600000000000001,227
45.0,4,0.7692307692307693,227
45.0,5,0.8780487804878049,227
45.0,6,0.967741935483871,227
45.0,7,0.9,227
50.0,1,0.888888888888889,227
50.0,2,0.8275862068965518,227
50.0,3,0.9600000000000001,227
50.0,4,0.8,227
50.0,5,0.85,227
50.0,6,0.967741935483871,227
50.0,7,0.8717948717948718,227
