Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.9354838709677419,227
5.0,2,0.7777777777777778,227
5.0,3,0.9600000000000001,227
5.0,4,0.962962962962963,227
5.0,5,0.9767441860465117,227
5.0,6,0.8333333333333334,227
5.0,7,0.8095238095238095,227
5.0,1,0.9354838709677419,227
5.0,2,0.7777777777777778,227
5.0,3,0.9600000000000001,227
5.0,4,0.962962962962963,227
5.0,5,0.9767441860465117,227
5.0,6,0.8333333333333334,227
5.0,7,0.8095238095238095,227
10.0,1,0.8923076923076922,227
10.0,2,0.7567567567567568,227
10.0,3,0.9600000000000001,227
10.0,4,0.896551724137931,227
10.0,5,0.9767441860465117,227
10.0,6,0.7692307692307693,227
10.0,7,0.8372093023255814,227
15.0,1,0.90625,227
15.0,2,0.8,227
15.0,3,0.9600000000000001,227
15.0,4,0.9285714285714286,227
15.0,5,0.9767441860465117,227
15.0,6,0.8333333333333334,227
15.0,7,0.85,227
20.0,1,0.9206349206349207,227
20.0,2,0.7777777777777778,227
20.0,3,0.923076923076923,227
20.0,4,0.9285714285714286,227
20.0,5,0.9777777777777777,227
20.0,6,0.888888888888889,227
20.0,7,0.85,227
25.0,1,0.9333333333333333,227
25.0,2,0.7777777777777778,227
25.0,3,0.923076923076923,227
25.0,4,0.9285714285714286,227
25.0,5,0.9777777777777777,227
25.0,6,0.8823529411764706,227
25.0,7,0.85,227
30.0,1,0.9508196721311476,227
30.0,2,0.7777777777777778,227
30.0,3,0.923076923076923,227
30.0,4,0.9285714285714286,227
30.0,5,0.9777777777777777,227
30.0,6,0.8823529411764706,227
30.0,7,0.85,227
35.0,1,0.9333333333333333,227
35.0,2,0.7777777777777778,227
35.0,3,0.9600000000000001,227
35.0,4,0.9285714285714286,227
35.0,5,0.9777777777777777,227
35.0,6,0.9090909090909091,227
35.0,7,0.8648648648648648,227
40.0,1,0.9508196721311476,227
40.0,2,0.8,227
40.0,3,1.0,227
40.0,4,0.896551724137931,227
40.0,5,0.9777777777777777,227
40.0,6,0.9090909090909091,227
40.0,7,0.8648648648648648,227
45.0,1,0.983050847457627,227
45.0,2,0.8235294117647058,227
45.0,3,0.9600000000000001,227
45.0,4,0.896551724137931,227
45.0,5,0.9777777777777777,227
45.0,6,0.9090909090909091,227
45.0,7,0.8947368421052632,227
50.0,1,0.9666666666666667,227
50.0,2,0.8235294117647058,227
50.0,3,0.9600000000000001,227
50.0,4,0.896551724137931,227
50.0,5,0.9777777777777777,227
50.0,6,0.9411764705882353,227
50.0,7,0.9230769230769231,227
