Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.888888888888889,227
5.0,2,0.7567567567567568,227
5.0,3,0.9166666666666666,227
5.0,4,0.8666666666666666,227
5.0,5,0.9777777777777777,227
5.0,6,0.8205128205128205,227
5.0,7,0.7111111111111111,227
5.0,1,0.888888888888889,227
5.0,2,0.7567567567567568,227
5.0,3,0.9166666666666666,227
5.0,4,0.8666666666666666,227
5.0,5,0.9777777777777777,227
5.0,6,0.8205128205128205,227
5.0,7,0.7111111111111111,227
10.0,1,0.8656716417910447,227
10.0,2,0.7368421052631579,227
10.0,3,0.9600000000000001,227
10.0,4,0.8387096774193548,227
10.0,5,0.9565217391304348,227
10.0,6,0.761904761904762,227
10.0,7,0.7916666666666667,227
15.0,1,0.90625,227
15.0,2,0.7777777777777778,227
15.0,3,0.9600000000000001,227
15.0,4,0.8387096774193548,227
15.0,5,0.9777777777777777,227
15.0,6,0.8,227
15.0,7,0.8085106382978724,227
20.0,1,0.90625,227
20.0,2,0.7777777777777778,227
20.0,3,0.9600000000000001,227
20.0,4,0.8387096774193548,227
20.0,5,0.9777777777777777,227
20.0,6,0.7804878048780487,227
20.0,7,0.8260869565217392,227
25.0,1,0.9206349206349207,227
25.0,2,0.7777777777777778,227
25.0,3,0.9600000000000001,227
25.0,4,0.8666666666666666,227
25.0,5,0.9777777777777777,227
25.0,6,0.8205128205128205,227
25.0,7,0.8260869565217392,227
30.0,1,0.9206349206349207,227
30.0,2,0.7777777777777778,227
30.0,3,0.9600000000000001,227
30.0,4,0.8666666666666666,227
30.0,5,0.9777777777777777,227
30.0,6,0.8205128205128205,227
30.0,7,0.8260869565217392,227
35.0,1,0.9354838709677419,227
35.0,2,0.7777777777777778,227
35.0,3,0.9600000000000001,227
35.0,4,0.8666666666666666,227
35.0,5,0.9777777777777777,227
35.0,6,0.8205128205128205,227
35.0,7,0.8837209302325583,227
40.0,1,0.9508196721311476,227
40.0,2,0.8,227
40.0,3,0.9600000000000001,227
40.0,4,0.8666666666666666,227
40.0,5,0.9777777777777777,227
40.0,6,0.8421052631578948,227
40.0,7,0.8444444444444444,227
45.0,1,0.9508196721311476,227
45.0,2,0.8,227
45.0,3,0.9600000000000001,227
45.0,4,0.8666666666666666,227
45.0,5,0.9777777777777777,227
45.0,6,0.8648648648648648,227
45.0,7,0.8095238095238095,227
50.0,1,0.9508196721311476,227
50.0,2,0.7567567567567568,227
50.0,3,0.9600000000000001,227
50.0,4,0.8387096774193548,227
50.0,5,0.9777777777777777,227
50.0,6,0.8205128205128205,227
50.0,7,0.8181818181818182,227
