Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.9,227
5.0,2,0.7777777777777778,227
5.0,3,0.9166666666666666,227
5.0,4,0.8148148148148148,227
5.0,5,0.9777777777777777,227
5.0,6,0.7317073170731707,227
5.0,7,0.7916666666666667,227
5.0,1,0.9,227
5.0,2,0.7777777777777778,227
5.0,3,0.9166666666666666,227
5.0,4,0.8148148148148148,227
5.0,5,0.9777777777777777,227
5.0,6,0.7317073170731707,227
5.0,7,0.7916666666666667,227
10.0,1,0.870967741935484,227
10.0,2,0.7777777777777778,227
10.0,3,0.9600000000000001,227
10.0,4,0.8275862068965517,227
10.0,5,0.9777777777777777,227
10.0,6,0.7111111111111111,227
10.0,7,0.7755102040816326,227
15.0,1,0.9,227
15.0,2,0.8,227
15.0,3,0.9600000000000001,227
15.0,4,0.8148148148148148,227
15.0,5,0.9777777777777777,227
15.0,6,0.7804878048780487,227
15.0,7,0.7916666666666667,227
20.0,1,0.9152542372881356,227
20.0,2,0.8,227
20.0,3,0.9600000000000001,227
20.0,4,0.8571428571428571,227
20.0,5,0.9777777777777777,227
20.0,6,0.8,227
20.0,7,0.7916666666666667,227
25.0,1,0.896551724137931,227
25.0,2,0.8,227
25.0,3,0.9600000000000001,227
25.0,4,0.8571428571428571,227
25.0,5,0.9545454545454546,227
25.0,6,0.8,227
25.0,7,0.8260869565217392,227
30.0,1,0.896551724137931,227
30.0,2,0.7777777777777778,227
30.0,3,0.9600000000000001,227
30.0,4,0.8571428571428571,227
30.0,5,0.9777777777777777,227
30.0,6,0.8421052631578948,227
30.0,7,0.8163265306122449,227
35.0,1,0.896551724137931,227
35.0,2,0.8,227
35.0,3,0.9600000000000001,227
35.0,4,0.8148148148148148,227
35.0,5,0.9777777777777777,227
35.0,6,0.8205128205128205,227
35.0,7,0.8695652173913044,227
40.0,1,0.9333333333333333,227
40.0,2,0.8,227
40.0,3,0.9600000000000001,227
40.0,4,0.8275862068965517,227
40.0,5,0.9777777777777777,227
40.0,6,0.8648648648648648,227
40.0,7,0.851063829787234,227
45.0,1,0.9655172413793104,227
45.0,2,0.8,227
45.0,3,0.9600000000000001,227
45.0,4,0.8571428571428571,227
45.0,5,0.9777777777777777,227
45.0,6,0.8421052631578948,227
45.0,7,0.9090909090909091,227
50.0,1,0.9655172413793104,227
50.0,2,0.8235294117647058,227
50.0,3,0.9600000000000001,227
50.0,4,0.8275862068965517,227
50.0,5,0.9777777777777777,227
50.0,6,0.8421052631578948,227
50.0,7,0.888888888888889,227
