Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.90625,227
5.0,2,0.7179487179487181,227
5.0,3,1.0,227
5.0,4,0.9285714285714286,227
5.0,5,0.9767441860465117,227
5.0,6,0.7894736842105263,227
5.0,7,0.8947368421052632,227
5.0,1,0.90625,227
5.0,2,0.7179487179487181,227
5.0,3,1.0,227
5.0,4,0.9285714285714286,227
5.0,5,0.9767441860465117,227
5.0,6,0.7894736842105263,227
5.0,7,0.8947368421052632,227
10.0,1,0.8787878787878789,227
10.0,2,0.7179487179487181,227
10.0,3,0.9600000000000001,227
10.0,4,0.896551724137931,227
10.0,5,0.9767441860465117,227
10.0,6,0.7441860465116279,227
10.0,7,0.9047619047619048,227
15.0,1,0.90625,227
15.0,2,0.7368421052631579,227
15.0,3,0.9600000000000001,227
15.0,4,0.962962962962963,227
15.0,5,0.9767441860465117,227
15.0,6,0.7894736842105263,227
15.0,7,0.9473684210526316,227
20.0,1,0.9206349206349207,227
20.0,2,0.7368421052631579,227
20.0,3,0.923076923076923,227
20.0,4,0.962962962962963,227
20.0,5,0.9767441860465117,227
20.0,6,0.8,227
20.0,7,0.9473684210526316,227
25.0,1,0.9508196721311476,227
25.0,2,0.7368421052631579,227
25.0,3,0.9600000000000001,227
25.0,4,0.962962962962963,227
25.0,5,0.9767441860465117,227
25.0,6,0.9411764705882353,227
25.0,7,0.9473684210526316,227
30.0,1,0.9508196721311476,227
30.0,2,0.8,227
30.0,3,0.9600000000000001,227
30.0,4,0.962962962962963,227
30.0,5,0.9767441860465117,227
30.0,6,0.9411764705882353,227
30.0,7,0.9743589743589743,227
35.0,1,0.9508196721311476,227
35.0,2,0.8235294117647058,227
35.0,3,1.0,227
35.0,4,0.962962962962963,227
35.0,5,0.9767441860465117,227
35.0,6,0.9696969696969697,227
35.0,7,0.9743589743589743,227
40.0,1,0.9508196721311476,227
40.0,2,0.8235294117647058,227
40.0,3,1.0,227
40.0,4,0.962962962962963,227
40.0,5,0.9767441860465117,227
40.0,6,0.9696969696969697,227
40.0,7,0.9743589743589743,227
45.0,1,0.983050847457627,227
45.0,2,0.9032258064516129,227
45.0,3,1.0,227
45.0,4,0.962962962962963,227
45.0,5,0.9767441860465117,227
45.0,6,0.9696969696969697,227
45.0,7,0.9743589743589743,227
50.0,1,0.983050847457627,227
50.0,2,0.9032258064516129,227
50.0,3,1.0,227
50.0,4,1.0,227
50.0,5,0.9545454545454546,227
50.0,6,0.9696969696969697,227
50.0,7,0.9743589743589743,227
