Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.6984126984126984,227
0.15,2,0.6153846153846154,227
0.15,3,0.8148148148148148,227
0.15,4,0.588235294117647,227
0.15,5,0.7555555555555555,227
0.15,6,0.5106382978723403,227
0.15,7,0.7441860465116279,227
0.325,1,0.7826086956521738,227
0.325,2,0.6,227
0.325,3,0.8275862068965517,227
0.325,4,0.5945945945945945,227
0.325,5,0.7500000000000001,227
0.325,6,0.52,227
0.325,7,0.6666666666666667,227
0.5,1,0.7213114754098361,227
0.5,2,0.6153846153846154,227
0.5,3,0.8148148148148148,227
0.5,4,0.6111111111111112,227
0.5,5,0.711111111111111,227
0.5,6,0.52,227
0.5,7,0.5769230769230769,227
0.65,1,0.7384615384615385,227
0.65,2,0.6,227
0.65,3,0.8275862068965517,227
0.65,4,0.6666666666666666,227
0.65,5,0.7500000000000001,227
0.65,6,0.5306122448979591,227
0.65,7,0.6666666666666667,227
0.825,1,0.6984126984126984,227
0.825,2,0.6315789473684211,227
0.825,3,0.8571428571428571,227
0.825,4,0.631578947368421,227
0.825,5,0.7500000000000001,227
0.825,6,0.5531914893617021,227
0.825,7,0.5925925925925927,227
1.0,1,0.6875,227
1.0,2,0.65,227
1.0,3,0.8571428571428571,227
1.0,4,0.631578947368421,227
1.0,5,0.7500000000000001,227
1.0,6,0.5416666666666666,227
1.0,7,0.6428571428571429,227
2.0,1,0.6666666666666666,227
2.0,2,0.6315789473684211,227
2.0,3,0.8148148148148148,227
2.0,4,0.5945945945945945,227
2.0,5,0.7659574468085107,227
2.0,6,0.5531914893617021,227
2.0,7,0.5925925925925927,227
3.0,1,0.6666666666666666,227
3.0,2,0.5945945945945945,227
3.0,3,0.8148148148148148,227
3.0,4,0.5945945945945945,227
3.0,5,0.7826086956521738,227
3.0,6,0.5531914893617021,227
3.0,7,0.6181818181818183,227
4.0,1,0.6451612903225806,227
4.0,2,0.5714285714285715,227
4.0,3,0.8275862068965517,227
4.0,4,0.6111111111111112,227
4.0,5,0.7826086956521738,227
4.0,6,0.5652173913043479,227
4.0,7,0.6181818181818183,227
5.0,1,0.6229508196721313,227
5.0,2,0.6285714285714286,227
5.0,3,0.7857142857142857,227
5.0,4,0.5945945945945945,227
5.0,5,0.7555555555555555,227
5.0,6,0.5652173913043479,227
5.0,7,0.5925925925925927,227
5.0,1,0.6229508196721313,227
5.0,2,0.6285714285714286,227
5.0,3,0.7857142857142857,227
5.0,4,0.5945945945945945,227
5.0,5,0.7555555555555555,227
5.0,6,0.5652173913043479,227
5.0,7,0.5925925925925927,227
10.0,1,0.65625,227
10.0,2,0.6486486486486486,227
10.0,3,0.8571428571428571,227
10.0,4,0.6111111111111112,227
10.0,5,0.7555555555555555,227
10.0,6,0.5217391304347827,227
10.0,7,0.5818181818181818,227
15.0,1,0.65625,227
15.0,2,0.5555555555555556,227
15.0,3,0.8571428571428571,227
15.0,4,0.6285714285714286,227
15.0,5,0.7391304347826088,227
15.0,6,0.5306122448979591,227
15.0,7,0.6071428571428571,227
20.0,1,0.65625,227
20.0,2,0.5142857142857143,227
20.0,3,0.8571428571428571,227
20.0,4,0.6285714285714286,227
20.0,5,0.7659574468085107,227
20.0,6,0.5416666666666666,227
20.0,7,0.6071428571428571,227
25.0,1,0.65625,227
25.0,2,0.5142857142857143,227
25.0,3,0.8571428571428571,227
25.0,4,0.6285714285714286,227
25.0,5,0.7659574468085107,227
25.0,6,0.5306122448979591,227
25.0,7,0.5818181818181818,227
30.0,1,0.65625,227
30.0,2,0.5555555555555556,227
30.0,3,0.8275862068965517,227
30.0,4,0.6285714285714286,227
30.0,5,0.7659574468085107,227
30.0,6,0.5,227
30.0,7,0.5769230769230769,227
35.0,1,0.65625,227
35.0,2,0.5263157894736841,227
35.0,3,0.8275862068965517,227
35.0,4,0.6111111111111112,227
35.0,5,0.7391304347826088,227
35.0,6,0.5106382978723403,227
35.0,7,0.6037735849056605,227
40.0,1,0.6666666666666666,227
40.0,2,0.4864864864864865,227
40.0,3,0.8275862068965517,227
40.0,4,0.5945945945945945,227
40.0,5,0.7391304347826088,227
40.0,6,0.5106382978723403,227
40.0,7,0.5769230769230769,227
45.0,1,0.6666666666666666,227
45.0,2,0.4444444444444444,227
45.0,3,0.7857142857142857,227
45.0,4,0.5789473684210525,227
45.0,5,0.7391304347826088,227
45.0,6,0.5,227
45.0,7,0.5490196078431372,227
50.0,1,0.6666666666666666,227
50.0,2,0.4444444444444444,227
50.0,3,0.7857142857142857,227
50.0,4,0.5789473684210525,227
50.0,5,0.711111111111111,227
50.0,6,0.4583333333333333,227
50.0,7,0.5490196078431372,227
