Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
1.0,1,0.9508196721311476,227
1.0,2,0.8235294117647058,227
1.0,3,0.923076923076923,227
1.0,4,1.0,227
1.0,5,0.9767441860465117,227
1.0,6,0.9090909090909091,227
1.0,7,0.9268292682926829,227
2.0,1,0.9354838709677419,227
2.0,2,0.7777777777777778,227
2.0,3,0.923076923076923,227
2.0,4,1.0,227
2.0,5,0.9767441860465117,227
2.0,6,0.8421052631578948,227
2.0,7,0.8636363636363635,227
3.0,1,0.9508196721311476,227
3.0,2,0.7777777777777778,227
3.0,3,0.923076923076923,227
3.0,4,1.0,227
3.0,5,0.9767441860465117,227
3.0,6,0.8648648648648648,227
3.0,7,0.8837209302325583,227
4.0,1,0.9508196721311476,227
4.0,2,0.7777777777777778,227
4.0,3,0.923076923076923,227
4.0,4,1.0,227
4.0,5,0.9767441860465117,227
4.0,6,0.8648648648648648,227
4.0,7,0.8695652173913044,227
5.0,1,0.9508196721311476,227
5.0,2,0.8,227
5.0,3,1.0,227
5.0,4,1.0,227
5.0,5,0.9767441860465117,227
5.0,6,0.888888888888889,227
5.0,7,0.8636363636363635,227
5.0,1,0.9508196721311476,227
5.0,2,0.8,227
5.0,3,1.0,227
5.0,4,1.0,227
5.0,5,0.9767441860465117,227
5.0,6,0.888888888888889,227
5.0,7,0.8636363636363635,227
10.0,1,0.9508196721311476,227
10.0,2,0.7777777777777778,227
10.0,3,0.9600000000000001,227
10.0,4,1.0,227
10.0,5,0.9767441860465117,227
10.0,6,0.9142857142857143,227
10.0,7,0.9500000000000001,227
15.0,1,0.9666666666666667,227
15.0,2,0.7777777777777778,227
15.0,3,0.9600000000000001,227
15.0,4,1.0,227
15.0,5,0.9767441860465117,227
15.0,6,0.9696969696969697,227
15.0,7,0.9500000000000001,227
20.0,1,0.9666666666666667,227
20.0,2,0.7567567567567568,227
20.0,3,0.9600000000000001,227
20.0,4,1.0,227
20.0,5,0.9767441860465117,227
20.0,6,0.9696969696969697,227
20.0,7,0.9743589743589743,227
25.0,1,0.9666666666666667,227
25.0,2,0.7777777777777778,227
25.0,3,1.0,227
25.0,4,1.0,227
25.0,5,0.9767441860465117,227
25.0,6,1.0,227
25.0,7,0.9743589743589743,227
30.0,1,0.983050847457627,227
30.0,2,0.7777777777777778,227
30.0,3,1.0,227
30.0,4,1.0,227
30.0,5,0.9767441860465117,227
30.0,6,0.967741935483871,227
30.0,7,0.9743589743589743,227
35.0,1,0.983050847457627,227
35.0,2,0.8235294117647058,227
35.0,3,1.0,227
35.0,4,1.0,227
35.0,5,0.9767441860465117,227
35.0,6,0.967741935483871,227
35.0,7,0.9743589743589743,227
40.0,1,0.983050847457627,227
40.0,2,0.8235294117647058,227
40.0,3,1.0,227
40.0,4,1.0,227
40.0,5,0.9767441860465117,227
40.0,6,0.967741935483871,227
40.0,7,0.9743589743589743,227
45.0,1,0.983050847457627,227
45.0,2,0.8235294117647058,227
45.0,3,1.0,227
45.0,4,1.0,227
45.0,5,0.9767441860465117,227
45.0,6,0.967741935483871,227
45.0,7,0.9743589743589743,227
50.0,1,0.983050847457627,227
50.0,2,0.8484848484848485,227
50.0,3,1.0,227
50.0,4,1.0,227
50.0,5,0.9767441860465117,227
50.0,6,0.967741935483871,227
50.0,7,0.9743589743589743,227
