Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
2.0,1,0.9836065573770492,227
2.0,2,0.9375,227
2.0,3,0.923076923076923,227
2.0,4,0.962962962962963,227
2.0,5,1.0,227
2.0,6,0.888888888888889,227
2.0,7,0.9268292682926829,227
3.0,1,0.9836065573770492,227
3.0,2,0.9375,227
3.0,3,0.923076923076923,227
3.0,4,0.962962962962963,227
3.0,5,1.0,227
3.0,6,0.888888888888889,227
3.0,7,0.9268292682926829,227
4.0,1,0.9836065573770492,227
4.0,2,0.9090909090909091,227
4.0,3,0.923076923076923,227
4.0,4,0.962962962962963,227
4.0,5,1.0,227
4.0,6,0.888888888888889,227
4.0,7,0.9090909090909091,227
5.0,1,0.9836065573770492,227
5.0,2,0.9090909090909091,227
5.0,3,0.923076923076923,227
5.0,4,0.962962962962963,227
5.0,5,1.0,227
5.0,6,0.888888888888889,227
5.0,7,0.9090909090909091,227
5.0,1,0.9836065573770492,227
5.0,2,0.9090909090909091,227
5.0,3,0.923076923076923,227
5.0,4,0.962962962962963,227
5.0,5,1.0,227
5.0,6,0.888888888888889,227
5.0,7,0.9090909090909091,227
10.0,1,1.0,227
10.0,2,0.9090909090909091,227
10.0,3,0.923076923076923,227
10.0,4,0.962962962962963,227
10.0,5,1.0,227
10.0,6,0.9142857142857143,227
10.0,7,0.9500000000000001,227
15.0,1,1.0,227
15.0,2,0.9375,227
15.0,3,0.923076923076923,227
15.0,4,0.962962962962963,227
15.0,5,1.0,227
15.0,6,0.9411764705882353,227
15.0,7,0.9500000000000001,227
20.0,1,1.0,227
20.0,2,0.9375,227
20.0,3,0.923076923076923,227
20.0,4,0.9230769230769231,227
20.0,5,1.0,227
20.0,6,0.9411764705882353,227
20.0,7,0.9500000000000001,227
25.0,1,1.0,227
25.0,2,0.9375,227
25.0,3,0.923076923076923,227
25.0,4,0.9230769230769231,227
25.0,5,1.0,227
25.0,6,0.9696969696969697,227
25.0,7,0.9743589743589743,227
30.0,1,1.0,227
30.0,2,0.9375,227
30.0,3,0.9600000000000001,227
30.0,4,0.9230769230769231,227
30.0,5,1.0,227
30.0,6,0.9375,227
30.0,7,0.975609756097561,227
35.0,1,1.0,227
35.0,2,0.9375,227
35.0,3,0.9600000000000001,227
35.0,4,0.9230769230769231,227
35.0,5,1.0,227
35.0,6,0.9375,227
35.0,7,1.0,227
40.0,1,1.0,227
40.0,2,0.967741935483871,227
40.0,3,0.9600000000000001,227
40.0,4,0.962962962962963,227
40.0,5,1.0,227
40.0,6,0.9375,227
40.0,7,1.0,227
45.0,1,1.0,227
45.0,2,0.967741935483871,227
45.0,3,0.9600000000000001,227
45.0,4,0.962962962962963,227
45.0,5,1.0,227
45.0,6,0.9375,227
45.0,7,1.0,227
50.0,1,1.0,227
50.0,2,0.967741935483871,227
50.0,3,0.9600000000000001,227
50.0,4,1.0,227
50.0,5,1.0,227
50.0,6,0.967741935483871,227
50.0,7,1.0,227
