Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.5,1,0.9473684210526316,227
0.5,2,0.8,227
0.5,3,0.923076923076923,227
0.5,4,0.9166666666666666,227
0.5,5,0.9767441860465117,227
0.5,6,0.8421052631578948,227
0.5,7,0.9090909090909091,227
0.65,1,0.9473684210526316,227
0.65,2,0.8,227
0.65,3,0.923076923076923,227
0.65,4,0.9166666666666666,227
0.65,5,0.9767441860465117,227
0.65,6,0.8421052631578948,227
0.65,7,0.9090909090909091,227
0.825,1,0.9473684210526316,227
0.825,2,0.8,227
0.825,3,0.923076923076923,227
0.825,4,0.9166666666666666,227
0.825,5,0.9767441860465117,227
0.825,6,0.8421052631578948,227
0.825,7,0.9090909090909091,227
1.0,1,0.9666666666666667,227
1.0,2,0.7368421052631579,227
1.0,3,0.888888888888889,227
1.0,4,0.962962962962963,227
1.0,5,0.9767441860465117,227
1.0,6,0.8,227
1.0,7,0.7547169811320755,227
2.0,1,0.983050847457627,227
2.0,2,0.7692307692307693,227
2.0,3,0.923076923076923,227
2.0,4,0.962962962962963,227
2.0,5,0.9767441860465117,227
2.0,6,0.8,227
2.0,7,0.7407407407407407,227
3.0,1,0.983050847457627,227
3.0,2,0.7692307692307693,227
3.0,3,0.9600000000000001,227
3.0,4,0.962962962962963,227
3.0,5,1.0,227
3.0,6,0.8,227
3.0,7,0.7272727272727273,227
4.0,1,0.9666666666666667,227
4.0,2,0.7692307692307693,227
4.0,3,0.9600000000000001,227
4.0,4,0.962962962962963,227
4.0,5,1.0,227
4.0,6,0.8,227
4.0,7,0.7272727272727273,227
5.0,1,0.9666666666666667,227
5.0,2,0.7894736842105263,227
5.0,3,0.9600000000000001,227
5.0,4,0.962962962962963,227
5.0,5,1.0,227
5.0,6,0.8205128205128205,227
5.0,7,0.7272727272727273,227
5.0,1,0.9666666666666667,227
5.0,2,0.7894736842105263,227
5.0,3,0.9600000000000001,227
5.0,4,0.962962962962963,227
5.0,5,1.0,227
5.0,6,0.8205128205128205,227
5.0,7,0.7272727272727273,227
10.0,1,1.0,227
10.0,2,0.8108108108108109,227
10.0,3,0.923076923076923,227
10.0,4,0.962962962962963,227
10.0,5,1.0,227
10.0,6,0.8648648648648648,227
10.0,7,0.7692307692307693,227
15.0,1,1.0,227
15.0,2,0.8108108108108109,227
15.0,3,0.923076923076923,227
15.0,4,0.962962962962963,227
15.0,5,1.0,227
15.0,6,0.888888888888889,227
15.0,7,0.7843137254901961,227
20.0,1,1.0,227
20.0,2,0.8571428571428571,227
20.0,3,0.9600000000000001,227
20.0,4,0.9230769230769231,227
20.0,5,0.9767441860465117,227
20.0,6,0.9411764705882353,227
20.0,7,0.8163265306122449,227
25.0,1,1.0,227
25.0,2,0.8571428571428571,227
25.0,3,0.9600000000000001,227
25.0,4,0.9600000000000001,227
25.0,5,1.0,227
25.0,6,0.9411764705882353,227
25.0,7,0.8333333333333333,227
30.0,1,1.0,227
30.0,2,0.8571428571428571,227
30.0,3,1.0,227
30.0,4,0.9600000000000001,227
30.0,5,1.0,227
30.0,6,0.9696969696969697,227
30.0,7,0.851063829787234,227
35.0,1,1.0,227
35.0,2,0.8571428571428571,227
35.0,3,1.0,227
35.0,4,1.0,227
35.0,5,1.0,227
35.0,6,0.9696969696969697,227
35.0,7,0.851063829787234,227
40.0,1,0.983050847457627,227
40.0,2,0.8571428571428571,227
40.0,3,1.0,227
40.0,4,1.0,227
40.0,5,1.0,227
40.0,6,0.9696969696969697,227
40.0,7,0.8333333333333333,227
45.0,1,0.983050847457627,227
45.0,2,0.8571428571428571,227
45.0,3,1.0,227
45.0,4,1.0,227
45.0,5,1.0,227
45.0,6,0.9696969696969697,227
45.0,7,0.8333333333333333,227
50.0,1,0.983050847457627,227
50.0,2,0.8571428571428571,227
50.0,3,1.0,227
50.0,4,1.0,227
50.0,5,1.0,227
50.0,6,0.9696969696969697,227
50.0,7,0.8333333333333333,227
