Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.15,1,0.912280701754386,227
0.15,2,0.8235294117647058,227
0.15,3,0.9166666666666666,227
0.15,4,0.8333333333333333,227
0.15,5,0.8421052631578948,227
0.15,6,0.75,227
0.15,7,0.8780487804878048,227
0.325,1,0.9491525423728815,227
0.325,2,0.8,227
0.325,3,0.888888888888889,227
0.325,4,0.8695652173913044,227
0.325,5,0.9,227
0.325,6,0.7317073170731707,227
0.325,7,0.8837209302325583,227
0.5,1,0.9473684210526316,227
0.5,2,0.8235294117647058,227
0.5,3,0.923076923076923,227
0.5,4,0.9600000000000001,227
0.5,5,0.9523809523809523,227
0.5,6,0.7804878048780487,227
0.5,7,0.888888888888889,227
0.65,1,0.9473684210526316,227
0.65,2,0.8235294117647058,227
0.65,3,0.9600000000000001,227
0.65,4,0.9600000000000001,227
0.65,5,0.9767441860465117,227
0.65,6,0.761904761904762,227
0.65,7,0.888888888888889,227
0.825,1,0.9491525423728815,227
0.825,2,0.8235294117647058,227
0.825,3,0.923076923076923,227
0.825,4,0.9600000000000001,227
0.825,5,0.9523809523809523,227
0.825,6,0.761904761904762,227
0.825,7,0.888888888888889,227
1.0,1,0.9333333333333333,227
1.0,2,0.8,227
1.0,3,0.9600000000000001,227
1.0,4,0.9600000000000001,227
1.0,5,0.9523809523809523,227
1.0,6,0.761904761904762,227
1.0,7,0.888888888888889,227
2.0,1,0.9333333333333333,227
2.0,2,0.7567567567567568,227
2.0,3,0.9600000000000001,227
2.0,4,1.0,227
2.0,5,0.9767441860465117,227
2.0,6,0.7804878048780487,227
2.0,7,0.851063829787234,227
3.0,1,0.9354838709677419,227
3.0,2,0.7567567567567568,227
3.0,3,1.0,227
3.0,4,1.0,227
3.0,5,0.9767441860465117,227
3.0,6,0.8,227
3.0,7,0.8333333333333333,227
4.0,1,0.9354838709677419,227
4.0,2,0.7777777777777778,227
4.0,3,0.9600000000000001,227
4.0,4,0.9600000000000001,227
4.0,5,0.9767441860465117,227
4.0,6,0.8,227
4.0,7,0.8333333333333333,227
5.0,1,0.9354838709677419,227
5.0,2,0.7567567567567568,227
5.0,3,0.9600000000000001,227
5.0,4,0.9600000000000001,227
5.0,5,0.9767441860465117,227
5.0,6,0.8,227
5.0,7,0.8333333333333333,227
5.0,1,0.9354838709677419,227
5.0,2,0.7567567567567568,227
5.0,3,0.9600000000000001,227
5.0,4,0.9600000000000001,227
5.0,5,0.9767441860465117,227
5.0,6,0.8,227
5.0,7,0.8333333333333333,227
10.0,1,0.9508196721311476,227
10.0,2,0.7567567567567568,227
10.0,3,0.9600000000000001,227
10.0,4,0.9600000000000001,227
10.0,5,0.9767441860465117,227
10.0,6,0.8,227
10.0,7,0.8333333333333333,227
15.0,1,0.9666666666666667,227
15.0,2,0.7567567567567568,227
15.0,3,1.0,227
15.0,4,1.0,227
15.0,5,0.9767441860465117,227
15.0,6,0.8205128205128205,227
15.0,7,0.8333333333333333,227
20.0,1,0.9666666666666667,227
20.0,2,0.7567567567567568,227
20.0,3,1.0,227
20.0,4,1.0,227
20.0,5,0.9767441860465117,227
20.0,6,0.8648648648648648,227
20.0,7,0.8695652173913044,227
25.0,1,0.9491525423728815,227
25.0,2,0.8,227
25.0,3,1.0,227
25.0,4,1.0,227
25.0,5,0.9767441860465117,227
25.0,6,0.888888888888889,227
25.0,7,0.8695652173913044,227
30.0,1,0.9491525423728815,227
30.0,2,0.7777777777777778,227
30.0,3,1.0,227
30.0,4,1.0,227
30.0,5,0.9767441860465117,227
30.0,6,0.888888888888889,227
30.0,7,0.8695652173913044,227
35.0,1,0.9655172413793104,227
35.0,2,0.8235294117647058,227
35.0,3,1.0,227
35.0,4,1.0,227
35.0,5,0.9767441860465117,227
35.0,6,0.888888888888889,227
35.0,7,0.888888888888889,227
40.0,1,0.9655172413793104,227
40.0,2,0.8235294117647058,227
40.0,3,1.0,227
40.0,4,1.0,227
40.0,5,0.9767441860465117,227
40.0,6,0.9142857142857143,227
40.0,7,0.9302325581395349,227
45.0,1,0.9655172413793104,227
45.0,2,0.8484848484848485,227
45.0,3,1.0,227
45.0,4,1.0,227
45.0,5,0.9767441860465117,227
45.0,6,0.9411764705882353,227
45.0,7,0.9302325581395349,227
50.0,1,0.9655172413793104,227
50.0,2,0.9333333333333333,227
50.0,3,1.0,227
50.0,4,1.0,227
50.0,5,0.9767441860465117,227
50.0,6,0.9142857142857143,227
50.0,7,0.9302325581395349,227
