Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
0.5,1,0.0,227
0.5,2,0.0,227
0.5,3,0.0,227
0.5,4,0.1111111111111111,227
0.5,5,0.0,227
0.5,6,0.07142857142857144,227
0.5,7,0.27027027027027023,227
0.65,1,0.0,227
0.65,2,0.0,227
0.65,3,0.0,227
0.65,4,0.1111111111111111,227
0.65,5,0.0,227
0.65,6,0.07142857142857144,227
0.65,7,0.27027027027027023,227
0.825,1,0.0,227
0.825,2,0.0,227
0.825,3,0.0,227
0.825,4,0.1111111111111111,227
0.825,5,0.0,227
0.825,6,0.07142857142857144,227
0.825,7,0.27027027027027023,227
1.0,1,0.0,227
1.0,2,0.0,227
1.0,3,0.0,227
1.0,4,0.09090909090909093,227
1.0,5,0.0,227
1.0,6,0.06896551724137931,227
1.0,7,0.25,227
2.0,1,0.0,227
2.0,2,0.0,227
2.0,3,0.0,227
2.0,4,0.09523809523809525,227
2.0,5,0.0,227
2.0,6,0.07692307692307693,227
2.0,7,0.15384615384615385,227
3.0,1,0.0,227
3.0,2,0.0,227
3.0,3,0.0,227
3.0,4,0.09523809523809525,227
3.0,5,0.0,227
3.0,6,0.07692307692307693,227
3.0,7,0.2162162162162162,227
4.0,1,0.0,227
4.0,2,0.0,227
4.0,3,0.0,227
4.0,4,0.1,227
4.0,5,0.0,227
4.0,6,0.08,227
4.0,7,0.16216216216216214,227
5.0,1,0.0,227
5.0,2,0.0,227
5.0,3,0.0,227
5.0,4,0.09523809523809525,227
5.0,5,0.0,227
5.0,6,0.08,227
5.0,7,0.16666666666666663,227
5.0,1,0.0,227
5.0,2,0.0,227
5.0,3,0.0,227
5.0,4,0.09523809523809525,227
5.0,5,0.0,227
5.0,6,0.08,227
5.0,7,0.16666666666666663,227
10.0,1,0.0,227
10.0,2,0.0,227
10.0,3,0.0,227
10.0,4,0.08695652173913043,227
10.0,5,0.0,227
10.0,6,0.07142857142857144,227
10.0,7,0.20000000000000004,227
15.0,1,0.0,227
15.0,2,0.0,227
15.0,3,0.0,227
15.0,4,0.08695652173913043,227
15.0,5,0.0,227
15.0,6,0.06896551724137931,227
15.0,7,0.20512820512820512,227
20.0,1,0.0,227
20.0,2,0.0,227
20.0,3,0.0,227
20.0,4,0.08695652173913043,227
20.0,5,0.0,227
20.0,6,0.07142857142857144,227
20.0,7,0.20512820512820512,227
25.0,1,0.0,227
25.0,2,0.0,227
25.0,3,0.0,227
25.0,4,0.08695652173913043,227
25.0,5,0.0,227
25.0,6,0.14814814814814814,227
25.0,7,0.20512820512820512,227
30.0,1,0.0,227
30.0,2,0.0,227
30.0,3,0.0,227
30.0,4,0.08695652173913043,227
30.0,5,0.0,227
30.0,6,0.14814814814814814,227
30.0,7,0.20512820512820512,227
35.0,1,0.0,227
35.0,2,0.0,227
35.0,3,0.0,227
35.0,4,0.08695652173913043,227
35.0,5,0.0,227
35.0,6,0.15384615384615385,227
35.0,7,0.2105263157894737,227
40.0,1,0.0,227
40.0,2,0.0,227
40.0,3,0.0,227
40.0,4,0.08333333333333334,227
40.0,5,0.0,227
40.0,6,0.15384615384615385,227
40.0,7,0.15789473684210525,227
45.0,1,0.0,227
45.0,2,0.0,227
45.0,3,0.0,227
45.0,4,0.08,227
45.0,5,0.0,227
45.0,6,0.15384615384615385,227
45.0,7,0.15384615384615385,227
50.0,1,0.0,227
50.0,2,0.0,227
50.0,3,0.0,227
50.0,4,0.08,227
50.0,5,0.0,227
50.0,6,0.14814814814814814,227
50.0,7,0.15789473684210525,227
