Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
1.0,1,0.9333333333333333,227
1.0,2,0.8,227
1.0,3,0.9600000000000001,227
1.0,4,0.9600000000000001,227
1.0,5,0.9523809523809523,227
1.0,6,0.761904761904762,227
1.0,7,0.888888888888889,227
2.0,1,0.9354838709677419,227
2.0,2,0.7368421052631579,227
2.0,3,0.9600000000000001,227
2.0,4,1.0,227
2.0,5,0.9767441860465117,227
2.0,6,0.761904761904762,227
2.0,7,0.7843137254901961,227
3.0,1,0.9354838709677419,227
3.0,2,0.7368421052631579,227
3.0,3,0.9600000000000001,227
3.0,4,1.0,227
3.0,5,0.9767441860465117,227
3.0,6,0.7804878048780487,227
3.0,7,0.7692307692307693,227
4.0,1,0.9354838709677419,227
4.0,2,0.7368421052631579,227
4.0,3,0.9600000000000001,227
4.0,4,1.0,227
4.0,5,0.9767441860465117,227
4.0,6,0.7804878048780487,227
4.0,7,0.7017543859649124,227
5.0,1,0.9354838709677419,227
5.0,2,0.7368421052631579,227
5.0,3,1.0,227
5.0,4,1.0,227
5.0,5,0.9767441860465117,227
5.0,6,0.7804878048780487,227
5.0,7,0.7692307692307693,227
5.0,1,0.9354838709677419,227
5.0,2,0.7368421052631579,227
5.0,3,1.0,227
5.0,4,1.0,227
5.0,5,0.9767441860465117,227
5.0,6,0.7804878048780487,227
5.0,7,0.7692307692307693,227
10.0,1,0.9354838709677419,227
10.0,2,0.7368421052631579,227
10.0,3,0.9600000000000001,227
10.0,4,1.0,227
10.0,5,0.9767441860465117,227
10.0,6,0.8,227
10.0,7,0.8,227
15.0,1,0.9508196721311476,227
15.0,2,0.7368421052631579,227
15.0,3,0.9600000000000001,227
15.0,4,0.9600000000000001,227
15.0,5,0.9767441860465117,227
15.0,6,0.8,227
15.0,7,0.8163265306122449,227
20.0,1,0.9666666666666667,227
20.0,2,0.7368421052631579,227
20.0,3,0.9600000000000001,227
20.0,4,0.9600000000000001,227
20.0,5,0.9767441860465117,227
20.0,6,0.8205128205128205,227
20.0,7,0.851063829787234,227
25.0,1,0.9666666666666667,227
25.0,2,0.7567567567567568,227
25.0,3,1.0,227
25.0,4,0.9600000000000001,227
25.0,5,0.9767441860465117,227
25.0,6,0.8648648648648648,227
25.0,7,0.851063829787234,227
30.0,1,0.9666666666666667,227
30.0,2,0.7777777777777778,227
30.0,3,1.0,227
30.0,4,0.9600000000000001,227
30.0,5,0.9767441860465117,227
30.0,6,0.9411764705882353,227
30.0,7,0.851063829787234,227
35.0,1,0.983050847457627,227
35.0,2,0.7777777777777778,227
35.0,3,1.0,227
35.0,4,0.9600000000000001,227
35.0,5,0.9767441860465117,227
35.0,6,0.9142857142857143,227
35.0,7,0.851063829787234,227
40.0,1,0.9655172413793104,227
40.0,2,0.7777777777777778,227
40.0,3,1.0,227
40.0,4,0.9600000000000001,227
40.0,5,0.9767441860465117,227
40.0,6,0.9411764705882353,227
40.0,7,0.851063829787234,227
45.0,1,0.9655172413793104,227
45.0,2,0.7777777777777778,227
45.0,3,1.0,227
45.0,4,1.0,227
45.0,5,0.9767441860465117,227
45.0,6,0.9142857142857143,227
45.0,7,0.8695652173913044,227
50.0,1,0.9655172413793104,227
50.0,2,0.7777777777777778,227
50.0,3,1.0,227
50.0,4,1.0,227
50.0,5,0.9767441860465117,227
50.0,6,0.888888888888889,227
50.0,7,0.851063829787234,227
