feature_extractor,classifier_type,validation_segment_len,cmmn_filter,sensitivity,specificity,gmean,tp,tn,fp,fn,n_total_ics,n_brain_ics,n_nonbrain_ics
bowav,random_forest,-1,None,0.7493872549019608,0.723630417007359,0.7363962328561342,8561,3540,1352,2863,16316,11424,4892
bowav,random_forest,-1,unnormed-barycenter,0.7386204481792717,0.7690106295993459,0.7536623752644765,8438,3762,1130,2986,16316,11424,4892
bowav,random_forest,-1,normed-barycenter,0.7382703081232493,0.7661488143908421,0.7520803954821513,8434,3748,1144,2990,16316,11424,4892
bowav,random_forest,-1,subj_to_subj,0.7386204481792717,0.767988552739166,0.7531613698409877,8438,3757,1135,2986,16316,11424,4892
bowav,random_forest,300,None,0.47732843137254904,0.8863450531479967,0.6504442281041103,5453,4336,556,5971,16316,11424,4892
bowav,random_forest,300,unnormed-barycenter,0.5518207282913166,0.8863450531479967,0.6993594016995361,6304,4336,556,5120,16316,11424,4892
bowav,random_forest,300,normed-barycenter,0.5529586834733894,0.8861406377759607,0.6999994003117894,6317,4335,557,5107,16316,11424,4892
bowav,random_forest,300,subj_to_subj,0.5538340336134454,0.8863450531479967,0.7006340385381505,6327,4336,556,5097,16316,11424,4892
bowav,logistic,-1,None,0.7771358543417367,0.6659852820932134,0.7194171537978031,8878,3258,1634,2546,16316,11424,4892
bowav,logistic,-1,unnormed-barycenter,0.648109243697479,0.7686017988552739,0.7057888710943333,7404,3760,1132,4020,16316,11424,4892
bowav,logistic,-1,normed-barycenter,0.6493347338935574,0.7700327064595257,0.7071131327717171,7418,3767,1125,4006,16316,11424,4892
bowav,logistic,-1,subj_to_subj,0.6479341736694678,0.7686017988552739,0.7056935393087841,7402,3760,1132,4022,16316,11424,4892
bowav,logistic,300,None,0.9204306722689075,0.4981602616516762,0.6771425141945433,10515,2437,2455,909,16316,11424,4892
bowav,logistic,300,unnormed-barycenter,0.7471988795518207,0.7485690923957482,0.7478836721745077,8536,3662,1230,2888,16316,11424,4892
bowav,logistic,300,normed-barycenter,0.7471988795518207,0.7491823385118561,0.7481899517609627,8536,3665,1227,2888,16316,11424,4892
bowav,logistic,300,subj_to_subj,0.7480742296918768,0.7514309076042518,0.7497506901448764,8546,3676,1216,2878,16316,11424,4892
iclabel,iclabel,-1,None,0.6416892541750459,0.7433122319787625,0.6906341084522547,7339,3640,1257,4098,16334,11437,4897
