eval_dataset,cmmn_filter,feature_extractor,classifier_type,is_normalized,validation_segment_len,prediction_window,mean_f1,std_f1
cue,normed-barycenter,bowav,random_forest,True,300,0.15,0.8220279292809035,0.09146308575264475
cue,normed-barycenter,bowav,random_forest,True,300,0.325,0.8480362228359383,0.06967518099877648
cue,normed-barycenter,bowav,random_forest,True,300,0.5,0.8594305993475765,0.0805888746750568
cue,normed-barycenter,bowav,random_forest,True,300,0.65,0.853199099801273,0.05746003156756648
cue,normed-barycenter,bowav,random_forest,True,300,0.825,0.8350444018035689,0.07284694673448962
cue,normed-barycenter,bowav,random_forest,True,300,1.0,0.8299386072825897,0.08424168187026965
cue,normed-barycenter,bowav,random_forest,True,300,2.0,0.827268747046137,0.06788658391998861
cue,normed-barycenter,bowav,random_forest,True,300,3.0,0.8220641394128022,0.05403327941090674
cue,normed-barycenter,bowav,random_forest,True,300,4.0,0.842835517782309,0.06863330706107376
cue,normed-barycenter,bowav,random_forest,True,300,5.0,0.8409247281806066,0.061843625765680886
cue,normed-barycenter,bowav,random_forest,True,300,10.0,0.8493369333323083,0.06641807678806941
cue,normed-barycenter,bowav,random_forest,True,300,15.0,0.857558855703116,0.05205363230294463
cue,normed-barycenter,bowav,random_forest,True,300,20.0,0.8516027953527954,0.04924491341448276
cue,normed-barycenter,bowav,random_forest,True,300,25.0,0.8558550000084931,0.05391666865801255
cue,normed-barycenter,bowav,random_forest,True,300,30.0,0.8622377024286417,0.05113296568120626
cue,normed-barycenter,bowav,random_forest,True,300,35.0,0.8628387574501336,0.059672275975313986
cue,normed-barycenter,bowav,random_forest,True,300,40.0,0.8647978312725614,0.06049050253588812
cue,normed-barycenter,bowav,random_forest,True,300,45.0,0.8670994809264303,0.06399394967678397
cue,normed-barycenter,bowav,random_forest,True,300,50.0,0.8650246010099355,0.07146270550040949
cue,normed-barycenter,bowav,random_forest,True,-1,5.0,0.8513691562887468,0.05624621255043905
cue,normed-barycenter,bowav,random_forest,True,-1,10.0,0.8747989674758857,0.04143550227822109
cue,normed-barycenter,bowav,random_forest,True,-1,15.0,0.8636294332282916,0.05091784932891336
cue,normed-barycenter,bowav,random_forest,True,-1,20.0,0.855915991417339,0.08627565345514181
cue,normed-barycenter,bowav,random_forest,True,-1,25.0,0.8472041396217413,0.07947656664572049
cue,normed-barycenter,bowav,random_forest,True,-1,30.0,0.8586049840256865,0.09224350242323265
cue,normed-barycenter,bowav,random_forest,True,-1,35.0,0.8477405450711077,0.07443924913764043
