eval_dataset,cmmn_filter,feature_extractor,classifier_type,is_normalized,validation_segment_len,prediction_window,mean_f1,std_f1
epic,None,bowav,random_forest,False,-1.0,10.0,0.7848087082176252,0.13331666123253566
epic,None,bowav,random_forest,False,300.0,10.0,0.5894966340352666,0.22367293459725865
epic,None,psd_autocorr,random_forest,False,-1.0,10.0,0.7075045332719477,0.2311905264587986
epic,None,psd_autocorr,random_forest,False,300.0,10.0,0.711272745274697,0.22997780220164796
epic,None,bowav,logistic,False,-1.0,10.0,0.7901226466375845,0.13024592461999993
epic,None,bowav,logistic,False,300.0,10.0,0.8468034451742459,0.11016810672098419
epic,None,psd_autocorr,logistic,False,-1.0,10.0,0.6712656716900156,0.27068860377421017
epic,None,psd_autocorr,logistic,False,300.0,10.0,0.622113358867428,0.28670438277377075
epic,unnormed-barycenter,bowav,random_forest,False,-1.0,10.0,0.7784907252783084,0.14463386261776304
epic,unnormed-barycenter,bowav,random_forest,False,300.0,10.0,0.6577972834471452,0.17943124027553636
epic,unnormed-barycenter,psd_autocorr,random_forest,False,-1.0,10.0,0.71325229717078,0.23977641910321335
epic,unnormed-barycenter,psd_autocorr,random_forest,False,300.0,10.0,0.6485954873664577,0.24645991836495448
epic,unnormed-barycenter,bowav,logistic,False,-1.0,10.0,0.7098681460114539,0.16309484115864278
epic,unnormed-barycenter,bowav,logistic,False,300.0,10.0,0.7791093198358983,0.14563646871464964
epic,unnormed-barycenter,psd_autocorr,logistic,False,-1.0,10.0,0.6753935009742802,0.2681682796580123
epic,unnormed-barycenter,psd_autocorr,logistic,False,300.0,10.0,0.6432833806243278,0.27936110393251273
epic,subj_to_subj,bowav,random_forest,False,-1.0,10.0,0.7785596308967606,0.1438493040804305
epic,subj_to_subj,bowav,random_forest,False,300.0,10.0,0.6593417706392133,0.1796941172536742
epic,subj_to_subj,psd_autocorr,random_forest,False,-1.0,10.0,0.7134050067506432,0.24058201791031178
epic,subj_to_subj,psd_autocorr,random_forest,False,300.0,10.0,0.6469098933287154,0.24595263024437033
epic,subj_to_subj,bowav,logistic,False,-1.0,10.0,0.7098956577392486,0.1621171203817561
epic,subj_to_subj,bowav,logistic,False,300.0,10.0,0.7797756466026315,0.14488616888483347
epic,subj_to_subj,psd_autocorr,logistic,False,-1.0,10.0,0.6743123200197457,0.2690884327606215
epic,subj_to_subj,psd_autocorr,logistic,False,300.0,10.0,0.6433567589312555,0.27869780475198735
epic,None,iclabel,iclabel,False,-1.0,10.0,0.7193874617144099,0.1293280064432446
cue,None,bowav,random_forest,False,-1.0,5.0,0.8778129384901447,0.046677960725051704
cue,None,bowav,random_forest,False,-1.0,10.0,0.9031873356198544,0.05012091300030843
cue,None,bowav,random_forest,False,-1.0,15.0,0.9101678628984547,0.06180819298503232
cue,None,bowav,random_forest,False,-1.0,20.0,0.8959643157158369,0.08798560772126793
cue,None,bowav,random_forest,False,-1.0,25.0,0.894316228464188,0.08868175676592012
cue,None,bowav,random_forest,False,-1.0,30.0,0.900897157914057,0.08521335798810073
cue,None,bowav,random_forest,False,-1.0,35.0,0.8994996168437802,0.08728863120489831
cue,None,bowav,random_forest,False,-1.0,40.0,0.91026278507189,0.07916364533130521
cue,None,bowav,random_forest,False,-1.0,45.0,0.9096480193602542,0.08684778412422242
